,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,Amy Coney Barrett,2020-10-22,0.06662546666666669,51.800000000000004,30.466666666666665,0.025626666666666666,0.42523333333333335,0.12159333333333334,0.08644666666666667,0.25542
1,Amy Coney Barrett,2020-10-26,0.2085634,57.9,24.7,0.05958,0.4586,0.08847,0.1145,0.19335
2,Amy Coney Barrett,2020-10-27,0.1875423333333333,55.00000000000001,24.0,0.07271666666666668,0.44425000000000003,0.08315,0.1524666666666667,0.17331666666666667
3,Amy Coney Barrett,2020-10-28,0.11912620000000002,45.9,29.2,0.046299999999999994,0.38582000000000005,0.09442,0.15813,0.21353000000000003
4,Amy Coney Barrett,2020-10-29,0.1564024,51.2,26.6,0.058100000000000006,0.31746,0.13222,0.13528,0.25178
5,Amy Coney Barrett,2020-10-31,0.1138568,43.8,23.799999999999997,0.04214000000000001,0.35118,0.08109999999999999,0.13982,0.21509999999999999
6,Amy Coney Barrett,2020-11-01,0.12188274999999998,48.0,21.75,0.035275,0.3503,0.08142499999999998,0.1796,0.22760000000000002
7,Amy Coney Barrett,2020-11-02,0.16532365000000002,46.7,21.85,0.033515,0.41794500000000007,0.08269,0.13210500000000003,0.22005000000000002
8,Amy Coney Barrett,2020-11-03,0.27890196969696973,61.0,16.818181818181817,0.03436969696969697,0.49064545454545455,0.08119090909090909,0.11136666666666667,0.17487272727272726
9,Amy Coney Barrett,2020-11-04,0.204087,55.2,19.2,0.02666,0.42688,0.11364000000000002,0.10446000000000001,0.20592
10,Amy Coney Barrett,2020-11-05,0.1556715,41.699999999999996,15.1,0.029620000000000004,0.44827999999999996,0.06352,0.10855000000000001,0.23359
11,Amy Coney Barrett,2020-11-08,0.1595089,50.6,19.3,0.03603,0.41049,0.05208,0.17188,0.19283
12,Amy Coney Barrett,2020-11-09,0.10752027777777777,45.05555555555556,26.944444444444443,0.028483333333333336,0.43253888888888886,0.06797777777777779,0.11926666666666667,0.1908055555555556
13,Amy Coney Barrett,2020-11-11,0.091107,37.0,21.0,0.0375,0.3317,0.0524,0.1511,0.2669
14,Amy Coney Barrett,2020-11-12,0.17129985714285714,47.0,16.28571428571429,0.03542857142857143,0.3048,0.06572857142857144,0.15754285714285715,0.206
15,Amy Coney Barrett,2020-11-13,0.1719205652173913,48.56521739130435,18.913043478260867,0.04959130434782609,0.3234,0.09709999999999999,0.11262608695652172,0.20975217391304352
16,Amy Coney Barrett,2020-11-14,0.1385922,48.1,22.3,0.034080000000000006,0.3406,0.10881,0.15264999999999998,0.18137999999999999
17,Amy Coney Barrett,2020-11-16,0.2236266,53.400000000000006,16.6,0.032400000000000005,0.38232000000000005,0.11797999999999999,0.12,0.21880000000000002
18,Amy Coney Barrett,2020-11-17,0.1017782,43.8,22.2,0.034120000000000004,0.43370000000000003,0.060320000000000006,0.17306,0.20027999999999999
19,Amy Coney Barrett,2020-11-18,0.177676,51.4,26.200000000000003,0.020300000000000002,0.32303999999999994,0.03678,0.15708,0.34664
20,Amy Coney Barrett,2020-11-19,0.1842242,55.2,18.8,0.04552,0.32546,0.09178,0.10454,0.35216
21,Amy Coney Barrett,2020-11-20,0.2854374,63.6,13.4,0.02136,0.48496000000000006,0.10180000000000002,0.09544000000000001,0.25292000000000003
22,Amy Coney Barrett,2021-01-06,0.08147816666666666,40.5,30.166666666666668,0.028191666666666667,0.38327500000000003,0.09205833333333334,0.1278416666666667,0.21659999999999996
23,Amy Coney Barrett,2021-01-07,0.10069104,40.08,22.16,0.035228,0.328648,0.09621600000000001,0.169712,0.22107200000000002
24,Amy Coney Barrett,2021-01-12,0.08597664285714286,51.28571428571429,31.5,0.03532857142857143,0.46044285714285704,0.05697142857142858,0.11271428571428573,0.2370357142857143
25,Amy Coney Barrett,2021-01-13,0.0599432,38.2,18.0,0.027800000000000005,0.33302,0.17374,0.0859,0.16112
26,Amy Coney Barrett,2021-01-15,0.0246886,36.8,29.4,0.0357,0.55796,0.06624000000000001,0.13057999999999997,0.12914
27,Amy Coney Barrett,2021-01-17,0.055921599999999995,39.6,27.400000000000002,0.06026000000000001,0.39826,0.07284,0.12464000000000001,0.17751999999999998
28,Amy Coney Barrett,2021-01-19,0.14531533333333335,46.0,19.8,0.054366666666666674,0.3118266666666667,0.10200666666666666,0.10344666666666666,0.1855133333333333
29,Amy Coney Barrett,2021-01-21,0.030865679999999996,33.160000000000004,27.88,0.08762400000000001,0.336112,0.089396,0.11981200000000002,0.202888
30,Amy Coney Barrett,2021-01-20,0.1018804,39.0,24.0,0.0711,0.24531999999999998,0.14460000000000003,0.1705,0.24798
31,Amy Coney Barrett,2021-01-22,0.020953000000000003,28.599999999999998,29.2,0.0576,0.2707,0.09444,0.15856,0.17212
32,Amy Coney Barrett,2021-01-24,0.07073,39.0,28.000000000000004,0.034,0.37760000000000005,0.0717,0.1825,0.20389999999999997
33,Amy Coney Barrett,2021-01-25,0.113727,44.0,25.0,0.0352,0.3777333333333333,0.1009,0.1801,0.16256666666666666
34,Amy Coney Barrett,2021-01-28,0.1598082,43.733333333333334,28.733333333333334,0.0505,0.3466066666666666,0.13163333333333335,0.11008,0.18658
35,Amy Coney Barrett,2021-01-30,0.15831459999999997,46.400000000000006,21.2,0.04440000000000001,0.3137,0.10608000000000001,0.16816000000000003,0.15525999999999998
36,Amy Coney Barrett,2021-02-01,0.11539619999999999,43.2,22.400000000000002,0.0563,0.28015999999999996,0.1061,0.13310000000000002,0.19777999999999998
37,Amy Coney Barrett,2021-02-02,0.0389305,34.5,24.5,0.0591,0.34434999999999993,0.16524999999999998,0.1048,0.1911
38,Amy Coney Barrett,2021-02-04,0.06772199999999999,36.0,24.6,0.10808000000000001,0.31467999999999996,0.0654,0.08368,0.1535
39,Amy Coney Barrett,2021-02-08,0.17656639999999998,46.0,23.400000000000002,0.02912,0.42066,0.06106,0.14106,0.18975999999999998
40,Amy Coney Barrett,2021-02-09,0.101951875,38.75,18.125,0.042225,0.2943625,0.1365125,0.12117499999999999,0.22401249999999998
41,Amy Coney Barrett,2021-02-10,0.0531086,34.0,24.4,0.05940000000000001,0.28009999999999996,0.14628,0.13322,0.1906
