,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,COVID,2020-10-22,0.0006578666666666659,39.46666666666667,36.733333333333334,0.06522,0.33007333333333333,0.10070666666666667,0.18840666666666667,0.2144
1,COVID,2020-10-26,0.015036799999999998,37.6,32.800000000000004,0.04156,0.33982,0.07792000000000002,0.20275,0.20448
2,COVID,2020-10-27,0.0010374000000000017,34.599999999999994,32.6,0.033479999999999996,0.32506,0.07224000000000001,0.20865999999999998,0.20416000000000004
3,COVID,2020-10-28,0.0488703,41.4,30.2,0.04428,0.34124,0.09726,0.1785,0.19915
4,COVID,2020-10-29,0.009838800000000002,38.0,32.4,0.04722,0.33248,0.10024000000000001,0.17308,0.21424
5,COVID,2020-10-31,0.008178800000000003,36.199999999999996,34.0,0.04356,0.32548,0.07986,0.18104000000000003,0.23326
6,COVID,2020-11-01,0.015462000000000007,39.5,32.5,0.031875,0.327875,0.09539999999999998,0.219175,0.19985
7,COVID,2020-11-02,-0.014102650000000001,33.550000000000004,34.65,0.039200000000000006,0.335375,0.09030500000000001,0.196285,0.20530500000000002
8,COVID,2020-11-03,-0.0027643225806451596,36.38709677419355,35.096774193548384,0.0451483870967742,0.33050967741935483,0.0877741935483871,0.1889967741935484,0.21076129032258065
9,COVID,2020-11-04,-0.009309999999999995,34.0,35.8,0.05086,0.37268,0.07586,0.18986,0.18830000000000002
10,COVID,2020-11-05,-0.0026294999999999956,34.5,33.800000000000004,0.03604,0.32259,0.08331000000000001,0.1979,0.21570999999999999
11,COVID,2020-11-08,-0.009063799999999997,34.4,36.6,0.05743000000000001,0.31133,0.08639000000000001,0.19133,0.22872
12,COVID,2020-11-09,0.030594823529411765,38.11764705882353,32.41176470588235,0.043582352941176475,0.3226588235294118,0.09914117647058825,0.18466470588235295,0.20819411764705884
13,COVID,2020-11-12,0.021387857142857142,38.714285714285715,32.0,0.04642857142857143,0.34544285714285716,0.09841428571428572,0.19012857142857148,0.2116
14,COVID,2020-11-13,0.02970878260869565,38.565217391304344,32.21739130434783,0.04470434782608696,0.3233608695652174,0.0941391304347826,0.1969913043478261,0.20020869565217392
15,COVID,2020-11-14,0.012937333333333332,37.111111111111114,33.55555555555556,0.033688888888888886,0.31873333333333337,0.09027777777777778,0.21064444444444444,0.20029999999999998
16,COVID,2020-11-16,-0.0002787999999999977,37.0,35.8,0.050800000000000005,0.32970000000000005,0.0752,0.19986,0.1978
17,COVID,2020-11-17,0.032291600000000004,36.4,31.4,0.04512000000000001,0.3478,0.10698,0.19818,0.18126
18,COVID,2020-11-18,-0.006566200000000001,34.599999999999994,37.2,0.036120000000000006,0.34043999999999996,0.08536,0.18196,0.19551999999999997
19,COVID,2020-11-19,0.047630399999999996,40.400000000000006,31.0,0.03848000000000001,0.35572000000000004,0.08134000000000001,0.18531999999999998,0.20244
20,COVID,2020-11-20,0.038175400000000005,41.6,31.8,0.04812,0.29529999999999995,0.09060000000000001,0.19816000000000003,0.22904000000000002
21,COVID,2021-01-06,-0.03172941666666666,32.916666666666664,36.583333333333336,0.0407,0.3274916666666667,0.08643333333333333,0.20528333333333335,0.20693333333333333
22,COVID,2021-01-07,0.009978159999999996,36.08,32.96,0.042168000000000004,0.33832399999999996,0.09354000000000001,0.182292,0.2003
23,COVID,2021-01-12,0.015227428571428567,35.85714285714286,33.14285714285714,0.04388571428571429,0.3257357142857143,0.08323571428571429,0.2050428571428572,0.1970857142857143
24,COVID,2021-01-13,0.019976999999999998,38.4,32.0,0.03308,0.29379999999999995,0.09686,0.19616,0.22362
25,COVID,2021-01-15,-0.007264999999999997,33.6,34.4,0.032,0.32946000000000003,0.10028000000000001,0.20424,0.20160000000000003
26,COVID,2021-01-17,-0.009511199999999992,35.0,35.6,0.05178,0.33182,0.09428,0.20836000000000002,0.1892
27,COVID,2021-01-19,0.023493133333333333,37.6,32.33333333333333,0.030806666666666666,0.33242666666666665,0.09670666666666666,0.18985333333333332,0.20969333333333331
28,COVID,2021-01-21,0.02397204347826087,37.826086956521735,32.21739130434783,0.039799999999999995,0.3396347826086957,0.09531304347826088,0.17738260869565217,0.19726521739130437
29,COVID,2021-01-20,0.017389,36.8,30.8,0.03996000000000001,0.34562,0.10298,0.17646,0.20664
30,COVID,2021-01-22,0.0054246,35.8,33.4,0.0371,0.32614,0.09214,0.19894,0.20328
31,COVID,2021-01-24,0.026667000000000007,37.0,27.0,0.0408,0.35960000000000003,0.0998,0.1923,0.2069
32,COVID,2021-01-25,-0.019427500000000007,36.0,33.5,0.03755,0.31265,0.0832,0.204,0.2021
33,COVID,2021-01-28,0.020149399999999998,37.06666666666666,32.13333333333333,0.04066000000000001,0.3343933333333334,0.09635333333333333,0.19457333333333335,0.19678666666666664
34,COVID,2021-01-30,-0.013119999999999998,33.0,33.4,0.0427,0.34206,0.08512,0.18096,0.2106
35,COVID,2021-02-01,0.04600100000000001,39.2,29.2,0.04142,0.36406000000000005,0.09274,0.17904000000000003,0.17614000000000002
36,COVID,2021-02-02,0.07076149999999999,40.5,25.5,0.0507,0.35545000000000004,0.0999,0.1497,0.16875
37,COVID,2021-02-04,0.017117,36.6,33.800000000000004,0.036680000000000004,0.30263999999999996,0.10352000000000001,0.19706,0.19956000000000002
38,COVID,2021-02-08,0.028491199999999998,36.8,31.8,0.05186,0.33527999999999997,0.08542000000000001,0.1574,0.2234
39,COVID,2021-02-09,0.04375199999999999,37.857142857142854,29.428571428571427,0.049985714285714286,0.33108571428571426,0.09014285714285715,0.18589999999999998,0.18805714285714284
40,COVID,2021-02-10,0.0427084,38.800000000000004,28.4,0.04132,0.35198,0.10306,0.17901999999999998,0.16392
