,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,Kamala Harris,2020-10-22,0.0095950959488273,34.25728500355366,33.972992181947404,0.022707889125799574,0.3362757640369581,0.07476901208244494,0.18265813788201848,0.2833901918976546
1,Kamala Harris,2020-10-26,0.041911199999999996,39.900000000000006,34.1,0.047810000000000005,0.35648,0.09092,0.16745,0.19873000000000002
2,Kamala Harris,2020-10-27,0.009198499999999995,34.5,30.333333333333336,0.04713333333333333,0.3069166666666666,0.06410000000000002,0.19133333333333333,0.23346666666666668
3,Kamala Harris,2020-10-28,0.016427800000000003,37.1,32.4,0.02994,0.3432,0.07485,0.16317,0.2474
4,Kamala Harris,2020-10-29,0.028735400000000005,36.8,29.799999999999997,0.036980000000000006,0.29422,0.10552000000000002,0.15330000000000002,0.24752
5,Kamala Harris,2020-10-31,0.1403624,46.0,21.4,0.0221,0.25423999999999997,0.08784,0.18419999999999997,0.26726
6,Kamala Harris,2020-11-01,-0.010667,37.75,31.75,0.029875,0.266025,0.07505,0.15725,0.2706
7,Kamala Harris,2020-11-02,0.09139330000000001,43.75,25.8,0.03775,0.30195,0.09954,0.195075,0.233065
8,Kamala Harris,2020-11-03,-0.007676932907348242,36.805111821086264,35.65495207667732,0.02957188498402556,0.21239297124600637,0.08465814696485624,0.2268338658146965,0.30831309904153353
9,Kamala Harris,2020-11-04,0.0593256,42.199999999999996,28.4,0.04996,0.29448,0.0825,0.17364,0.26092000000000004
10,Kamala Harris,2020-11-05,0.11503859999999999,44.7,22.6,0.04157000000000001,0.26182000000000005,0.11259999999999999,0.17406,0.2604
11,Kamala Harris,2020-11-08,0.12621609999999997,43.6,19.8,0.03894,0.26493,0.09223,0.16213,0.2701
12,Kamala Harris,2020-11-09,0.10944283333333332,43.94444444444445,22.27777777777778,0.04176111111111111,0.2542555555555555,0.10661666666666668,0.1823722222222222,0.2177388888888889
13,Kamala Harris,2020-11-11,0.12601333333333334,40.0,33.33333333333333,0.0,0.11866666666666667,0.3046666666666667,0.14400000000000002,0.2986666666666667
14,Kamala Harris,2020-11-12,0.1256432857142857,44.0,22.0,0.05494285714285715,0.2821,0.10531428571428574,0.1792857142857143,0.18061428571428573
