,Search,Entered on,compound_avg,percent_positive,percent_negative,angry_avg,fear_avg,happy_avg,sad_avg,surprise_avg
0,Tropical storm Eta,2020-11-13,0.00898833333333334,21.333333333333336,17.0,0.061125000000000006,0.13274166666666665,0.057966666666666666,0.616325,0.12083333333333333
1,Tropical storm Eta,2020-11-14,-0.06227722222222223,23.77777777777778,37.55555555555555,0.03454444444444445,0.19158888888888892,0.07568888888888889,0.49654444444444445,0.15685555555555558
2,Tropical storm Eta,2020-11-16,-0.013110999999999998,29.599999999999998,26.200000000000003,0.03610000000000001,0.20096,0.0881,0.4031,0.23104000000000002
3,Tropical storm Eta,2020-11-17,-0.0585404,31.6,35.6,0.030100000000000002,0.197,0.04760000000000001,0.42662,0.2444
4,Tropical storm Eta,2020-11-18,-0.16536939999999997,23.599999999999998,54.2,0.0265,0.14470000000000002,0.03972,0.42394000000000004,0.35414
5,Tropical storm Eta,2020-11-19,-0.1649252,24.2,57.4,0.029900000000000003,0.11059999999999999,0.0449,0.40774,0.39626
6,Tropical storm Eta,2020-11-20,-0.117696,26.0,49.0,0.030600000000000002,0.12969999999999998,0.0631,0.42260000000000003,0.2834
7,Tropical storm Eta,2021-01-06,-0.14742857142857144,28.57142857142857,42.857142857142854,0.0,0.22571428571428573,0.08285714285714287,0.5828571428571429,0.10714285714285714
8,Tropical storm Eta,2021-01-07,-0.11916000000000003,29.268292682926827,38.53658536585366,0.0,0.1846341463414634,0.05902439024390244,0.5187804878048781,0.14390243902439023
9,Tropical storm Eta,2021-01-12,0.0502314606741573,47.19101123595505,29.213483146067414,0.0,0.09887640449438201,0.03146067415730337,0.6966292134831461,0.17303370786516856
10,Tropical storm Eta,2021-01-13,0.13557692307692304,53.84615384615385,23.076923076923077,0.0,0.06923076923076923,0.03076923076923077,0.7307692307692307,0.16923076923076924
11,Tropical storm Eta,2021-01-15,0.04238461538461536,38.46153846153847,30.76923076923077,0.0,0.09461538461538462,0.03076923076923077,0.6661538461538461,0.2076923076923077
12,Tropical storm Eta,2021-01-17,0.07167499999999997,41.66666666666667,25.0,0.0,0.13,0.0475,0.6799999999999999,0.14166666666666666
13,Tropical storm Eta,2021-01-19,0.11042096774193547,48.38709677419355,19.35483870967742,0.0,0.11612903225806452,0.04596774193548388,0.6290322580645161,0.1274193548387097
14,Tropical storm Eta,2021-01-21,-0.1418579268292683,16.463414634146343,41.46341463414634,0.0,0.09054878048780488,0.023841463414634147,0.4914024390243903,0.25262195121951225
15,Tropical storm Eta,2021-01-20,-0.07551250000000001,25.0,37.5,0.0,0.0825,0.02125,0.54125,0.22875
16,Tropical storm Eta,2021-01-22,-0.06859722222222221,13.88888888888889,27.77777777777778,0.027777777777777776,0.04583333333333334,0.023611111111111114,0.5741666666666667,0.18972222222222224
17,Tropical storm Eta,2021-01-25,-0.07055714285714286,14.285714285714285,28.57142857142857,0.07142857142857142,0.047142857142857146,0.02428571428571429,0.5957142857142858,0.11857142857142858
18,Tropical storm Eta,2021-01-28,-0.04662333333333333,0.0,15.0,0.125,0.024833333333333336,0.0,0.753,0.09683333333333334
19,Tropical storm Eta,2021-01-30,-0.17547826086956525,0.0,56.52173913043478,0.021739130434782608,0.281304347826087,0.0,0.4921739130434783,0.20195652173913045
