,Search,Tweet,Entered on
0,Trump -filter:retweets,many retrumplican speeches better harsh consequences knew ,2021-01-17
1,Trump -filter:retweets,legacy dont wait till late start building legacy ,2021-01-17
2,Trump -filter:retweets,still better trump amp picks ,2021-01-17
3,Trump -filter:retweets,trump series finale trump pardons ghislaine maxwell wishes well ,2021-01-17
4,Trump -filter:retweets,flashback celebs urged electoral college members vote trump 2016 ,2021-01-17
5,Trump -filter:retweets,former buzzfeed employee trump hater baked alaska endorsed democrat president gets arrested aft ,2021-01-17
6,Trump -filter:retweets,trump family mob cant allowed get away criminal activities whats ,2021-01-17
7,Trump -filter:retweets,trump trump alone planned help 3 congressmen ,2021-01-17
8,Trump -filter:retweets,want hear trump supporters people exist ,2021-01-17
9,Trump -filter:retweets,lockdowns essential cuz many americans trusted look community ,2021-01-17
10,Trump -filter:retweets,pardon convict trump pardon senate vote convict bar ,2021-01-17
11,Trump -filter:retweets,billy mays still alive trumps revolution might legs ,2021-01-17
12,Trump -filter:retweets,evidence r ump guilt piling impeachment trial ,2021-01-17
13,Trump -filter:retweets,bummer dude good job lot peoples situations improved president trump wasnt fo ,2021-01-17
14,Trump -filter:retweets,father law losing sister upset pushing everyone away ,2021-01-17
15,Trump -filter:retweets,trumptook bribes us adversaries ,2021-01-17
16,Trump -filter:retweets,linda graham georgia calling answer incriminating phone call cheating trump ,2021-01-17
17,Trump -filter:retweets,biden wait recommendation sharing secrets trump ,2021-01-17
18,Trump -filter:retweets,everything associated trump white supremacist boogaloo boys kk ,2021-01-17
19,Trump -filter:retweets,healing without accountability trump actions go unpunished says wha ,2021-01-17
20,Trump -filter:retweets,hey mitch mc connell donald trump played republican party jewish friends made alot mone ,2021-01-17
21,Trump -filter:retweets,apparently went trump rally ,2021-01-17
22,Trump -filter:retweets,allow entry throw terrorist thug trump supporters terrorized capitol jan 6th ,2021-01-17
23,Trump -filter:retweets,lindsey graham urges rejection trump impeachment ,2021-01-17
24,Trump -filter:retweets,harvard students request revoke graduate diplomas prominent trump supporters vía iblnews ,2021-01-17
25,Trump -filter:retweets,wait declassify mueller report trump barr took care good reading ,2021-01-17
26,Trump -filter:retweets,mike pence spent 4 years perfecting role faithful subservient lackey lied muc ,2021-01-17
27,Trump -filter:retweets,hey propped newsom forever talking shit trump gonna use ,2021-01-17
28,Trump -filter:retweets,yet despite trump act like lunatic first debate win ,2021-01-17
29,Trump -filter:retweets,reported particular tweet seemed like incitement violence tweets ar ,2021-01-17
30,Trump -filter:retweets,heal nation telling lying protect trump ,2021-01-17
31,Trump -filter:retweets,anyone else looking countdown trumpleaving office look ,2021-01-17
32,Trump -filter:retweets,like supposed wait trump overturn e ,2021-01-17
33,Trump -filter:retweets,full investigation count audits recounts done trump lost ,2021-01-17
34,Trump -filter:retweets,need impeach trump lead greatest healing hold accountable time ,2021-01-17
35,Trump -filter:retweets,lack accountability allowed criminals nixon wh return offices ,2021-01-17
36,Trump -filter:retweets,excellent reporting episode 2 also available ,2021-01-17
37,Trump -filter:retweets,hope guys hold head high take pride fight stop fighting ,2021-01-17
38,Trump -filter:retweets,makes shit time virus hoax 9 months later 1st line vaccine ,2021-01-17
39,Trump -filter:retweets,fair enough biden wait recommendation sharing secrets trump ,2021-01-17
40,Trump -filter:retweets,rich people cannot handle losing money would love see trump broke homeless si ,2021-01-17
41,Trump -filter:retweets,poll poll reject trumps cruel immigration agenda joe bidens plan offers pathway fix outdated ,2021-01-17
42,Trump -filter:retweets,ponder us impeachampconvict pres trump swedish pm stefan lofven assault democrac ,2021-01-17
43,Trump -filter:retweets,trump supporters shouldnt allowed mlk day laughing loud ,2021-01-17
44,Trump -filter:retweets,housed donated trailer parking lot walmart palm beach contains ,2021-01-17
45,Trump -filter:retweets,ask serious question banner look much like trump flag im trying ,2021-01-17
46,Trump -filter:retweets,donald trump press secretary kayleigh mc enany leaves white house via ,2021-01-17
47,Trump -filter:retweets,lindsay graham go know saying stupid lie top trumps lies ,2021-01-17
48,Trump -filter:retweets,great source material trumps trial ,2021-01-17
49,Trump -filter:retweets,right trump grabs em pussies full rapes accused ,2021-01-17
50,Trump -filter:retweets,ive removed 95 one cant ive cut activities completely w ,2021-01-17
51,Trump -filter:retweets,going satisfying watch biden undo trump legislative damage ,2021-01-17
52,Trump -filter:retweets,trump lined pockets enough taxpayer money ,2021-01-17
53,Trump -filter:retweets,ms cortez horrible human elected represent american ppl amp yet chose political power ,2021-01-17
54,Trump -filter:retweets,impeachment must go forward trump loyalist amp insiders protecting butts silence ,2021-01-17
55,Trump -filter:retweets,unfortunately correct believe one media donald trump ,2021-01-17
