,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Affordable Care Act,literally alsfjakldfjakldf conservatives vote interest ofte ,2021-01-21,0.375,0.625,0.0,0.4588,0.0,0.0,1.0,0.0,0.0
1,Affordable Care Act,cory biden us representative de one nation one destiny first 100 days office cory 1 ,2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33
2,Affordable Care Act,dude great pumpkin aint coming talk someone feelings ,2021-01-21,0.369,0.631,0.0,0.6249,0.0,0.0,0.5,0.0,0.5
3,Affordable Care Act,kind understand people feeling sorry trump set bar low pence actually looked ,2021-01-21,0.301,0.491,0.209,0.3612,0.0,0.17,0.17,0.33,0.33
4,Affordable Care Act,affordable care act went long way improving access insurance family entrepreneu ,2021-01-21,0.4,0.6,0.0,0.7184,0.0,0.8,0.0,0.0,0.2
5,Affordable Care Act,remember trump 1st day office signed eo help repeal affordable care act scrub ,2021-01-21,0.349,0.651,0.0,0.7096,0.0,0.4,0.2,0.0,0.4
6,Affordable Care Act,mad last president calling muslim ban ,2021-01-21,0.0,0.37,0.63,-0.7783,0.5,0.0,0.0,0.5,0.0
7,Affordable Care Act,open enrollment health insurance affordable care act still open states ri en ,2021-01-21,0.225,0.775,0.0,0.4939,0.0,0.8,0.0,0.2,0.0
8,Affordable Care Act,live orlando florida would begin saying congratulations everyone question ,2021-01-21,0.328,0.672,0.0,0.5994,0.0,0.67,0.0,0.0,0.33
9,Affordable Care Act,planned parenthood nothing parenthood everything murdering unborn ,2021-01-21,0.365,0.635,0.0,0.5334,0.0,0.0,0.0,1.0,0.0
10,Affordable Care Act,decided watch footage day passed affordable care act im done crying yet ,2021-01-21,0.196,0.613,0.19,0.0258,0.0,0.5,0.25,0.0,0.25
11,Affordable Care Act,thankfully another one bites dust perhaps prosecute 2014 mes ,2021-01-21,0.224,0.56,0.216,0.0258,0.5,0.5,0.0,0.0,0.0
12,Affordable Care Act,lindsey graham sold soul president trump time work ,2021-01-21,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67
13,Affordable Care Act,also used reconciliation try repeal affordable care act 2017 today democrats must use sa ,2021-01-21,0.198,0.802,0.0,0.4939,0.0,1.0,0.0,0.0,0.0
14,Affordable Care Act,education system actually educate citizens churn worthless diplomas ,2021-01-21,0.0,0.707,0.293,-0.4404,0.0,0.5,0.0,0.0,0.5
15,Affordable Care Act,bidens expansion obama affordable care act result unaffordable care act premiums co paym ,2021-01-21,0.368,0.632,0.0,0.7506,0.0,1.0,0.0,0.0,0.0
16,Affordable Care Act,first day trump issued one executive order seeking prompt repeal affordable care act four ,2021-01-21,0.198,0.802,0.0,0.4939,0.0,0.25,0.25,0.0,0.5
17,Affordable Care Act,hopeful reinstate affordable care act eliminate pre existing conditions imposed health insuran ,2021-01-21,0.387,0.536,0.077,0.7351,0.0,0.5,0.0,0.0,0.5
18,Affordable Care Act,hopeful reinstate affordable care act eliminate pre existing conditions imposed h ,2021-01-21,0.439,0.473,0.088,0.7351,0.0,0.5,0.0,0.0,0.5
