,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Amy Coney Barrett,still pissed voted amy coney barrett good use power ,2021-01-06,0.206,0.496,0.298,-0.3182,0.67,0.0,0.33,0.0,0.0
1,Amy Coney Barrett,yall couldnt stop gloating supreme court amy ,2021-01-06,0.192,0.51,0.298,-0.2584,0.0,0.5,0.5,0.0,0.0
2,Amy Coney Barrett,two days ago sent tweet stating amy coney barrett confirmed 34 days ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.2,0.0
3,Amy Coney Barrett,corrupt judges tax cuts important ask mitch federalist society ask amy coney ,2021-01-06,0.129,0.714,0.157,-0.1027,0.0,0.75,0.25,0.0,0.0
4,Amy Coney Barrett,mitch mc connells senate could ram amy coney barretts nomination record time house ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Amy Coney Barrett,ca said confirming amy coney barrett ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
6,Amy Coney Barrett,legitimately fear rights republican like mike pence gets elected amy coney ,2021-01-06,0.17,0.612,0.218,-0.1779,0.0,0.5,0.0,0.5,0.0
7,Amy Coney Barrett,add trump success creating decisively conservative supreme court recently justic ,2021-01-06,0.576,0.424,0.0,0.8591,0.0,0.4,0.0,0.4,0.2
8,Amy Coney Barrett,always bad apples mixed good ones raised amy coney barrett even ,2021-01-06,0.188,0.584,0.227,-0.1531,0.0,0.25,0.25,0.5,0.0
9,Amy Coney Barrett,sasse voted acquit first impeachment sasse voted confirm gorsuch amy coney barrett ,2021-01-06,0.141,0.859,0.0,0.2023,0.0,0.5,0.0,0.0,0.5
10,Amy Coney Barrett,hope none way bumming amy coney barrett ,2021-01-06,0.326,0.674,0.0,0.4404,0.0,0.5,0.0,0.5,0.0
11,Amy Coney Barrett,biggest dc superspreader event since amy coney barrett nomination check case rates 10 days ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,Amy Coney Barrett,corruption sides make mistake parties pull sorts ,2021-01-06,0.267,0.495,0.238,0.0772,0.0,0.0,0.0,0.5,0.5
13,Amy Coney Barrett,actually say double standard umm merrick garland amy coney barrett ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Amy Coney Barrett,senate confirm amy coney barrett quickly surely impeach 14 days ,2021-01-06,0.244,0.756,0.0,0.4404,0.0,0.5,0.25,0.25,0.0
15,Amy Coney Barrett,need amy coney barrett shit ,2021-01-06,0.0,0.526,0.474,-0.5574,0.0,0.0,0.0,0.0,1.0
16,Amy Coney Barrett,yeah fine else going ever get amy coney barrett supreme court ,2021-01-06,0.487,0.513,0.0,0.765,0.0,0.5,0.25,0.0,0.25
17,Amy Coney Barrett,maybe biden understands need pack supreme court little better neil gorsuch brett kavanaugh ,2021-01-06,0.361,0.639,0.0,0.7357,0.0,0.5,0.0,0.0,0.5
18,Amy Coney Barrett,arent guy called soldiers jack booted thugs made bigoted attack amy coney b ,2021-01-06,0.0,0.78,0.22,-0.4767,0.0,0.0,0.0,1.0,0.0
19,Amy Coney Barrett,new articles impeachment get warp speed treatment amy coney barretts scotus app ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Amy Coney Barrett,impeach speed enthusiasm confirmed amy coney barrett ,2021-01-06,0.326,0.674,0.0,0.4404,0.0,0.67,0.33,0.0,0.0
21,Amy Coney Barrett,congress challenge ram impeachment removal quicker senate rammed amy coney ,2021-01-06,0.126,0.874,0.0,0.0772,0.0,0.5,0.0,0.0,0.5
22,Amy Coney Barrett,would good time amy coney barrett take notes ,2021-01-06,0.293,0.707,0.0,0.4404,0.0,0.5,0.5,0.0,0.0
23,Amy Coney Barrett,take long congress wants take amy coney barrett situation showed co ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.33
24,Amy Coney Barrett,hate hawleys smug fucking pretty face much saying bullshit forever probably know nam ,2021-01-06,0.243,0.413,0.344,-0.4951,0.0,0.33,0.33,0.17,0.17
25,Amy Coney Barrett,remember time amy barrett would answer cory booker question whether presidents commit p ,2021-01-06,0.167,0.833,0.0,0.296,0.0,1.0,0.0,0.0,0.0
26,Amy Coney Barrett,brett kavanaugh amy coney barrett christmas card list dr president elect ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Amy Coney Barrett,moved us 200 ive learned many white americans delusional amount confidence g ,2021-01-06,0.248,0.752,0.0,0.5106,0.0,1.0,0.0,0.0,0.0
28,Amy Coney Barrett,wonder queen amy coney barrett say ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29,Amy Coney Barrett,thinking back amy coney barrett bravely declined weigh whether supported peaceful transfer power ,2021-01-06,0.468,0.532,0.0,0.8316,0.25,0.25,0.25,0.0,0.25
30,Amy Coney Barrett,amy coney barrett nation turns lonely eyes ,2021-01-06,0.0,0.706,0.294,-0.3612,0.0,0.0,0.0,0.5,0.5
31,Amy Coney Barrett,amy coney barrett worth bye moscow mitch sedition consequences ,2021-01-06,0.162,0.598,0.239,-0.2263,0.0,1.0,0.0,0.0,0.0
32,Amy Coney Barrett,defended trump four years refused uphold oath ignoring replete facts impeachable conduct abus ,2021-01-06,0.0,0.692,0.308,-0.5994,0.0,0.0,0.0,0.5,0.5
33,Amy Coney Barrett,amy coney barrett confirmed two months ago deranged president wasnt elected sitting b ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
34,Amy Coney Barrett,trump really clung president four years came nominating amy coney barrett ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
35,Amy Coney Barrett,sorry aaron im remembering ur calling fort sumter massive response amy coney barr ,2021-01-06,0.0,0.902,0.098,-0.0772,0.0,0.0,0.0,1.0,0.0
36,Amy Coney Barrett,tried sent back email office 3 different fonts cut pasted som ,2021-01-06,0.0,0.811,0.189,-0.2732,0.0,1.0,0.0,0.0,0.0
37,Amy Coney Barrett,wow would done amy coney barrett nomination wed known easy ,2021-01-06,0.456,0.544,0.0,0.7717,0.0,0.5,0.0,0.0,0.5
38,Amy Coney Barrett,im honest shouldve us amy coney barrett confirmation hearings ,2021-01-06,0.292,0.708,0.0,0.5106,0.0,0.0,0.0,0.0,0.0
39,Amy Coney Barrett,moved us 200 ive learned many white americans delusional amount confidence g ,2021-01-06,0.248,0.752,0.0,0.5106,0.0,1.0,0.0,0.0,0.0
40,Amy Coney Barrett,long live neil gorsuch brett kavanagh amy coney barrett inextricably tied sequenc ,2021-01-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,Amy Coney Barrett,republican politicians speak supported also blame happ ,2021-01-06,0.237,0.515,0.247,-0.0258,0.0,1.0,0.0,0.0,0.0
42,Amy Coney Barrett,february 20th date mc connell birthday merrick garland appointed attorney general ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Amy Coney Barrett,allowed rhetoric go unanswered could put amy coney barrett ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44,Amy Coney Barrett,opinion amy coney barrett exemplifies problem judicial system ,2021-01-06,0.0,0.722,0.278,-0.4019,0.0,1.0,0.0,0.0,0.0
45,Amy Coney Barrett,gotta enough impeachconvict next week right give process amy coney barrett treatment ,2021-01-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,Amy Coney Barrett,done neil gorsuch brett kavanaugh amy coney barrett look sweet sweet jobs ,2021-01-06,0.375,0.625,0.0,0.7184,0.0,1.0,0.0,0.0,0.0
47,Amy Coney Barrett,impeach mf let leave impeachment go full amy coney barrett rush ,2021-01-06,0.0,0.893,0.107,-0.0516,0.0,0.33,0.33,0.33,0.0
48,Amy Coney Barrett,gorsuch honestly better expecting bee ,2021-01-06,0.663,0.337,0.0,0.7096,0.0,0.0,0.5,0.0,0.5
49,Amy Coney Barrett,shoutout tcja neil gorsuch brett kavanaugh amy coney barrett things conservatives want ,2021-01-06,0.106,0.894,0.0,0.0772,0.0,0.0,0.0,0.0,1.0
50,Amy Coney Barrett,energy liberals said would bring amy coney barrett nominated ,2021-01-06,0.208,0.792,0.0,0.2732,0.0,0.33,0.0,0.33,0.33
51,Amy Coney Barrett,patrician patrician gleefully supported blocking merritt garland confirming amy con ,2021-01-06,0.178,0.62,0.202,-0.0772,0.0,0.5,0.5,0.0,0.0
52,Amy Coney Barrett,course fascists first actually storm capitol remember libs threatened ,2021-01-06,0.0,0.593,0.407,-0.5859,0.0,0.4,0.0,0.2,0.4
53,Amy Coney Barrett,would whole lot cooler left progressives resistance amy coney barrett confirmation ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0
54,Amy Coney Barrett,whats happening capitol right democrats prevent amy coney barretts c ,2021-01-06,0.121,0.879,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
55,Amy Coney Barrett,got amy coney barrett record time must ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
