,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,BLM,blm riots dont ,2020-10-27,0.0,0.377,0.623,-0.5106,0.0,1.0,0.0,0.0,0.0
1,BLM,democrat run state limited number polling stations due pandemic lockdown ,2020-10-27,0.116,0.714,0.17,-0.1531,0.0,0.33,0.0,0.33,0.33
2,BLM,sun may 31 2020 new york city new york several violent arrests made police watch cit ,2020-10-27,0.0,0.673,0.327,-0.7783,0.0,0.33,0.0,0.33,0.33
3,BLM,uk blm affiliate behind attempt use name political party ,2020-10-27,0.252,0.748,0.0,0.4019,0.0,0.0,0.0,1.0,0.0
4,BLM,rid ,2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,BLM,white history month ,2020-10-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
6,BLM,support blm ,2020-10-27,0.73,0.27,0.0,0.4019,0.0,0.0,0.0,0.0,0.0
7,BLM,amp covid plot control population asking friend dont kill laughing loud blm ,2020-10-27,0.374,0.485,0.142,0.6497,0.0,0.33,0.33,0.0,0.33
8,BLM,hearts go family walter wallace jr life tragically cut short last night tim ,2020-10-27,0.0,0.655,0.345,-0.7003,0.2,0.2,0.0,0.4,0.2
9,BLM,ah another peaceful protest blm ,2020-10-27,0.39,0.366,0.244,0.296,0.0,0.0,1.0,0.0,0.0
10,BLM,oh ok nothing young brother killed blm ,2020-10-27,0.537,0.463,0.0,0.6994,0.0,0.0,0.0,0.0,1.0
11,BLM,advocating rights exist necessarily mean need rights well ,2020-10-27,0.231,0.769,0.0,0.2732,0.0,1.0,0.0,0.0,0.0
12,BLM,imagine covered blm routed act blue ,2020-10-27,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.25,0.25
13,BLM,epa osha blm every regulatory agency stands ,2020-10-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14,BLM,queer pansexual blm ,2020-10-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,BLM,atlanta knowns clown ,2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,BLM,allin tour union county next join us blm mural located 100 hamlet street union sc 29379 ,2020-10-27,0.128,0.872,0.0,0.296,0.0,0.0,0.0,1.0,0.0
17,BLM,last event engaged bhm2020 organised team brilliant young people ,2020-10-27,0.481,0.519,0.0,0.7579,0.0,0.5,0.5,0.0,0.0
18,BLM,blm political group got ,2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
19,BLM,10 million blm penny ,2020-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,BLM,miss ,2020-10-27,0.0,0.0,1.0,-0.1531,0.0,0.0,0.0,1.0,0.0
21,BLM,police officers forced flee area blm extremely violent rioters video via gop times ,2020-10-27,0.0,0.605,0.395,-0.8016,0.0,1.0,0.0,0.0,0.0
22,BLM,5 inspired blm malcolm revisited project original ballot bullet ,2020-10-27,0.478,0.522,0.0,0.6705,0.0,0.0,1.0,0.0,0.0
23,BLM,british footballers going kneel official british political party banned poppies th ,2020-10-27,0.184,0.612,0.204,-0.0772,0.0,0.5,0.0,0.5,0.0
24,BLM,agree honestly would never offend anyone religion know plays important part pe ,2020-10-27,0.615,0.385,0.0,0.8477,0.0,0.67,0.33,0.0,0.0
