,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Biden,significant statement also national security advisor president elect joe biden ,2021-01-17,0.344,0.656,0.0,0.4939,0.0,0.33,0.67,0.0,0.0
1,Biden,house white supremacist tucker carlson wasting time trashing biden ,2021-01-17,0.134,0.625,0.241,-0.296,0.5,0.5,0.0,0.0,0.0
2,Biden,losing control biden sworn house senate trump kicked ,2021-01-17,0.0,0.729,0.271,-0.3818,0.25,0.0,0.0,0.25,0.5
3,Biden,great work long long biden general like switch flipped ,2021-01-17,0.485,0.515,0.0,0.765,0.2,0.6,0.2,0.0,0.0
4,Biden,well might shock therapy need ,2021-01-17,0.273,0.39,0.338,-0.128,0.5,0.0,0.0,0.0,0.5
5,Biden,biden day one instituting mask mandate federal property hope bunch arrest ,2021-01-17,0.203,0.629,0.168,0.128,0.0,0.33,0.33,0.33,0.0
6,Biden,hypocrites biden shouldnt even blink make complaints ,2021-01-17,0.0,0.69,0.31,-0.4019,0.0,0.0,0.0,1.0,0.0
7,Biden,one sentence biden stimulus plan reveals health care approach ,2021-01-17,0.391,0.609,0.0,0.5423,0.0,0.0,0.0,0.0,1.0
8,Biden,cant biden fire ass ,2021-01-17,0.71,0.29,0.0,0.5975,0.0,0.0,0.0,0.0,0.0
9,Biden,,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Biden,done catholic priest admonishes parishioners voting joe biden need like ,2021-01-17,0.217,0.783,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
11,Biden,lmfao sorry man one buying guys called biden commie would ,2021-01-17,0.273,0.625,0.102,0.4939,0.0,0.5,0.0,0.5,0.0
12,Biden,philly biden got 9999 percent votes supposedly 4 ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Biden,biden wait recommendation sharing secrets trump ,2021-01-17,0.359,0.641,0.0,0.4215,0.0,0.0,0.0,0.0,1.0
14,Biden,dreams last night 2749 early sailing trip 2750 angry coffee guy 2751 foggy mountain hea ,2021-01-17,0.142,0.684,0.174,-0.1531,1.0,0.0,0.0,0.0,0.0
15,Biden,parkland school shooting many opposed putting armed guards public schools ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33
16,Biden,biden hate brown people ,2021-01-17,0.0,0.448,0.552,-0.5719,0.0,0.0,0.0,1.0,0.0
17,Biden,hope biden changes back jackie os design ,2021-01-17,0.326,0.674,0.0,0.4404,0.0,0.5,0.0,0.0,0.5
18,Biden,excellent reporting episode 2 also available ,2021-01-17,0.481,0.519,0.0,0.5719,0.0,0.0,0.5,0.5,0.0
19,Biden,opinion dumbest part whole 1400 check discourse people fine aoc tlaib bernie adv ,2021-01-17,0.112,0.683,0.205,-0.3612,0.0,0.5,0.5,0.0,0.0
20,Biden,makes shit time virus hoax 9 months later 1st line vaccine ,2021-01-17,0.0,0.584,0.416,-0.6908,0.0,0.33,0.0,0.33,0.33
21,Biden,fair enough biden wait recommendation sharing secrets trump ,2021-01-17,0.459,0.541,0.0,0.6249,0.0,0.0,0.0,0.0,1.0
22,Biden,nope biden typical centrist liberal whose job keep capitalist status quo appeased keepi ,2021-01-17,0.137,0.863,0.0,0.2263,0.5,0.5,0.0,0.0,0.0
23,Biden,implicit 74 million talking point 81 million voted biden matter quite much ,2021-01-17,0.091,0.909,0.0,0.0258,0.0,0.67,0.0,0.0,0.33
24,Biden,thinking needs bigger cemented historic actions changes address inequality ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
25,Biden,theres way biden listens kendrick tribe called quest ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Biden,easydifficult biden sack ,2021-01-17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,Biden,going satisfying watch biden undo trump legislative damage ,2021-01-17,0.246,0.492,0.262,-0.0516,0.0,0.25,0.0,0.25,0.5
28,Biden,impeachment must go forward trump loyalist amp insiders protecting butts silence ,2021-01-17,0.2,0.8,0.0,0.3612,0.0,0.0,0.33,0.0,0.67
29,Biden,joe biden shall pass ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Biden,president elect joe biden deliver appeal national unity sworn wednesday ,2021-01-17,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.0
31,Biden,putin trump keep simple stupid ass biden excellent potus ,2021-01-17,0.223,0.361,0.416,-0.4939,0.0,0.33,0.33,0.0,0.33
32,Biden,stop impeachment good country bidens presidency short ,2021-01-17,0.287,0.495,0.218,0.1779,0.5,0.0,0.5,0.0,0.0
33,Biden,biden doesnt support impeachment would seen supporting coup ,2021-01-17,0.26,0.538,0.202,0.1635,0.0,0.5,0.0,0.5,0.0
34,Biden,hazing biden make happen year stupid gonna take time hate saying tha ,2021-01-17,0.0,0.585,0.415,-0.7964,0.0,0.0,0.0,0.75,0.25
35,Biden,cant wait bad trumps man enough welcome biden white house instead ,2021-01-17,0.394,0.606,0.0,0.705,0.0,0.33,0.17,0.17,0.33
36,Biden,trump deserving criticism biden harris rubber stamped whov ,2021-01-17,0.0,0.707,0.293,-0.4404,0.33,0.0,0.0,0.0,0.67
37,Biden,trump right along amp trusted say bring already know obama biden weap ,2021-01-17,0.22,0.78,0.0,0.4767,0.0,0.4,0.0,0.2,0.4
38,Biden,putin ill never see another several years retire committee oust ass ru ,2021-01-17,0.0,0.613,0.387,-0.743,0.0,0.0,0.0,0.0,0.0
39,Biden,100 biden sole discretion biden also deny security clearance newly installed ,2021-01-17,0.174,0.652,0.174,0.0,0.0,0.5,0.0,0.5,0.0
40,Biden,linsey graham still defending trump dont get trump everyone himincluding kay ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
41,Biden,biden wear hush puppies ,2021-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42,Biden,true lmao plus person thinking suppor ,2021-01-17,0.626,0.374,0.0,0.7717,0.0,0.0,0.0,0.0,1.0
43,Biden,whats end game threat trump supporters going bidens bl ,2021-01-17,0.397,0.385,0.218,0.4215,0.0,0.67,0.0,0.0,0.33
44,Biden,biden admitted live video ,2021-01-17,0.318,0.682,0.0,0.1027,0.0,0.0,0.0,1.0,0.0
45,Biden,stop aiding abetting traitor trump call ga trying get votes f ,2021-01-17,0.0,0.804,0.196,-0.296,0.0,0.0,0.0,0.0,1.0
