,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Black Lives Matter,black lives matter park courts next gen ,2020-11-08,0.155,0.845,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
1,Black Lives Matter,try get head saying black lives matter doesnt mean ,2020-11-08,0.121,0.879,0.0,0.0258,0.0,0.67,0.0,0.0,0.33
2,Black Lives Matter,anyway let fucks get away subverting black lives matter continue fight abusive polici ,2020-11-08,0.055,0.45,0.495,-0.8689,0.2,0.2,0.2,0.4,0.0
3,Black Lives Matter,bernie sanders place make evaluation need put comment int ,2020-11-08,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.0
4,Black Lives Matter,comment black lives matter defund police turned voters democrats w ,2020-11-08,0.121,0.879,0.0,0.0258,0.0,0.5,0.0,0.0,0.5
5,Black Lives Matter,decided today going posting photos distraction anymore mat ,2020-11-08,0.0,0.729,0.271,-0.3818,0.0,0.67,0.0,0.33,0.0
6,Black Lives Matter,pittsburgh black lives matter mural located underneath fort duquesne bridge painted prep ,2020-11-08,0.091,0.909,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
7,Black Lives Matter,,2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Black Lives Matter,pittsburgh black lives matter mural located underneath fort duquesne bridge painted prep ,2020-11-08,0.091,0.909,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
9,Black Lives Matter,black lives matter protest ,2020-11-08,0.216,0.392,0.392,-0.2263,0.0,1.0,0.0,0.0,0.0
10,Black Lives Matter,girl dinner date asks support black lives matter ,2020-11-08,0.388,0.612,0.0,0.4215,0.0,0.67,0.0,0.0,0.33
11,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
12,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
13,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
14,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
15,Black Lives Matter,black lives matter ,2020-11-08,0.355,0.645,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
16,Black Lives Matter,trying proclaim black lives ,2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,Black Lives Matter,pls dont let advocation black lives matter end election ,2020-11-08,0.255,0.745,0.0,0.1027,0.0,0.5,0.0,0.5,0.0
18,Black Lives Matter,thomas sowell black lives matter via tube ,2020-11-08,0.155,0.845,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
19,Black Lives Matter,narrative white offic ,2020-11-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,Black Lives Matter,tried posting truth black lives matter facebook get post understand friend ,2020-11-08,0.452,0.548,0.0,0.6808,0.0,0.5,0.5,0.0,0.0
21,Black Lives Matter,watch black lives matter crashes biden celebration say democrats wo raise fists racist ,2020-11-08,0.068,0.683,0.248,-0.5994,0.2,0.2,0.0,0.0,0.6
22,Black Lives Matter,video stop steal black lives matter protesters take streets michigan cities ,2020-11-08,0.071,0.455,0.474,-0.7351,0.0,0.33,0.0,0.33,0.33
23,Black Lives Matter,netflix f black lives matter collection ,2020-11-08,0.216,0.784,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
24,Black Lives Matter,noticed coronavirus doesnt show black lives matter protest ,2020-11-08,0.121,0.659,0.22,-0.2263,0.0,1.0,0.0,0.0,0.0
25,Black Lives Matter,completely understand history ,2020-11-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,Black Lives Matter,matter tho black lives matter trans rights matter womens rights matter covid real science real ,2020-11-08,0.286,0.714,0.0,0.1027,0.0,0.75,0.0,0.25,0.0
27,Black Lives Matter,daily reminder tell black lives still matter ,2020-11-08,0.155,0.845,0.0,0.0258,0.0,0.5,0.0,0.5,0.0
28,Black Lives Matter,talking uyghur maybe hongkong like talking black lives matter chinese people access real problem ,2020-11-08,0.208,0.636,0.156,-0.0258,0.0,0.67,0.0,0.33,0.0
29,Black Lives Matter,pittsburgh black lives matter mural located underneath fort duquesne bridge pain ,2020-11-08,0.082,0.672,0.246,-0.4939,0.0,1.0,0.0,0.0,0.0
30,Black Lives Matter,called black lives matter plaza kook reword tweet ,2020-11-08,0.136,0.864,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
31,Black Lives Matter,black lives matter bio ,2020-11-08,0.268,0.732,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
32,Black Lives Matter,4 black lives matter hate group else want say riddle liberals white man ,2020-11-08,0.159,0.596,0.245,-0.5106,0.0,0.5,0.0,0.17,0.33
33,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
34,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
35,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
36,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
37,Black Lives Matter,yall trying get us compromise white supremacists meet halfway black lives matter ,2020-11-08,0.084,0.763,0.153,-0.2263,0.0,1.0,0.0,0.0,0.0
38,Black Lives Matter,fault never meant implicate black lives matter ,2020-11-08,0.125,0.568,0.307,-0.3818,0.0,1.0,0.0,0.0,0.0
39,Black Lives Matter,deserves listened equal anyone anyone stolen jail r ,2020-11-08,0.0,0.652,0.348,-0.4939,0.0,0.0,0.0,0.0,1.0
40,Black Lives Matter,start shit anyone else notice weird al never said black lives matter like discussion ha ,2020-11-08,0.282,0.469,0.249,-0.0772,0.0,0.5,0.0,0.0,0.5
41,Black Lives Matter,black lives matter ,2020-11-08,0.355,0.645,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
42,Black Lives Matter,disgusting means zag zags protect zags zags believe black lives matter ,2020-11-08,0.245,0.53,0.225,-0.1779,0.0,0.33,0.33,0.33,0.0
43,Black Lives Matter,happens 98 blackbrown paramilitary militia walk streets wsniper weapons ,2020-11-08,0.0,0.734,0.266,-0.4404,0.0,0.0,0.0,1.0,0.0
44,Black Lives Matter,guess since black lives matter ok ,2020-11-08,0.452,0.548,0.0,0.3182,0.0,0.5,0.0,0.0,0.5
45,Black Lives Matter,1 top 10 bits racism shapeshiftingcreep ,2020-11-08,0.202,0.337,0.461,-0.5106,0.0,0.5,0.0,0.0,0.5
46,Black Lives Matter,love love black lives matter stop trying fight youre woman lik ,2020-11-08,0.468,0.296,0.236,0.6908,0.0,0.25,0.5,0.25,0.0
47,Black Lives Matter,truly confuses screaming black lives matter yet still killing really need ,2020-11-08,0.207,0.311,0.482,-0.743,0.0,0.5,0.0,0.0,0.5
48,Black Lives Matter,watch crowds gather second day black lives matter plaza biden victory projected msnbc tube ,2020-11-08,0.078,0.922,0.0,0.0258,0.0,0.6,0.2,0.0,0.2
49,Black Lives Matter,ohh maybe ones anti black lives matter ones anti antifascist guess ,2020-11-08,0.08,0.584,0.336,-0.5423,0.0,0.75,0.0,0.0,0.25
50,Black Lives Matter,exactly nothing could done would made less blowout bigoted c ,2020-11-08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
51,Black Lives Matter,catch covid trump rallies church small family gatherings like thanksgiving christmas ,2020-11-08,0.2,0.8,0.0,0.3612,0.0,0.25,0.0,0.0,0.75
52,Black Lives Matter,,2020-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,Black Lives Matter,black lives matter toronto said death part corrupt system set harm black trans peopl ,2020-11-08,0.056,0.564,0.379,-0.8074,0.0,0.83,0.0,0.0,0.17
54,Black Lives Matter,guess time blm street signs painted roads riots diminished cause person voted ,2020-11-08,0.0,0.769,0.231,-0.5106,0.0,0.5,0.0,0.25,0.25
55,Black Lives Matter,women marching wearing black lives matter shirts see performative activism ,2020-11-08,0.109,0.891,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
56,Black Lives Matter,kamala black lives matter democrat party black votes matter people wanted progressive c ,2020-11-08,0.353,0.647,0.0,0.4404,0.0,1.0,0.0,0.0,0.0
57,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
58,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
59,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
60,Black Lives Matter,black lives matter anti fascism terrorism humans right protest botsforblacklives ,2020-11-08,0.069,0.375,0.556,-0.8316,0.0,1.0,0.0,0.0,0.0
61,Black Lives Matter,huge mistake stubborn bernie made movement slogans important b ,2020-11-08,0.311,0.303,0.386,-0.25,0.0,0.0,0.5,0.5,0.0
62,Black Lives Matter,expect group laughing loud black lives matter antifa biden supporters ,2020-11-08,0.507,0.493,0.0,0.7351,0.0,0.33,0.33,0.0,0.33
