,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,COVID-19,real family members covid 19 much real ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33
1,COVID-19,seven lessons leaders take covid 19 crisis vía ,2021-01-06,0.0,0.631,0.369,-0.6249,0.0,1.0,0.0,0.0,0.0
2,COVID-19,sorry circle back tweet want us pray america sa struggling wit ,2021-01-06,0.245,0.476,0.279,-0.128,0.0,0.33,0.0,0.33,0.33
3,COVID-19,man serving life sentence murders two us marshals killed shootout near small north ,2021-01-06,0.066,0.505,0.429,-0.8481,0.0,0.67,0.0,0.0,0.33
4,COVID-19,effective leaders need aware role new challenge brought global coronavirus covid 19 ,2021-01-06,0.306,0.694,0.0,0.5267,0.0,0.33,0.0,0.67,0.0
5,COVID-19,covid 19 vaccines delay delay second doses bmj ,2021-01-06,0.0,0.566,0.434,-0.5574,0.0,0.0,0.0,0.0,0.0
6,COVID-19,addition 34000 covid 19 deaths accessory hi ,2021-01-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,COVID-19,covid 19 made clear speed change adaptation key malik khan executive chairman co fou ,2021-01-06,0.167,0.833,0.0,0.3818,0.0,0.0,0.0,1.0,0.0
8,COVID-19,cooper kupp activated covid 19 list ahead rams playoff game vs seahawks ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,COVID-19,hey gov roy cooper nc 195 covid honestly wtaf ,2021-01-06,0.273,0.727,0.0,0.4588,0.0,0.0,0.0,0.0,1.0
10,COVID-19,covid 19 medical story year missed 2020 treatment ebola ,2021-01-06,0.0,0.784,0.216,-0.296,0.0,0.0,0.0,1.0,0.0
11,COVID-19,fair direct evidence covid 19 originated ,2021-01-06,0.315,0.685,0.0,0.3182,0.0,1.0,0.0,0.0,0.0
12,COVID-19,president elect joe biden communication team comprises women chosen due way female leaders ,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,COVID-19,covid 19 test gatwick evening atmosphere amazingly reminiscent children men grim experience overall efficient though ,2021-01-06,0.144,0.667,0.19,-0.2263,0.0,0.0,0.0,1.0,0.0
14,COVID-19,indiana roll covid 19 vaccine groups age starting 80 via indystar ,2021-01-06,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
15,COVID-19,sport mask exhalation valves washable mask high quality low price delivery available lebanon ,2021-01-06,0.0,0.851,0.149,-0.2732,0.0,0.25,0.0,0.75,0.0
16,COVID-19,seeing entire world facing 2 major issues climate change covid 19 painful washington dc capitol ,2021-01-06,0.0,0.818,0.182,-0.4404,0.25,0.5,0.0,0.25,0.0
