,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,COVID,im getting stupid drunk w family tonight fuck covid ,2020-10-31,0.0,0.35,0.65,-0.8519,0.0,0.0,0.5,0.0,0.5
1,COVID,young people afraid getting covid im confused ,2020-10-31,0.0,0.723,0.277,-0.3182,0.0,1.0,0.0,0.0,0.0
2,COVID,,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COVID,around 900 realistically since cdc repor ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,COVID,people said fuck covid last night ,2020-10-31,0.0,0.588,0.412,-0.5423,0.0,0.0,0.5,0.0,0.5
5,COVID,god cant watch obama hes liar trump never said inject bleach cure covid democratic p ,2020-10-31,0.121,0.69,0.19,-0.296,0.0,0.0,0.0,0.0,1.0
6,COVID,covid19 austria going partial four week lockdown due surge covid 19 cases ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0
7,COVID,hi mark meadows october 31 believe checks calendar yep confirm october 31 ,2020-10-31,0.167,0.833,0.0,0.296,0.0,1.0,0.0,0.0,0.0
8,COVID,hear crickets obama lost field stop yelling us everything said wo ,2020-10-31,0.0,0.667,0.333,-0.5423,0.0,0.2,0.0,0.4,0.4
9,COVID,carrying covid 19 ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,COVID,yall might covid chile anyways ,2020-10-31,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11,COVID,friends let make cannabis available diseases must covered system amp growing freedom drop ,2020-10-31,0.448,0.448,0.104,0.7845,0.0,0.4,0.2,0.4,0.0
12,COVID,anybody still giving airtime even peers state work embarrassmen ,2020-10-31,0.231,0.769,0.0,0.34,0.0,0.67,0.0,0.33,0.0
13,COVID,first told secret cinema work friend went along star wars event ,2020-10-31,0.203,0.57,0.228,-0.1027,0.0,0.33,0.17,0.17,0.33
14,COVID,23000 americans dead co vid 19 8 months ,2020-10-31,0.0,0.583,0.417,-0.6486,0.0,0.0,0.0,0.0,0.0
15,COVID,vitamin 400iu shown effective help fight covid 19 solideat ,2020-10-31,0.513,0.321,0.167,0.6597,0.0,0.0,0.0,0.5,0.5
16,COVID,dont want lock chance celebrate xmas property want lockdown stop thousa ,2020-10-31,0.23,0.373,0.397,0.0813,0.0,1.0,0.0,0.0,0.0
17,COVID,thing anyone know wants hear going get freedom back ,2020-10-31,0.344,0.656,0.0,0.6369,0.0,0.5,0.0,0.0,0.5
18,COVID,anytime feel like miss going outoutside look covid cases shake back ,2020-10-31,0.181,0.58,0.239,0.0516,0.0,0.5,0.0,0.5,0.0
19,COVID,crap 8 months numbers going bunch ,2020-10-31,0.0,0.606,0.394,-0.3818,0.0,0.67,0.0,0.0,0.33
20,COVID,still struggling covid pal hope youre mend ,2020-10-31,0.271,0.467,0.262,0.0258,0.0,0.33,0.0,0.67,0.0
21,COVID,us set new world record coronavirus cases 24 hours according one count ove ,2020-10-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
22,COVID,new paper missed vaccine opportunities pneumoniae influenza patients admitted covid 19 pand ,2020-10-31,0.263,0.592,0.145,0.2023,0.0,0.0,0.25,0.75,0.0
23,COVID,ah interesting 4 xl battery superb normal day ends around 30 40 even pre covid used use lte ,2020-10-31,0.312,0.688,0.0,0.7783,0.0,0.25,0.75,0.0,0.0
24,COVID,er drs trumps false claims drs profiting covid 19 bald faced brazen lie reacting trumps ba ,2020-10-31,0.148,0.852,0.0,0.3818,0.2,0.2,0.0,0.0,0.6
25,COVID,one good things covid malarkey boris life fucking misery thought ,2020-10-31,0.195,0.537,0.268,-0.2716,0.0,0.2,0.4,0.0,0.4
26,COVID,covid exist mississippi people stop getting close ,2020-10-31,0.0,0.732,0.268,-0.296,0.0,0.0,1.0,0.0,0.0
27,COVID,weirdass self doesnt imply previous tiny crowds covid safety protocols ,2020-10-31,0.237,0.763,0.0,0.4215,0.0,1.0,0.0,0.0,0.0
28,COVID,gov cuomo announces mandatory covid 19 testing state travelers via nypmetro ,2020-10-31,0.115,0.885,0.0,0.0772,0.0,0.0,0.0,1.0,0.0
29,COVID,would imagine lot like britt mates said masks nonsense ages loc ,2020-10-31,0.176,0.634,0.19,-0.0516,0.17,0.17,0.0,0.33,0.33
30,COVID,england reportedly prepares second lockdown worth listening variant ,2020-10-31,0.213,0.787,0.0,0.2263,0.0,1.0,0.0,0.0,0.0
31,COVID,lost seat speak household case excuse dereliction ,2020-10-31,0.151,0.581,0.267,-0.25,0.0,0.25,0.0,0.75,0.0
32,COVID,breaking new study stanford university estimates trump rallies led ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67
33,COVID,god wonder really worth risking covid get drunk randoms ,2020-10-31,0.301,0.35,0.349,-0.1742,0.0,0.25,0.0,0.0,0.75
34,COVID,greed people attention amp affection costs even lives keep looting america ,2020-10-31,0.225,0.596,0.179,0.1779,0.0,0.0,0.5,0.0,0.5
35,COVID,want go different timeline continued 20 seasons covid never happe ,2020-10-31,0.126,0.874,0.0,0.0772,0.0,0.0,0.0,0.0,0.0
36,COVID,22 sat information confirmed covid 19 cases among store employee long 20 day ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0
37,COVID,news pfizers covid19 vaccine good news bad news ,2020-10-31,0.234,0.484,0.282,-0.1531,0.0,0.0,0.5,0.5,0.0
38,COVID,oct 28th sweden saw highest new covid 19 case rate date destroying myth already herd immunity ,2020-10-31,0.0,0.806,0.194,-0.5574,0.0,1.0,0.0,0.0,0.0
39,COVID,mean got mar lago think less covid restrictions optics let real ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33
40,COVID,longer covid control 9999 survival rate among 50 wa ,2020-10-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,COVID,however countries would trust media effectively dealt covid new ,2020-10-31,0.47,0.53,0.0,0.7351,0.0,0.67,0.0,0.0,0.33
42,COVID,doubt choose covid amp yall still vote man pieces shit lot ,2020-10-31,0.0,0.596,0.404,-0.7269,0.0,0.33,0.0,0.33,0.33
43,COVID,afghanistan records 91 new covid 19 infections ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,COVID,covid swab tests pass result nhs test amp trace positive ive possibly ,2020-10-31,0.247,0.753,0.0,0.5574,0.0,0.0,0.0,1.0,0.0
45,COVID,july tx med assoc put together inform per expos risks associated covid 19 ,2020-10-31,0.16,0.705,0.135,0.1027,0.0,0.0,0.0,1.0,0.0
46,COVID,obama says biden presidency restores normalcy reduce political stress able get wi ,2020-10-31,0.147,0.667,0.187,-0.1531,0.0,0.0,0.0,0.0,1.0
47,COVID,lemony narrator person care 20000 covid deaths going care ,2020-10-31,0.478,0.522,0.0,0.7506,0.0,1.0,0.0,0.0,0.0
48,COVID,covid 19 confirmed cases 10312020 confirmed cases include presumptive positive cases active cases total ,2020-10-31,0.344,0.656,0.0,0.743,0.0,1.0,0.0,0.0,0.0
49,COVID,election day come pass get covid results also stop see political ads ,2020-10-31,0.0,0.833,0.167,-0.296,0.0,0.0,1.0,0.0,0.0
50,COVID,bigot person obstinately unreasonably attached belief ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
51,COVID,halloween tonight covid numbers going dramatically every week lights ,2020-10-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,COVID,example would someone developed pneumonia result covid 19 dies ,2020-10-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,COVID,top 20 causes death per country guarantee covid wo anywhere near fearmongers want l ,2020-10-31,0.283,0.5,0.217,-0.2023,0.0,0.5,0.0,0.0,0.5
54,COVID,man fire como lose n loose covid 19 pandemia easy way put ,2020-10-31,0.168,0.405,0.428,-0.5423,0.0,0.0,0.0,1.0,0.0
55,COVID,thats low energy thats someone whos losing knows sympathy lets ask famil ,2020-10-31,0.266,0.462,0.272,-0.0258,0.0,0.2,0.0,0.8,0.0
56,COVID,campaigning covid go together ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,COVID,prez real donald trump abruptly laid plan arrive miami 1130 pm sunday latest broadside ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
58,COVID,would actually contracted covid instead fake case miracle recovery could ,2020-10-31,0.255,0.537,0.208,0.1779,0.0,0.5,0.0,0.17,0.33
59,COVID,called new normal boris j dictates many people interact dysto ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,COVID,covid mean season gets abandoned view stage ,2020-10-31,0.0,0.667,0.333,-0.4588,0.0,1.0,0.0,0.0,0.0
61,COVID,debra delete fake news covid tweet laugh coward ,2020-10-31,0.245,0.34,0.415,-0.3612,0.0,0.0,0.0,1.0,0.0
62,COVID,go back covid first hit expert said trump everything perfectly wed arou ,2020-10-31,0.276,0.724,0.0,0.6369,0.2,0.0,0.0,0.2,0.6
63,COVID,yeah western civilization crumbling intensity covid 19 guess 500 years ethnic ,2020-10-31,0.18,0.82,0.0,0.296,0.0,0.5,0.0,0.0,0.5
64,COVID,yes yes never avoid adulation cares much covid spread ,2020-10-31,0.493,0.339,0.168,0.587,0.0,0.25,0.0,0.75,0.0
65,COVID,chattin mention covid government school cursing ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,COVID,universities sidelined science says academics leader higher education guardian ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
67,COVID,think despicable heartless people ignoring dying causes covid ,2020-10-31,0.0,0.504,0.496,-0.7096,0.0,0.33,0.0,0.33,0.33
68,COVID,real question much money nys raking covid testing emperor cuomo said nys ,2020-10-31,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
