,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Green New Deal,ready help green new deal let know please sign open gates little guy ,2021-02-08,0.429,0.571,0.0,0.7579,0.0,0.33,0.17,0.33,0.17
1,Green New Deal,green new deal meanwhile ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Green New Deal,ooff sad hear thanks letting us know people know ms lewis ,2021-02-08,0.193,0.6,0.207,-0.0516,0.0,0.0,0.0,1.0,0.0
3,Green New Deal,best liberals gas guzzling polluting jeep suv lovers like big time libs ,2021-02-08,0.529,0.471,0.0,0.8779,0.0,0.0,0.0,0.0,1.0
4,Green New Deal,genius tesla cornered market ev sales russian oligarchs african dictators italian mobsters ,2021-02-08,0.0,0.84,0.16,-0.2732,0.0,0.5,0.0,0.0,0.5
5,Green New Deal,matter say pillows ,2021-02-08,0.355,0.645,0.0,0.0258,0.0,0.5,0.0,0.0,0.5
6,Green New Deal,crazy person reason vote candidate medicare ,2021-02-08,0.0,0.676,0.324,-0.34,0.0,0.5,0.0,0.5,0.0
7,Green New Deal,time remaining prevent disastrous climate change running green new deal political pro ,2021-02-08,0.073,0.667,0.26,-0.5859,0.0,0.0,0.0,1.0,0.0
8,Green New Deal,mapping study needs taken account major planning effort green new deal creat ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
9,Green New Deal,harris end filibuster pass green new deal tik tom ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Green New Deal,guess new mexico voters thought biden kidding promised green new dea ,2021-02-08,0.302,0.698,0.0,0.4404,0.0,0.0,0.25,0.25,0.5
11,Green New Deal,discussing american green new deal proposals concept language consequen ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12,Green New Deal,700 made number similar claim green new deal cost ,2021-02-08,0.14,0.86,0.0,0.0772,0.0,0.25,0.0,0.25,0.5
13,Green New Deal,really care cbo says hire 15 million people onto public payroll green new deal ,2021-02-08,0.212,0.788,0.0,0.5413,0.0,0.0,0.0,0.0,1.0
