,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Hurricane Eta,tropical depression eta public advisory number 20 issued 900 cst thu nov 05 2020 00 wtnt34 knhc 051450 tcpa ,2021-01-13,0.059,0.773,0.168,-0.5267,0.0,1.0,0.0,0.0,0.0
1,Hurricane Eta,tropical depression eta forecast advisory number 20 issued 1500 utc thu nov 05 2020 00 wtnt24 knhc 051450 tcma ,2021-01-13,0.059,0.773,0.168,-0.5267,0.0,1.0,0.0,0.0,0.0
2,Hurricane Eta,total groundhog day moment hurricane app updates check eta already happen nothin ,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
3,Hurricane Eta,many families affected category 4 storms eta iota everything gone take inside look ongo ,2021-01-13,0.0,0.882,0.118,-0.1531,0.0,0.2,0.0,0.6,0.2
4,Hurricane Eta,hurricane eta iota displaced thousands people north caribbean atlantic coast committed ,2021-01-13,0.174,0.826,0.0,0.2732,0.0,1.0,0.0,0.0,0.0
5,Hurricane Eta,still continue donate support communities impacted hurricane eta amp iota central america funds ,2021-01-13,0.184,0.816,0.0,0.4019,0.33,0.33,0.0,0.0,0.33
6,Hurricane Eta,followed news fall know hurricanes iota eta hit honduras within 2 weeks thi ,2021-01-13,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Hurricane Eta,last year extremely busy year impact coronavirus pandemic supporting ,2021-01-13,0.266,0.734,0.0,0.4404,0.5,0.5,0.0,0.0,0.0
8,Hurricane Eta,case missed ico amp partners work together actions promote recovery hurricane eta amp iota ,2021-01-13,0.155,0.714,0.131,0.1027,0.0,0.75,0.0,0.25,0.0
9,Hurricane Eta,calling us help pinellas deputies talk rescuing people etas waters ,2021-01-13,0.231,0.769,0.0,0.4019,0.0,0.0,0.0,0.5,0.5
10,Hurricane Eta,20 years ago hurricane mitch claimed 1900 lives iota eta claimed 200 2 orders magnitude less changes ,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11,Hurricane Eta,giving donation hurricane eta amp iota go fund helping survivors gain access food clean wate ,2021-01-13,0.493,0.507,0.0,0.8658,0.0,0.67,0.0,0.0,0.33
12,Hurricane Eta,overwhelming central america braces new storms wake hurricane eta ,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
13,Hurricane Eta,hurricane isaias hurricane laura hurricane delta hurricane zeta hurricane eta typhoon goni rolly ,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Hurricane Eta,nov 16 ewe mexico government admits flooded plain left tens thousands homeless ,2021-01-13,0.167,0.833,0.0,0.296,0.0,0.5,0.0,0.5,0.0
15,Hurricane Eta,time filled tl resources help people countries affected hurricane eta mfs ignored ,2021-01-13,0.173,0.577,0.25,-0.0516,0.0,0.33,0.0,0.33,0.33
