,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Kamala Harris,kamala harris vp us started first day office sri rudram vedic mantras lord shiva ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
1,Kamala Harris,imagine kamala harris silhouettechallenge 20yrs ago well blogs would field day right ,2021-01-30,0.16,0.84,0.0,0.2732,0.0,0.6,0.2,0.0,0.2
2,Kamala Harris,kamala harriss stepdaughter weird guys mean boring ,2021-01-30,0.0,0.556,0.444,-0.4588,0.0,0.0,0.0,1.0,0.0
3,Kamala Harris,time recognition thank kamala harris ,2021-01-30,0.385,0.615,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
4,Kamala Harris,well guess kamala harris think bid ,2021-01-30,0.296,0.704,0.0,0.2732,0.0,0.0,0.0,0.0,1.0
5,Kamala Harris,respect kamala harris ,2021-01-30,0.608,0.392,0.0,0.4767,0.0,0.0,1.0,0.0,0.0
6,Kamala Harris,guy indian said truth kamala harris vp ,2021-01-30,0.277,0.723,0.0,0.3182,0.0,0.0,0.0,0.0,1.0
7,Kamala Harris,everyone people including first hispanic senator replaced ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
8,Kamala Harris,heels harris kamala hump lot harris ,2021-01-30,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0
9,Kamala Harris,live london england case finds way ill put word joe jill bid ,2021-01-30,0.0,0.797,0.203,-0.4215,0.5,0.0,0.0,0.5,0.0
10,Kamala Harris,yes hope joe bidden kamala harris play role iiojk freedom ,2021-01-30,0.67,0.33,0.0,0.9042,0.0,0.67,0.0,0.33,0.0
11,Kamala Harris,whole hour talk president biden dr biden vp kamala harris show ,2021-01-30,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,Kamala Harris,texas pastors keep referring kamala harris jezebel even church sermons ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13,Kamala Harris,libertarian humanitarian please 25th save party buyers remorse c ,2021-01-30,0.664,0.197,0.138,0.7906,0.0,0.0,0.0,1.0,0.0
14,Kamala Harris,today two year anniversary vp kamala harris said jussie smollett victim modern day ,2021-01-30,0.0,0.851,0.149,-0.2732,0.0,0.0,0.5,0.0,0.5
15,Kamala Harris,logic kamala harris healthy woman 50s given vaccine grandmo ,2021-01-30,0.252,0.748,0.0,0.4019,0.0,1.0,0.0,0.0,0.0
16,Kamala Harris,kamala harris worst president ever ,2021-01-30,0.0,0.494,0.506,-0.6249,0.0,0.0,0.0,0.5,0.5
17,Kamala Harris,saw article refer kamala harris momala need minute ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Kamala Harris,kamala harris 200 donated 2 campaign ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Kamala Harris,get ready bombarded magazine covers kameltoe harris ella emhoff kamala harris 22 year old step ,2021-01-30,0.152,0.848,0.0,0.3612,0.0,0.5,0.5,0.0,0.0
20,Kamala Harris,friendly reminder get distracted stock market stuff forget promise ,2021-01-30,0.372,0.338,0.291,0.296,0.29,0.29,0.14,0.29,0.0
21,Kamala Harris,kamala harris great nieces inauguration coat oakland roots ,2021-01-30,0.369,0.631,0.0,0.6249,0.0,0.5,0.5,0.0,0.0
22,Kamala Harris,kamala harris stepdaughter actually landed modeling contract ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25
23,Kamala Harris,yes pronouncing kamala harris name correctly big deal via huff post ,2021-01-30,0.213,0.787,0.0,0.4019,0.5,0.0,0.0,0.5,0.0
24,Kamala Harris,someone kamala harris book ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Kamala Harris,cure malarkey baptist preachers called christian leaders start taxing churches ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26,Kamala Harris,best president kamala harris love ,2021-01-30,0.737,0.263,0.0,0.8555,0.0,0.0,0.5,0.0,0.5
27,Kamala Harris,well starters vice president kamala harris ,2021-01-30,0.296,0.704,0.0,0.2732,0.0,0.0,0.0,0.0,0.0
28,Kamala Harris,5 5 stars kamala mayas big idea meena harris ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Kamala Harris,trump sent secret message inauguration kamala harris via tube ,2021-01-30,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
30,Kamala Harris,feel like kamala harris become president ,2021-01-30,0.333,0.667,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
31,Kamala Harris,kamala harris great nieces inauguration coat oakland roots ,2021-01-30,0.369,0.631,0.0,0.6249,0.0,0.5,0.5,0.0,0.0
32,Kamala Harris,kamala harriss step daughter elm emho ex gf enjoy reading mean tweets ,2021-01-30,0.225,0.775,0.0,0.4939,0.0,0.0,1.0,0.0,0.0
33,Kamala Harris,time republican leaders stop cowering amp stand change disgusting attack identity politics even ,2021-01-30,0.0,0.535,0.465,-0.8271,0.0,0.67,0.0,0.33,0.0
34,Kamala Harris,kamala harris could embracing medicare want ,2021-01-30,0.206,0.794,0.0,0.0772,0.0,0.0,0.0,1.0,0.0
35,Kamala Harris,nepotism family kamala harris owned modeling agency yeah sure p ,2021-01-30,0.391,0.609,0.0,0.5423,0.0,0.75,0.0,0.0,0.25
36,Kamala Harris,problem msnbc rosy reporting kamala harris step daughters img gig msnbc owned nbcu nbcu ,2021-01-30,0.0,0.828,0.172,-0.4019,0.0,1.0,0.0,0.0,0.0
