,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Mail voting,made opinions known voting process mail republican party ,2021-01-19,0.278,0.722,0.0,0.4019,0.0,0.0,0.0,1.0,0.0
1,Mail voting,feinsteins dc ca voicemails full good job everyone called told coverin ,2021-01-19,0.225,0.775,0.0,0.4404,0.0,0.33,0.33,0.33,0.0
2,Mail voting,means end really forced mail voting gt rid trump lockdowns destroy small businesses gt mo ,2021-01-19,0.191,0.5,0.309,-0.5563,0.0,0.6,0.0,0.0,0.4
3,Mail voting,guess covid helped serve purpose force mail voting ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67
4,Mail voting,outcome ended like trump cheated since decided mail bal ,2021-01-19,0.195,0.547,0.258,-0.2023,0.0,0.5,0.0,0.0,0.5
5,Mail voting,yep got control flow information shoe trump fight ,2021-01-19,0.204,0.556,0.241,-0.1027,0.0,0.33,0.0,0.33,0.33
6,Mail voting,four swing states violated constitution allowed mail voting without going nec ,2021-01-19,0.0,0.746,0.254,-0.5267,0.0,0.75,0.0,0.25,0.0
7,Mail voting,mail voting kansas since 1996 reaso ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Mail voting,dont end mail voting cant win republican wimps stand ,2021-01-19,0.147,0.593,0.26,-0.3252,0.0,1.0,0.0,0.0,0.0
9,Mail voting,mail voting problem period ,2021-01-19,0.0,0.526,0.474,-0.4019,0.0,1.0,0.0,0.0,0.0
10,Mail voting,old enough remember az gop largely driving force behind implementing expandin ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0
11,Mail voting,old enough remember az gop largely driving force behind pushing ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.25,0.0
12,Mail voting,rnc ronna mcdaniel bill stepien deliver built bigger b ,2021-01-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
13,Mail voting,feck extend mail voting ,2021-01-19,0.362,0.638,0.0,0.1779,0.0,0.0,0.0,0.0,0.0
14,Mail voting,mass mail voting varying rules time submittal acc ,2021-01-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,Mail voting,mean every like basically going extend mail voting january su ,2021-01-19,0.344,0.656,0.0,0.4939,0.0,1.0,0.0,0.0,0.0
16,Mail voting,seven bond referenda upcoming special election ballot early voting begins february 10th yo ,2021-01-19,0.184,0.816,0.0,0.4019,0.0,0.5,0.0,0.0,0.5
17,Mail voting,end mail voting preference democrats ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,Mail voting,trudeau makin sure stalling vaccine get mail fraud mean voting place ,2021-01-19,0.145,0.503,0.352,-0.5106,0.0,1.0,0.0,0.0,0.0
