,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Obama,fast food places taxing drinks thanks obama ,2021-02-10,0.326,0.674,0.0,0.4404,0.0,1.0,0.0,0.0,0.0
1,Obama,obama 2008 3rd strongest margin dem wi behind fdr 1936 lbj 1964 ,2021-02-10,0.209,0.791,0.0,0.4404,0.0,0.5,0.0,0.5,0.0
2,Obama,feel sorry dont even look skin color conservatives l ,2021-02-10,0.0,0.843,0.157,-0.0772,0.0,0.0,0.0,1.0,0.0
3,Obama,trump given credence progress president obama made america would laughing stoc ,2021-02-10,0.4,0.6,0.0,0.7184,0.0,0.5,0.0,0.25,0.25
4,Obama,former labor leader amp obama admin official elected tuesday serve chair us postal service board ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Obama,nice one ,2021-02-10,0.737,0.263,0.0,0.4215,0.0,0.0,1.0,0.0,0.0
6,Obama,omg obama among us suit ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,Obama,fuck biden trump like obama ,2021-02-10,0.278,0.333,0.389,-0.25,0.0,0.0,0.5,0.0,0.5
8,Obama,id love nothing see trump prison gonna happen bush lie ,2021-02-10,0.463,0.537,0.0,0.7847,0.0,0.0,0.5,0.0,0.5
9,Obama,except obama trump ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10,Obama,find exactly ajit pai fcc trump awful appointed obama ,2021-02-10,0.0,0.727,0.273,-0.4588,0.0,0.0,0.0,0.0,1.0
11,Obama,obama already ineligible run due constitution really read ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
12,Obama,trump lawyers say longer impeachable trump called impeaching obama 2020 abc news ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75
13,Obama,dems never going come terms bad obama screwed housing crisis economy ,2021-02-10,0.0,0.426,0.574,-0.8957,0.0,0.75,0.0,0.25,0.0
14,Obama,pregnant pregnant pregnant name baby obama ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Obama,rabbit hole deeper expected ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
16,Obama,last borns ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Obama,obama spent 12 trillion dollars got us nothing information communist tax cuts th ,2021-02-10,0.0,0.845,0.155,-0.296,0.0,0.0,0.0,0.0,0.0
18,Obama,racist white folks ur worried racist whites label us ,2021-02-10,0.0,0.37,0.63,-0.8807,0.0,0.67,0.0,0.33,0.0
19,Obama,obama still sign business correspondence president carter clinton bush ,2021-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20,Obama,trump convinced republican voters need big stimulus hiccup gop would bludgen ,2021-02-10,0.213,0.787,0.0,0.4019,0.0,0.5,0.0,0.0,0.5
21,Obama,um biden actually plans roll vaccine trump ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
22,Obama,one question republicans hillary clinton barack obama exactly trump ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
23,Obama,hand dey oo come us go dey mma 2 ,2021-02-10,0.314,0.686,0.0,0.4939,0.0,0.0,0.0,0.0,0.0
24,Obama,good know guys learned obama era mistakes ,2021-02-10,0.279,0.481,0.24,0.1027,0.0,0.0,1.0,0.0,0.0
25,Obama,lots people behind obama admin biden killing fiat usd buy power ,2021-02-10,0.0,0.694,0.306,-0.6597,0.25,0.0,0.0,0.5,0.25
26,Obama,obama publicly lambasting police devoid statistical backing day blm advoc ,2021-02-10,0.109,0.891,0.0,0.0258,0.0,0.0,0.5,0.5,0.0
27,Obama,obama biden kamala could run lemonade stand idea business ,2021-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,Obama,funny clintons michigan yep problem leads clinton obama ,2021-02-10,0.398,0.391,0.211,0.34,0.0,0.5,0.0,0.0,0.5
29,Obama,fight like hell started obama admin ,2021-02-10,0.197,0.236,0.567,-0.6908,0.0,0.0,0.0,1.0,0.0
30,Obama,today ss learned obamas students watched videos barack michelle obama wrote reflectio ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31,Obama,totally like time obama sent 400 million cash iran time ,2021-02-10,0.237,0.763,0.0,0.4201,0.0,1.0,0.0,0.0,0.0
32,Obama,also filed suit us federal court arguing obama didnt constitutional authority deny ,2021-02-10,0.133,0.59,0.277,-0.2928,0.0,1.0,0.0,0.0,0.0
33,Obama,said racist terrorists proud boys claim world president calls act ,2021-02-10,0.17,0.385,0.445,-0.7184,0.0,0.25,0.25,0.0,0.5
34,Obama,long ,2021-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,Obama,barack obama neither sociopath narcissist would acted like gentleman ,2021-02-10,0.238,0.762,0.0,0.3612,0.0,0.67,0.0,0.33,0.0
36,Obama,love herr ,2021-02-10,0.808,0.192,0.0,0.6369,0.0,0.0,1.0,0.0,0.0
37,Obama,um obama gave 8yrs left office zero crimes committed impeach ,2021-02-10,0.189,0.811,0.0,0.2732,0.0,0.75,0.0,0.25,0.0
38,Obama,impeaching past presidents call congress bring articles impeachment 4 presi ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25
39,Obama,barb ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Obama,everything biden done far take us back 2 america obama exact pol ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
41,Obama,start game first ai impeachment ex president obama bush ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42,Obama,think biden got 15 mil votes obama failed 2 times lolyet obama ,2021-02-10,0.0,0.752,0.248,-0.5106,0.0,0.0,0.0,0.0,1.0
43,Obama,hey cages built obamabiden admin joe vastly filling againin ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.33
44,Obama,oomf wanted draw randy obama thats good thing laugh ,2021-02-10,0.481,0.519,0.0,0.7579,0.0,0.33,0.33,0.0,0.33
45,Obama,since changing constitution former president office allowed impeached sa ,2021-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,Obama,additionally michelle gives hermione vibes way cant explain dont already get esp hermione ,2021-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,Obama,whole studies theories power devoting decent part life studyingunderstanding rich powerful ,2021-02-10,0.543,0.457,0.0,0.8591,0.2,0.6,0.0,0.0,0.2
48,Obama,one asked heres opinions option 1 obama stan amp followed account option 2 intern smth fo ,2021-02-10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,Obama,indeed ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Obama,durham report apparently fallen apart completely criminals obama administration delibera ,2021-02-10,0.0,0.552,0.448,-0.7574,0.0,0.0,0.0,1.0,0.0
51,Obama,youre obama film writers ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Obama,obamas laughing know actually theo pansy elite tomcruiseshipsdramione ,2021-02-10,0.314,0.686,0.0,0.4939,0.0,0.5,0.0,0.0,0.5
53,Obama,kid cages obama biden considered bad trump took office change obama policy ,2021-02-10,0.0,0.759,0.241,-0.5423,0.0,0.17,0.17,0.33,0.33
54,Obama,obama already ,2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Obama,making rounds amp feel compelled point nobody draws direct line obama ,2021-02-10,0.107,0.893,0.0,0.0516,0.0,0.5,0.0,0.33,0.17
56,Obama,obama didnt put children cages guilty ,2021-02-10,0.0,0.641,0.359,-0.4215,0.0,0.0,0.5,0.5,0.0
