,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Obamacare,yes yes crazy people shouldnt guns youre sitting stolen land obamacare working make ,2021-01-12,0.27,0.45,0.28,-0.0516,0.0,0.43,0.0,0.43,0.14
1,Obamacare,apologists use slogans like first win debt 27 trillion sti ,2021-01-12,0.399,0.443,0.158,0.5859,0.0,0.0,0.0,0.0,1.0
2,Obamacare,ditto receiving obama care ,2021-01-12,0.516,0.484,0.0,0.4939,0.0,0.0,0.0,0.0,1.0
3,Obamacare,obamacare part yeah ,2021-01-12,0.524,0.476,0.0,0.296,0.0,0.0,0.0,0.0,0.0
4,Obamacare,oh yes please take taxes income like obamacare actually takes care provi ,2021-01-12,0.572,0.428,0.0,0.8658,0.0,0.0,0.0,0.5,0.5
5,Obamacare,hope better website ga bottom list far distribut ,2021-01-12,0.492,0.508,0.0,0.7003,0.0,0.67,0.0,0.0,0.33
6,Obamacare,ugh great germany ca wait get shots supply lacking gov preor ,2021-01-12,0.258,0.566,0.176,0.3182,0.0,0.0,0.33,0.33,0.33
7,Obamacare,tim tams finally age obamacare ,2021-01-12,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
8,Obamacare,pathetic lie like father like daughter despite promises john mc cain laughed ,2021-01-12,0.383,0.335,0.282,0.2769,0.33,0.0,0.0,0.67,0.0
9,Obamacare,obamacare ,2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Obamacare,manchin already back peddled 200 doubt would vote ,2021-01-12,0.0,0.737,0.263,-0.3612,0.0,1.0,0.0,0.0,0.0
11,Obamacare,course leftists would argue obamacare nearly enough may prolong problem tax system wil ,2021-01-12,0.0,0.683,0.317,-0.6249,0.0,1.0,0.0,0.0,0.0
12,Obamacare,,2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Obamacare,innocent hillary smokes blunts obamacare ,2021-01-12,0.375,0.625,0.0,0.34,0.33,0.0,0.0,0.67,0.0
14,Obamacare,leftist thinks two genders abortion justified guns kill people illegal immigrant ,2021-01-12,0.142,0.421,0.437,-0.765,0.0,0.33,0.0,0.0,0.67
15,Obamacare,mitch worth 30 pretty sure ok last term tomi still parents obamacare coverage ,2021-01-12,0.516,0.484,0.0,0.8225,0.0,0.8,0.2,0.0,0.0
16,Obamacare,arent like republican voters covered obamacare ,2021-01-12,0.0,0.703,0.297,-0.2755,0.0,1.0,0.0,0.0,0.0
17,Obamacare,whispers vermont accident obamacare isnt working need ,2021-01-12,0.0,0.659,0.341,-0.4767,0.0,1.0,0.0,0.0,0.0
18,Obamacare,strange reading watched programme tonight titanic struggle ,2021-01-12,0.0,0.549,0.451,-0.4767,0.0,0.0,0.0,0.0,1.0
19,Obamacare,censorship like facebook two months review journal jus ,2021-01-12,0.263,0.737,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
20,Obamacare,kochsthey biggest supporters climate deniers obamacare fighters ,2021-01-12,0.284,0.392,0.324,0.1531,0.0,0.0,0.0,0.0,0.0
21,Obamacare,yup except obamacare part want m4a always wanted m4a obamacare shitty ,2021-01-12,0.094,0.647,0.259,-0.5106,0.0,0.0,0.0,1.0,0.0
22,Obamacare,someone fired obamacare talking millionaire elected oh tammy ,2021-01-12,0.0,0.66,0.34,-0.5574,0.0,0.0,0.0,0.0,0.0
23,Obamacare,anybody think obamacare working ,2021-01-12,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
24,Obamacare,im fascinated type person capitalises everything makes experience one ,2021-01-12,0.279,0.721,0.0,0.4767,0.0,0.33,0.0,0.67,0.0
