,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Obamacare,honestly want status quo obamacare obviously sucks probs political laziness rather evil ,2021-01-19,0.224,0.417,0.359,-0.5574,0.0,1.0,0.0,0.0,0.0
1,Obamacare,still 14 hours left trump give us medicare like said guy jokes apart ,2021-01-19,0.29,0.71,0.0,0.5423,0.0,0.25,0.25,0.0,0.5
2,Obamacare,obamacare ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Obamacare,trump presidency finally obamacare still running guy erased hist ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
4,Obamacare,trump destroyed 3 jobs worst record since depression trump presidency amp obamacare still alive respo ,2021-01-19,0.11,0.424,0.466,-0.8555,0.0,0.4,0.0,0.2,0.4
5,Obamacare,wars ended gun control ended obamacare gone even close surveillance debt spend ,2021-01-19,0.0,0.514,0.486,-0.8176,0.0,0.75,0.25,0.0,0.0
6,Obamacare,tried get rid everything pbo amp almost made thorn side obamacare never ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,Obamacare,calls aca crappy operative calls aca crappy yet person tweeted dooley tweeted ryan r ,2021-01-19,0.0,0.604,0.396,-0.802,0.0,0.0,0.0,1.0,0.0
8,Obamacare,wheres great obamacare plan oh thats right trash ,2021-01-19,0.369,0.631,0.0,0.6249,0.33,0.33,0.33,0.0,0.0
9,Obamacare,donald trump couldnt repeal obamacare joe biden expand vox ,2021-01-19,0.223,0.777,0.0,0.3182,0.0,0.0,0.0,0.0,1.0
10,Obamacare,say trump least obamacare dead wall hillary prison republ ,2021-01-19,0.0,0.479,0.521,-0.8225,0.33,0.0,0.0,0.0,0.67
11,Obamacare,something kept ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Obamacare,people like obamacare ,2021-01-19,0.556,0.444,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
13,Obamacare,trump ever release outline obamacare replacement ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Obamacare,let taxpayers foot billkey point nothing free somebodys paying ,2021-01-19,0.0,0.748,0.252,-0.4023,0.0,0.0,0.33,0.33,0.33
15,Obamacare,spent day trying get appointment website terrible probably designed ,2021-01-19,0.0,0.721,0.279,-0.4767,0.0,0.4,0.4,0.0,0.2
16,Obamacare,like hillary going jail donalds obamacare replacement mexico paying wall ,2021-01-19,0.217,0.783,0.0,0.3612,0.5,0.5,0.0,0.0,0.0
17,Obamacare,obamacare aca survived 4 years trump trying destroy ,2021-01-19,0.28,0.424,0.297,-0.0516,0.0,0.5,0.0,0.0,0.5
18,Obamacare,im assuming leave glaring abberations unaddressed invoke need ,2021-01-19,0.0,0.854,0.146,-0.0516,0.0,0.0,0.0,0.0,0.0
19,Obamacare,donald trump boldly promised voters win november 8th elect republican congress ,2021-01-19,0.524,0.476,0.0,0.8316,0.0,0.0,0.0,0.33,0.67
20,Obamacare,holding russia accountable solarwinds hack shoring obamacare immigration reform environmental ,2021-01-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
21,Obamacare,trump presidency obamacare still alive mexico never paid wall ,2021-01-19,0.245,0.755,0.0,0.3818,0.5,0.0,0.0,0.0,0.5
22,Obamacare,medicare would great start need basic healthcare coverage every ame ,2021-01-19,0.313,0.687,0.0,0.6249,0.0,0.67,0.33,0.0,0.0
23,Obamacare,sorry stuck obama care ,2021-01-19,0.427,0.133,0.44,0.2263,0.0,0.5,0.0,0.5,0.0
24,Obamacare,exploiting obamacare loophole anyone could get insurance coverage ,2021-01-19,0.0,0.707,0.293,-0.4404,0.0,1.0,0.0,0.0,0.0
25,Obamacare,im glad able things campaigned like building wall overturning ob ,2021-01-19,0.407,0.593,0.0,0.6705,0.2,0.2,0.2,0.2,0.2
26,Obamacare,going rot jail shouldnt even option instead ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.33,0.0
27,Obamacare,dont forget obamacare 28 capital gain tax ,2021-01-19,0.503,0.497,0.0,0.6207,0.5,0.5,0.0,0.0,0.0
28,Obamacare,hey donny repealand replace coming along ,2021-01-19,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67
29,Obamacare,obama enemy 2nd 4th 5th amendments foreign intervention drone strikes ,2021-01-19,0.0,0.571,0.429,-0.7184,0.0,0.0,0.0,0.0,1.0
30,Obamacare,john goodman fox news talking obama care 2012 ,2021-01-19,0.314,0.686,0.0,0.4939,0.0,0.0,0.0,1.0,0.0
31,Obamacare,probably country folks hate obamacare like affordable heal ,2021-01-19,0.205,0.492,0.303,-0.296,0.0,0.67,0.0,0.33,0.0
32,Obamacare,see obama care midterms2010 ,2021-01-19,0.516,0.484,0.0,0.4939,0.0,0.0,0.0,0.0,0.0
