,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Pence,happy pfizer allow pence take credit covid 19 vaccine front amp center ,2020-11-14,0.477,0.523,0.0,0.802,0.0,0.5,0.5,0.0,0.0
1,Pence,reason believe isnt ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,Pence,alone president trumpwe stand always trumppence 2020 ,2020-11-14,0.0,0.75,0.25,-0.25,0.0,0.33,0.0,0.67,0.0
3,Pence,point talking might get get please blame ,2020-11-14,0.237,0.515,0.247,-0.0258,0.33,0.0,0.0,0.33,0.33
4,Pence,needs admit wrongdoing order pardon ,2020-11-14,0.577,0.423,0.0,0.4767,0.0,0.0,0.0,1.0,0.0
5,Pence,ca pardon crimes commit co ,2020-11-14,0.6,0.4,0.0,0.5423,0.0,0.33,0.0,0.67,0.0
6,Pence,lost son even mother knows ,2020-11-14,0.0,0.635,0.365,-0.3182,0.0,0.0,0.0,1.0,0.0
7,Pence,wants give dictator head every morning next four years ,2020-11-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8,Pence,pence planning coup détat government exile ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,Pence,admit stand trump god ,2020-11-14,0.661,0.339,0.0,0.4404,0.0,0.25,0.0,0.25,0.5
10,Pence,give matter people ato ,2020-11-14,0.268,0.732,0.0,0.0258,0.0,1.0,0.0,0.0,0.0
11,Pence,mike pence suggests trump administration place four years despite biden v ,2020-11-14,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.33
12,Pence,mike pence oppose gay rights yet ca seem stop sucking trump ,2020-11-14,0.0,0.82,0.18,-0.296,0.0,0.25,0.25,0.25,0.25
13,Pence,mr vice president never proud vice president sir humbl ,2020-11-14,0.0,0.758,0.242,-0.3724,0.0,0.0,1.0,0.0,0.0
14,Pence,dont stop ,2020-11-14,0.654,0.346,0.0,0.2235,0.0,0.0,0.0,0.0,0.0
15,Pence,pence sitting like ,2020-11-14,0.556,0.444,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
16,Pence,yahoo news give trump colonoscopy interview pence ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
17,Pence,mike pence trying hard keep trump happy allowing 4 yrs ,2020-11-14,0.306,0.579,0.116,0.5106,0.33,0.0,0.33,0.0,0.33
18,Pence,guess mike_ pence ignoring reality good bald faced lying ,2020-11-14,0.193,0.4,0.407,-0.4939,0.33,0.0,0.33,0.0,0.33
19,Pence,almost suggests serious end times mindset part least shred evidence ,2020-11-14,0.0,0.898,0.102,-0.0056,0.0,1.0,0.0,0.0,0.0
20,Pence,sir professional infographic designer graphic ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Pence,point loser march ,2020-11-14,0.0,0.37,0.63,-0.5267,0.0,0.0,0.0,0.5,0.5
22,Pence,amen ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Pence,remember l fly landed pences head laughing loud random ,2020-11-14,0.314,0.686,0.0,0.4939,0.0,1.0,0.0,0.0,0.0
24,Pence,right matter many years rump sentenced want four years ,2020-11-14,0.253,0.632,0.116,0.0772,0.0,1.0,0.0,0.0,0.0
25,Pence,jackass calling dc swamp mike pence saying make america great ,2020-11-14,0.275,0.537,0.188,0.3182,0.0,0.0,0.33,0.33,0.33
26,Pence,would resign pence payoff check hit pence account ,2020-11-14,0.0,0.745,0.255,-0.34,0.33,0.67,0.0,0.0,0.0
27,Pence,2500 dead yeah great call ,2020-11-14,0.5,0.159,0.341,0.25,0.0,0.0,1.0,0.0,0.0
28,Pence,pence stupid thought ,2020-11-14,0.0,0.37,0.63,-0.5267,0.0,0.0,0.0,0.0,1.0
29,Pence,dont honor veterans accepting results election mike_ pence past ti ,2020-11-14,0.0,0.624,0.376,-0.5875,0.0,0.0,0.0,1.0,0.0
30,Pence,many people celebrating epic loss love stone cold loser one term like dog ,2020-11-14,0.432,0.332,0.237,0.6908,0.0,0.0,0.25,0.25,0.5
31,Pence,next job mikey whose lies swear true perhaps pillow man c ,2020-11-14,0.203,0.507,0.29,-0.0516,0.5,0.5,0.0,0.0,0.0
32,Pence,blah blah blah looking get pardoned pence resign joke ,2020-11-14,0.299,0.219,0.482,-0.128,0.0,0.0,0.5,0.5,0.0
33,Pence,thank ,2020-11-14,1.0,0.0,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
34,Pence,mr vice president ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Pence,lying health care package 10 yrs health car ,2020-11-14,0.254,0.476,0.27,-0.0516,0.0,0.0,0.0,0.0,0.0
36,Pence,thank making us feel like done fair would hate live country voting rigged ,2020-11-14,0.34,0.372,0.288,0.0258,0.0,0.33,0.0,0.67,0.0
37,Pence,stay strong president trump im praying prove victory proud california trump pence supportervoter ,2020-11-14,0.471,0.529,0.0,0.836,0.14,0.29,0.29,0.0,0.29
38,Pence,much stake election slim margin separating candidates americans deserve know ,2020-11-14,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,Pence,donny forgot mention something compassion families wh ,2020-11-14,0.333,0.667,0.0,0.4588,0.5,0.0,0.0,0.0,0.5
40,Pence,soon start using proper past pence writing tic toc ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
41,Pence,given latest behavior republican leaders republican party become trump party ,2020-11-14,0.403,0.597,0.0,0.6597,0.0,0.5,0.0,0.0,0.5
42,Pence,vaccine cut conditional deal w trump admin dev ,2020-11-14,0.0,0.741,0.259,-0.2732,0.0,0.0,0.0,0.0,1.0
43,Pence,mike pence ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Pence,hey instead wasting time nonsense still president time ,2020-11-14,0.0,0.526,0.474,-0.6597,0.0,0.5,0.0,0.0,0.5
45,Pence,mike pence suggests trump administration place four years despite biden victory th ,2020-11-14,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.33
46,Pence,heart washington dc today god bless president trump amp vice president pence march trump ,2020-11-14,0.29,0.71,0.0,0.5994,0.0,0.0,0.2,0.2,0.6
47,Pence,previously unimaginable justice obviously know slaves hide hush harbors worship ,2020-11-14,0.392,0.49,0.119,0.5994,0.2,0.2,0.4,0.2,0.0
48,Pence,mike didnt age well might want jump drumpf bandwagon mig ,2020-11-14,0.117,0.72,0.163,-0.1316,0.67,0.0,0.0,0.0,0.33
49,Pence,history wo kind ,2020-11-14,0.63,0.37,0.0,0.5267,0.0,0.5,0.5,0.0,0.0
50,Pence,fvck youre part l n g team ,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Pence,,2020-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
