,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Reform,guess means urj radical organization would certainly news plurality america ,2021-02-02,0.211,0.789,0.0,0.34,0.0,0.5,0.0,0.0,0.5
1,Reform,funding authoritarians show election cost reform brought 5k lives ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
2,Reform,audacity lies absolutely astounding bravo benefited trump tax reform plan ,2021-02-02,0.223,0.576,0.202,0.0754,0.0,0.5,0.0,0.0,0.5
3,Reform,reform dont ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Reform,couldnt agree need reform skilled immigration h1b program attract people across world well ,2021-02-02,0.275,0.598,0.126,0.3591,0.0,1.0,0.0,0.0,0.0
5,Reform,enough thoughts amp prayers lets something guns country kids bei ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0
6,Reform,mc connell killed filibuster one thing really cares supreme court justices ,2021-02-02,0.365,0.407,0.229,0.3962,0.0,0.33,0.0,0.17,0.5
7,Reform,way forward republicans reform conspiracy wing party embrace ,2021-02-02,0.373,0.373,0.254,0.1531,0.0,0.5,0.0,0.5,0.0
8,Reform,powerful panel black indigenous witnesses including suquamish chair leonard forsman testified today ,2021-02-02,0.203,0.797,0.0,0.4215,0.0,0.0,0.0,1.0,0.0
9,Reform,yes course terms revenue paths content creators world advocacy also ,2021-02-02,0.231,0.769,0.0,0.4019,0.0,0.33,0.0,0.33,0.33
10,Reform,yet periods held plenary power legislative executive branches government ,2021-02-02,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
11,Reform,funding authoritarians show election cost reform brought 5k lives ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.33,0.33
12,Reform,good news occupational licensing reform ri house considering bill remove requirement li ,2021-02-02,0.209,0.791,0.0,0.4404,0.0,0.0,0.5,0.5,0.0
13,Reform,encouraging every immigrant country immigration reform help best brightest ,2021-02-02,0.741,0.259,0.0,0.936,0.0,0.33,0.0,0.0,0.67
14,Reform,deeply disrespectful senator john mc cain hold series town halls ar il la co ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15,Reform,right one confidence city press queen thought rupert murdoch ,2021-02-02,0.292,0.708,0.0,0.5106,0.0,0.75,0.0,0.0,0.25
16,Reform,dont politicize shooting except politicize shooting push agenda calling ,2021-02-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
17,Reform,democratic senators push cannabis reform measures coming months via ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
18,Reform,one accelarated dressing deregulation areform turbo charge ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,Reform,recent black history though may story bard prison initiative debate union win harvard ,2021-02-02,0.21,0.608,0.182,0.128,0.0,0.67,0.0,0.33,0.0
