,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Socialism,communist takes good takes communism socialism always leads starvation genocide ,2020-10-26,0.244,0.756,0.0,0.4404,0.0,0.0,0.25,0.25,0.5
1,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
2,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
3,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
4,Socialism,thought socialism bread food ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,Socialism,movement towards socialism mas majority legislature mas citizens community w ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Socialism,1 many ppl throwing words around ,2020-10-26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7,Socialism,furthermore majority writing 50s 60s americans feared ,2020-10-26,0.0,0.652,0.348,-0.4939,0.0,0.0,0.0,1.0,0.0
8,Socialism,socialism taking money provide family give reward doin ,2020-10-26,0.346,0.654,0.0,0.5719,0.0,0.33,0.0,0.0,0.67
9,Socialism,tfw libertarianism initially libertarian socialism us libertarians evo ,2020-10-26,0.468,0.532,0.0,0.34,0.0,0.0,0.0,0.0,0.0
10,Socialism,billionaires brag tax evasion amp companies like amazon pay 0 taxes exploiting working class employees w ,2020-10-26,0.227,0.541,0.232,-0.0258,0.0,0.5,0.0,0.0,0.5
11,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
12,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
13,Socialism,criticize socialism failing countries sure include entities worked disrupt ,2020-10-26,0.162,0.423,0.415,-0.5574,0.0,1.0,0.0,0.0,0.0
14,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
15,Socialism,socialism communism communism government sets rules socialism workers se ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
16,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
17,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
18,Socialism,socialism dangerous socialism major cause several te ,2020-10-26,0.0,0.659,0.341,-0.4767,0.0,1.0,0.0,0.0,0.0
19,Socialism,airport guy behind wearing shirt says socialism distancing mask says wearing ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.4
20,Socialism,many countries need suffer venezuela fate people wake corruption poverty suffering ,2020-10-26,0.0,0.447,0.553,-0.872,0.0,0.0,0.0,0.0,1.0
21,Socialism,right florida many colombian americans fear biden soft socialism ,2020-10-26,0.0,0.714,0.286,-0.4939,0.0,0.5,0.0,0.5,0.0
22,Socialism,honesthumble opinion first part wigan best detailed description work lives coal ,2020-10-26,0.296,0.704,0.0,0.6369,0.0,0.33,0.0,0.0,0.67
23,Socialism,election isnt trump vs biden good vs evil controlling life vs controlled rights vs ,2020-10-26,0.15,0.622,0.228,-0.3612,0.0,0.5,0.25,0.0,0.25
24,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
25,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
26,Socialism,socialism communism communism government sets rules socialism workers se ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
28,Socialism,happy birthday evo morales bolivian socialist leader turns 61 today morales became first indigenous presid ,2020-10-26,0.209,0.791,0.0,0.5719,0.0,0.4,0.2,0.0,0.4
29,Socialism,spent majority last year watching jewish identity coopted derail political campaign passionately sup ,2020-10-26,0.205,0.663,0.133,0.296,0.0,0.0,0.0,0.5,0.5
30,Socialism,say utopia nutshell georgeorwell said 1 lo wealth discrepancy betw ,2020-10-26,0.286,0.714,0.0,0.4939,0.0,0.0,0.0,0.0,1.0
31,Socialism,know crippled social welfare system public health ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,Socialism,threatens fundamental rights democratic nominee democrats havent put fundam ,2020-10-26,0.0,0.755,0.245,-0.3818,0.0,0.75,0.0,0.25,0.0
33,Socialism,coming socialistic democracy categorically state last 250 300 ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
34,Socialism,1 socialists progressive regular progressives 2 socialist challenges progressives ,2020-10-26,0.178,0.822,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
35,Socialism,people certainly hope vote red socialism dead 4more years great potus trump vp pence ,2020-10-26,0.397,0.422,0.181,0.6249,0.25,0.25,0.25,0.0,0.25
36,Socialism,many countries need suffer venezuela fate people wake corruption poverty suffering ,2020-10-26,0.0,0.447,0.553,-0.872,0.0,0.0,0.0,0.0,1.0
37,Socialism,rt everyday covid19 us socialism dressed fun project tv ,2020-10-26,0.292,0.708,0.0,0.5106,0.0,0.0,1.0,0.0,0.0
38,Socialism,socialism dangerous socialism major cause several terribl ,2020-10-26,0.0,0.659,0.341,-0.4767,0.0,1.0,0.0,0.0,0.0
39,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
40,Socialism,capitalism versus socialism im sure good people south carolina make right decision ,2020-10-26,0.342,0.658,0.0,0.6369,0.0,0.6,0.2,0.2,0.0
41,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
42,Socialism,never one candidate campaign working class movement democratic socialism ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
43,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
44,Socialism,socialism empowered gain rest us suffer power ,2020-10-26,0.286,0.42,0.294,-0.0258,1.0,0.0,0.0,0.0,0.0
45,Socialism,chuck schumer promises reform senate nomination goes ,2020-10-26,0.302,0.698,0.0,0.3818,0.0,0.5,0.0,0.5,0.0
46,Socialism,socialism communism communism government sets rules socialism workers se ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,Socialism,quick question many genocides socialism ,2020-10-26,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
48,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
49,Socialism,thats description want describe socialism ,2020-10-26,0.245,0.755,0.0,0.0772,0.0,0.0,0.0,0.0,0.0
50,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
51,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
52,Socialism,right florida many colombian americans fear biden soft socialism ,2020-10-26,0.0,0.714,0.286,-0.4939,0.0,0.5,0.0,0.5,0.0
53,Socialism,vote president trump november 3rd vote save america literally grasps socialism protect ,2020-10-26,0.367,0.633,0.0,0.7003,0.33,0.0,0.33,0.0,0.33
54,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
55,Socialism,capitalism socialism one democratic prager blue wave maga2020 econ twitter elections2020 ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.0
56,Socialism,ri ch sh ou ld pa ir fa ir sh ar e nordic countries 25 sales tax falls heavily poor middle clas ,2020-10-26,0.0,0.866,0.134,-0.4767,0.0,0.0,0.0,1.0,0.0
57,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
58,Socialism,chile chileans demanding social equality socialism thinking middle class kiddos ,2020-10-26,0.0,0.826,0.174,-0.2263,0.0,0.33,0.0,0.0,0.67
59,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
60,Socialism,many countries need suffer venezuela fate people wake corruption poverty suffering ,2020-10-26,0.0,0.447,0.553,-0.872,0.0,0.0,0.0,0.0,1.0
61,Socialism,looks like people south america hate neoliberalism love socialism experienced lesson ,2020-10-26,0.364,0.435,0.201,0.4588,0.0,0.0,0.5,0.5,0.0
62,Socialism,progressivism socialism cant win box office media structured way point blank per ,2020-10-26,0.0,0.782,0.218,-0.4717,0.0,0.5,0.0,0.0,0.5
63,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
64,Socialism,agree suspect many mom amp pop traditional liberal supporters alr ,2020-10-26,0.37,0.479,0.151,0.4939,0.0,1.0,0.0,0.0,0.0
65,Socialism,well jesus socialistso thatnot single example ,2020-10-26,0.296,0.704,0.0,0.2732,0.0,0.0,0.0,0.0,0.0
66,Socialism,8 days say socialism ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5
67,Socialism,socialism communism communism government sets rules socialism workers se ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,Socialism,universal socialism ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Socialism,im glad laughed question ridiculous donnells dead serious face asking took ,2020-10-26,0.299,0.299,0.403,-0.2732,0.0,0.5,0.25,0.0,0.25
70,Socialism,bit mess socialism broad ambiguous common understanding socialism ,2020-10-26,0.0,0.737,0.263,-0.3612,0.33,0.67,0.0,0.0,0.0
71,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
72,Socialism,trump campaign hoping repeat win florida targeting colombian american voters bloc historica ,2020-10-26,0.398,0.602,0.0,0.765,0.0,0.5,0.0,0.0,0.5
73,Socialism,capitalism private profit communismeveryone pretty much amount money ,2020-10-26,0.504,0.496,0.0,0.7269,0.0,0.5,0.5,0.0,0.0
74,Socialism,trump campaign hoping repeat win florida targeting colombian american voters bloc historica ,2020-10-26,0.398,0.602,0.0,0.765,0.0,0.5,0.0,0.0,0.5
75,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
76,Socialism,1 socialists progressive regular progressives 2 socialist challenges progressives ,2020-10-26,0.178,0.822,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
77,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
78,Socialism,socialism cannot find water havana caracas capitalism find water moon vote wise ,2020-10-26,0.22,0.78,0.0,0.4767,0.0,0.0,0.0,1.0,0.0
79,Socialism,1 socialists progressive regular progressives 2 socialist challenges progressives ,2020-10-26,0.178,0.822,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
80,Socialism,looks like people south america hate neoliberalism love socialism experienced lesson ,2020-10-26,0.364,0.435,0.201,0.4588,0.0,0.0,0.5,0.5,0.0
81,Socialism,literally dont understand one miss use socialism ,2020-10-26,0.194,0.806,0.0,0.1139,0.0,0.0,0.0,1.0,0.0
82,Socialism,please explain socialism ,2020-10-26,0.535,0.465,0.0,0.3182,0.0,0.0,0.0,1.0,0.0
83,Socialism,exactly america ca possibly stupid enough vote biden socialismcan ,2020-10-26,0.0,0.702,0.298,-0.5267,0.0,0.0,0.0,0.0,0.0
84,Socialism,3 great crimes bolivia committed made target regime change control natural resources ,2020-10-26,0.521,0.479,0.0,0.8271,0.0,0.4,0.2,0.4,0.0
85,Socialism,socialism 101 rule 2 increase poverty level high possible increase govt power poor people easier ,2020-10-26,0.325,0.395,0.281,0.0,0.33,0.67,0.0,0.0,0.0
86,Socialism,whole political vision left including socialism communism failed virtually every empirical test ,2020-10-26,0.131,0.654,0.216,-0.3182,0.0,1.0,0.0,0.0,0.0
87,Socialism,please try find balls gone voted conservative conservative govern ,2020-10-26,0.223,0.777,0.0,0.3182,0.0,0.5,0.0,0.5,0.0
88,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
89,Socialism,socialism communism communism government sets rules socialism workers se ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,Socialism,country gets destroyed democratic socialism proudly remind charac ,2020-10-26,0.281,0.469,0.25,0.1027,0.0,0.5,0.5,0.0,0.0
91,Socialism,1 socialists progressive regular progressives 2 socialist challenges progressives ,2020-10-26,0.178,0.822,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
92,Socialism,trump campaign hoping repeat win florida targeting colombian american voters bloc historica ,2020-10-26,0.398,0.602,0.0,0.765,0.0,0.5,0.0,0.0,0.5
93,Socialism,1 socialists progressive regular progressives 2 socialist challenges progressives ,2020-10-26,0.178,0.822,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
94,Socialism,message indian asian americans vote via vote socialism ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
96,Socialism,cold war american used patriotism help defeat soviet union american ,2020-10-26,0.163,0.422,0.416,-0.6369,0.0,0.0,0.0,0.0,1.0
97,Socialism,socialism communism communism government sets rules socialism workers se ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,Socialism,anyone accepted stimulus check collects unemployment expects firefight ,2020-10-26,0.191,0.545,0.264,-0.2023,0.0,0.0,1.0,0.0,0.0
99,Socialism,florida many colombian americans fear biden soft socialism trump getting late election bounce flori ,2020-10-26,0.0,0.802,0.198,-0.4939,0.0,0.0,0.0,0.67,0.33
100,Socialism,socialism violent ,2020-10-26,0.0,0.204,0.796,-0.5994,0.0,0.0,0.0,0.0,0.0
101,Socialism,democrats nominate bernie sanders f whining socialism socialism feared ,2020-10-26,0.0,0.541,0.459,-0.6249,0.0,0.0,0.0,1.0,0.0
102,Socialism,election isnt trump vs biden good vs evil controlling life vs controlled rights vs ,2020-10-26,0.15,0.622,0.228,-0.3612,0.0,0.5,0.25,0.0,0.25
103,Socialism,nov 3 2020 die patriots date became one important dates history livesnext ,2020-10-26,0.122,0.612,0.265,-0.4767,0.0,0.33,0.33,0.33,0.0
104,Socialism,chile abandoned socialism 1975 inflation adjusted income 13 venezuela 2019 chiles inco ,2020-10-26,0.0,0.786,0.214,-0.4588,0.0,1.0,0.0,0.0,0.0
105,Socialism,many americans descended legally immigrated countries experienced socialism ,2020-10-26,0.167,0.833,0.0,0.1027,0.0,0.0,0.0,1.0,0.0
106,Socialism,socialism sounds great always sounded great probably always continue sound great ,2020-10-26,0.606,0.394,0.0,0.9231,0.0,0.17,0.5,0.33,0.0
107,Socialism,socialism economic system means ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
108,Socialism,dont think understand socialism communism may want read book ,2020-10-26,0.14,0.86,0.0,0.0772,0.0,0.5,0.0,0.0,0.5
109,Socialism,socialism misused word united states perhaps rivaled word literally ,2020-10-26,0.259,0.741,0.0,0.4215,0.67,0.0,0.0,0.33,0.0
110,Socialism,kwame ture capitalism vs socialism 30 seconds ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,Socialism,socialists want take control state dismantle fuck socialism ,2020-10-26,0.12,0.556,0.324,-0.4939,0.0,0.0,0.5,0.5,0.0
112,Socialism,lol joe biden interviewed last night 60 minutes made th ,2020-10-26,0.237,0.763,0.0,0.4215,0.0,0.0,0.0,1.0,0.0
113,Socialism,youre arguing party supporting socialism communism cares democracy yo ,2020-10-26,0.518,0.301,0.181,0.6808,0.0,0.0,0.0,1.0,0.0
114,Socialism,long isolated issues long remain silos remain respective spaces without solidar ,2020-10-26,0.199,0.638,0.163,0.128,0.0,1.0,0.0,0.0,0.0
115,Socialism,opposing socialism fascist position also liberal one use whatever means necessary stop co ,2020-10-26,0.0,0.655,0.345,-0.7003,0.0,0.0,0.0,0.0,0.0
116,Socialism,people faintest idea socialism mean ,2020-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,Socialism,hey dickhead socialism mean especially female ,2020-10-26,0.0,0.549,0.451,-0.6249,0.0,0.0,0.0,0.0,1.0
118,Socialism,socialist education colleges middle schools many young americans dont know ,2020-10-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
119,Socialism,election isnt trump vs biden good vs evil controlling life vs controlled rights vs ,2020-10-26,0.15,0.622,0.228,-0.3612,0.0,0.5,0.25,0.0,0.25
