,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Socialism,famously socialism one eschews guaranteed distribution money open competition ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,Socialism,also eastern europe romania damn ,2021-02-08,0.0,0.597,0.403,-0.4019,0.0,0.0,0.0,0.0,0.0
2,Socialism,labor action labor action labor action socialism means ceasing means prod ,2021-02-08,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0
3,Socialism,repel socialism ,2021-02-08,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,Socialism,group claiming socialist promoting working promote capitalism imperiali ,2021-02-08,0.459,0.541,0.0,0.6249,0.0,0.33,0.0,0.0,0.67
5,Socialism,im simply talking marxism leninism state capitalism socialism nothing german ideology ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,Socialism,dont know communism socialism chinas bitch 2016 chinas economy ,2021-02-08,0.0,0.678,0.322,-0.5859,0.0,1.0,0.0,0.0,0.0
7,Socialism,socialism done left xanderhal genuinely hard listen bastiat cringe oil lawyer serfs cringe ,2021-02-08,0.0,0.896,0.104,-0.1027,0.5,0.0,0.0,0.5,0.0
8,Socialism,obviously read rawls could sworn remember specifically saying think soci ,2021-02-08,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.67
9,Socialism,yeah ok know governme ,2021-02-08,0.688,0.312,0.0,0.5267,0.0,0.0,0.0,0.0,0.0
10,Socialism,like supporting ussa socialism china socialism e ,2021-02-08,0.574,0.426,0.0,0.6597,0.0,0.0,0.0,0.0,0.0
11,Socialism,damn white house press secretary still referring 200 checks 200 checks stop saying 200 ,2021-02-08,0.0,0.71,0.29,-0.5994,0.0,0.67,0.0,0.0,0.33
12,Socialism,none socialist except bernie good try thing c ,2021-02-08,0.326,0.674,0.0,0.4404,0.0,0.0,0.5,0.0,0.5
13,Socialism,people really need research socialism really damn fuck ,2021-02-08,0.0,0.47,0.53,-0.7764,0.0,0.0,0.33,0.0,0.67
14,Socialism,like socialism ,2021-02-08,0.714,0.286,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
15,Socialism,part fighting capitalism socialism senator attempt coopting true revolutionary pathetic ,2021-02-08,0.175,0.438,0.388,-0.5267,0.0,0.0,0.0,1.0,0.0
16,Socialism,yea issues cuba anything crippling sanctions imposed ,2021-02-08,0.0,0.822,0.178,-0.0772,0.0,1.0,0.0,0.0,0.0
17,Socialism,critical race theor ,2021-02-08,0.0,0.465,0.535,-0.3182,0.0,1.0,0.0,0.0,0.0
18,Socialism,progressive socialist person fights healthcar ,2021-02-08,0.0,0.597,0.403,-0.4019,0.0,0.0,0.0,1.0,0.0
19,Socialism,b socialism ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Socialism,many definitions around would love know definition socialism ,2021-02-08,0.375,0.625,0.0,0.6369,0.0,0.25,0.25,0.0,0.5
21,Socialism,ooh socialism sweet im going dentist change mind ,2021-02-08,0.3,0.7,0.0,0.4588,0.0,0.33,0.0,0.0,0.67
22,Socialism,socialism great equalizer everyone equally miserable ,2021-02-08,0.363,0.354,0.283,0.2263,0.0,0.0,0.5,0.5,0.0
23,Socialism,yeah party made decision distance socialism result se ,2021-02-08,0.45,0.55,0.0,0.5994,0.0,0.5,0.0,0.5,0.0
24,Socialism,soon 2 ppl within socialist civilization decide use something mon ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
25,Socialism,bro cant unilaterally change definition socialism socialism demonstrably fails ,2021-02-08,0.0,0.741,0.259,-0.4215,0.0,0.5,0.0,0.0,0.5
26,Socialism,like honestly think socialism let sit ass nothing like really ,2021-02-08,0.457,0.343,0.2,0.5423,0.0,0.0,0.0,0.33,0.67
27,Socialism,democratic socialism ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Socialism,think falls socialism rich capitalism poor ,2021-02-08,0.336,0.374,0.29,0.128,0.0,0.5,0.0,0.0,0.5
29,Socialism,karl marx invent socialism ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,Socialism,laughing loud sure boogeyman makes socialism fail every time wonder ever ,2021-02-08,0.324,0.471,0.206,0.25,0.0,0.25,0.0,0.25,0.5
31,Socialism,support socialism common corbyn starmer doesnt really simple ,2021-02-08,0.278,0.722,0.0,0.4019,0.0,0.67,0.0,0.0,0.33
32,Socialism,tight leash would rather sedition party pander white hood mob actually ,2021-02-08,0.186,0.621,0.193,-0.0258,0.2,0.6,0.0,0.0,0.2
33,Socialism,socialism wokeness facism ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Socialism,idea direction want take might behoove listen ,2021-02-08,0.178,0.822,0.0,0.0772,1.0,0.0,0.0,0.0,0.0
35,Socialism,german know alotta people lived gd ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Socialism,anything dont like socialism genius ,2021-02-08,0.0,0.655,0.345,-0.2755,0.0,0.0,0.0,0.0,1.0
37,Socialism,brilliant stuff socialism ,2021-02-08,0.655,0.345,0.0,0.5859,0.5,0.0,0.5,0.0,0.0
38,Socialism,today rachel reeves made speech mentioned word isocialism leave suggestion insincerity cynical ,2021-02-08,0.0,0.592,0.408,-0.6369,0.33,0.33,0.0,0.33,0.0
39,Socialism,bit difficult america actively everything power make fail ,2021-02-08,0.173,0.376,0.451,-0.5719,0.33,0.0,0.0,0.67,0.0
40,Socialism,ah yes united states 1968 epitome socialism ,2021-02-08,0.524,0.476,0.0,0.6705,0.0,0.0,0.0,1.0,0.0
41,Socialism,doubt bunch people voting next hours im going reveal answer ,2021-02-08,0.0,0.783,0.217,-0.3612,0.0,0.67,0.0,0.0,0.33
42,Socialism,left find difficult love anything sound voices ,2021-02-08,0.359,0.427,0.214,0.4019,0.0,0.5,0.5,0.0,0.0
43,Socialism,everyone capital rig rules ensure stays way socialism b ,2021-02-08,0.257,0.594,0.149,0.2732,0.33,0.67,0.0,0.0,0.0
44,Socialism,true nature socialism obtaining maintaining power whatever cost human suffering human lif ,2021-02-08,0.176,0.629,0.195,-0.0772,0.33,0.33,0.0,0.0,0.33
45,Socialism,nothing remotely like socialism usa ,2021-02-08,0.0,0.655,0.345,-0.2755,0.0,0.0,0.0,0.0,0.0
46,Socialism,yes marx stickler particular brand socialism ,2021-02-08,0.351,0.649,0.0,0.4019,0.0,0.0,0.0,1.0,0.0
47,Socialism,capitalism crashes recesses every years constitute fai ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
48,Socialism,youre also forgetting voters rejected socialism record numbers last 2 elec ,2021-02-08,0.0,0.732,0.268,-0.5106,0.5,0.5,0.0,0.0,0.0
49,Socialism,allegations power corrupted two main parties amp th ,2021-02-08,0.278,0.722,0.0,0.4019,0.33,0.67,0.0,0.0,0.0
50,Socialism,leftism regime favors socialism proles ,2021-02-08,0.333,0.667,0.0,0.25,0.0,0.0,1.0,0.0,0.0
51,Socialism,left india idiotic guys talk policy problems talking abou ,2021-02-08,0.0,0.526,0.474,-0.743,0.0,1.0,0.0,0.0,0.0
52,Socialism,another bastion actually existing socialism lost ,2021-02-08,0.0,0.685,0.315,-0.3182,0.0,0.0,0.0,0.5,0.5
53,Socialism,either make conservatives terrified public services teach already certain amount ,2021-02-08,0.149,0.567,0.284,-0.4404,0.0,0.33,0.0,0.67,0.0
54,Socialism,yeah sure talking soviet type economy even close socialism ,2021-02-08,0.391,0.609,0.0,0.5423,0.0,0.75,0.25,0.0,0.0
55,Socialism,wasnt marjorie taylor greene called democrats party anti semitism party infanticide pa ,2021-02-08,0.323,0.539,0.138,0.4767,0.0,0.0,0.0,0.0,0.0
56,Socialism,prager capitalism wins nikki haley capitalism america usa freedom prosperity capitalism works ,2021-02-08,0.441,0.559,0.0,0.836,0.0,1.0,0.0,0.0,0.0
57,Socialism,think give taxes cuts big corps would money w ,2021-02-08,0.0,0.761,0.239,-0.296,0.0,0.67,0.0,0.0,0.33
58,Socialism,gdr doesnt want socialism lol said wanted ,2021-02-08,0.0,0.585,0.415,-0.3724,0.0,0.0,0.0,0.0,1.0
59,Socialism,necks demonstrate world truly compassionate truly loving truly caring truly profound ,2021-02-08,0.846,0.154,0.0,0.9678,0.0,0.4,0.4,0.2,0.0
60,Socialism,sounds like socialism ,2021-02-08,0.556,0.444,0.0,0.3612,0.0,0.0,0.0,0.0,0.0
61,Socialism,everything like socialism ,2021-02-08,0.556,0.444,0.0,0.3612,0.0,0.0,0.0,1.0,0.0
62,Socialism,stop calling modern gop conservative lightweight version authoritarianism ,2021-02-08,0.0,0.761,0.239,-0.296,0.0,0.0,0.0,0.0,0.0
63,Socialism,fair theyve told capitalism good socialism bad ,2021-02-08,0.409,0.315,0.276,0.1779,0.0,0.0,0.33,0.67,0.0
64,Socialism,within left two symmetrical mutually self reinforcing problems missteps one hand reducing pro ,2021-02-08,0.189,0.651,0.16,0.128,0.0,1.0,0.0,0.0,0.0
65,Socialism,fascist parties ,2021-02-08,0.429,0.0,0.571,-0.2263,0.0,0.0,0.0,0.0,0.0
66,Socialism,isnt one also socialism abolition every mechanism formed capitalism transfo ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Socialism,system rewards good performance punishes bad performance socialism ,2021-02-08,0.361,0.241,0.398,-0.1531,0.0,0.33,0.33,0.33,0.0
68,Socialism,long live socialism ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,Socialism,let society idea bring revolutionary socialism facing principles us civic raising conducting air ,2021-02-08,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.6,0.0
70,Socialism,shrank like socialist movements great depression new deal world wars bu ,2021-02-08,0.316,0.335,0.349,-0.1779,0.0,0.5,0.5,0.0,0.0
71,Socialism,people want monolithic economies workers control production bourgeoisi ,2021-02-08,0.157,0.843,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
72,Socialism,millions trump supporters said feared socialism quietly appreciate thousands ,2021-02-08,0.378,0.405,0.216,0.34,0.0,0.0,0.25,0.25,0.5
73,Socialism,warren stan year tweeted support socialism n ,2021-02-08,0.351,0.649,0.0,0.4019,0.0,0.0,0.0,0.0,0.0
74,Socialism,happy monday 8th day black history month remember words bayard rustin one ,2021-02-08,0.252,0.748,0.0,0.5719,0.25,0.25,0.5,0.0,0.0
75,Socialism,wrong democrats welcome signs reason returning gop fox gop go ,2021-02-08,0.213,0.567,0.22,-0.0258,0.0,0.25,0.25,0.5,0.0
76,Socialism,realize need force create socialism communism ,2021-02-08,0.296,0.704,0.0,0.2732,0.0,1.0,0.0,0.0,0.0
77,Socialism,poll support socialism dropped nearly 10 percentage points since 2018 ,2021-02-08,0.231,0.769,0.0,0.4019,0.0,0.0,0.0,0.0,1.0
78,Socialism,mondoweiss us correspondent spoke brian bean new book palestine ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
79,Socialism,people question ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,Socialism,way future referencewhen say democratic socialist im usually referring dsa types roses liberal ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
81,Socialism,well aware republican party believe poverty even worth nickel much ,2021-02-08,0.419,0.375,0.206,0.34,0.0,0.5,0.0,0.5,0.0
82,Socialism,impecable video always colombian say hate socialism neighbo ,2021-02-08,0.0,0.654,0.346,-0.5719,0.0,0.0,0.0,0.67,0.33
83,Socialism,weekend weak republicans key positions top disgrace disservice constitution ha ,2021-02-08,0.258,0.368,0.374,-0.4404,0.0,0.2,0.0,0.6,0.2
84,Socialism,find really weird criticize capitalism peop ,2021-02-08,0.0,0.451,0.549,-0.5956,0.0,0.0,0.0,0.0,1.0
85,Socialism,thursday join aier bastiat society wichita talk robert lawson ph recount c ,2021-02-08,0.18,0.82,0.0,0.296,0.0,0.0,0.0,0.0,0.0
86,Socialism,must stop march socialism says conservative deplatformed meaningful methods ,2021-02-08,0.2,0.609,0.191,0.0258,0.0,0.0,0.0,0.0,1.0
87,Socialism,ok oh right gdr wanted less sovi ,2021-02-08,0.268,0.732,0.0,0.296,0.0,1.0,0.0,0.0,0.0
88,Socialism,real estate isnt safe socialism geopolitical aging population trends isnt side ,2021-02-08,0.0,0.806,0.194,-0.3412,0.5,0.0,0.0,0.5,0.0
89,Socialism,authoritarian ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Socialism,exaggerating legit several ,2021-02-08,0.0,0.541,0.459,-0.1779,0.0,0.0,0.0,0.0,0.0
91,Socialism,cuba trying move away socialism democrats america working hard go opposite direction ,2021-02-08,0.0,0.887,0.113,-0.1027,0.67,0.33,0.0,0.0,0.0
92,Socialism,oh look another democrat help finish job destroying california ,2021-02-08,0.203,0.526,0.271,-0.2263,0.0,0.67,0.0,0.0,0.33
93,Socialism,see ritualized habit born bitter pill capitalist realism intersects ideolo ,2021-02-08,0.0,0.763,0.237,-0.4215,0.5,0.0,0.0,0.5,0.0
94,Socialism,spot gop preach capitalism poor single mothers practice socialism big corporati ,2021-02-08,0.0,0.763,0.237,-0.4767,0.0,1.0,0.0,0.0,0.0
95,Socialism,talking capitalism never lived social ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,Socialism,democratic socialism means must reform political system corrupt must create economy ,2021-02-08,0.174,0.826,0.0,0.2732,0.0,1.0,0.0,0.0,0.0
97,Socialism,sudden fundamental transformation r society socialism joe di genova blames bending kn ,2021-02-08,0.0,0.787,0.213,-0.4019,0.33,0.33,0.0,0.0,0.33
98,Socialism,save america rest planet well ra ,2021-02-08,0.57,0.43,0.0,0.6486,0.0,0.0,0.0,0.0,0.0
99,Socialism,politics please tell exactly politics b ,2021-02-08,0.365,0.635,0.0,0.3182,0.0,0.5,0.0,0.5,0.0
100,Socialism,corps use language socialism justify unfettered profits govt uses language free market ,2021-02-08,0.383,0.617,0.0,0.7351,0.0,0.5,0.17,0.0,0.33
101,Socialism,nordic countries socialism capitalist countries wit ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
102,Socialism,socialism work big allure idea workers owning means production ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
103,Socialism,ride socialism trainsto socialist jobearn socialist money good stay home socialist husband ,2021-02-08,0.209,0.791,0.0,0.4404,0.33,0.0,0.33,0.33,0.0
104,Socialism,weird reactionary adoption terms like socialism marxism communism pomo p ,2021-02-08,0.223,0.625,0.152,0.2023,0.0,0.0,0.0,0.0,0.0
105,Socialism,make sense ever labour suffering starmer could socialism last ,2021-02-08,0.0,0.721,0.279,-0.4767,0.0,0.0,0.0,0.5,0.5
106,Socialism,spelled socialism wrong ,2021-02-08,0.0,0.392,0.608,-0.4767,0.0,0.0,0.0,0.0,0.0
107,Socialism,plenty socialist jews supported corbyn cult f ,2021-02-08,0.315,0.685,0.0,0.3182,0.0,0.0,0.0,0.0,0.0
108,Socialism,capitalism proving failing socialism better right th ,2021-02-08,0.259,0.446,0.295,-0.1027,0.0,0.67,0.0,0.0,0.33
109,Socialism,modern socialism scientific scientists arrive generalizations mere speculation ,2021-02-08,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
110,Socialism,realize small percentage americans ever ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
111,Socialism,somewhat topic disagree video made saying fascism form socialism ,2021-02-08,0.0,0.775,0.225,-0.323,0.0,0.25,0.0,0.25,0.5
112,Socialism,socialism deep rooted mindset people specially old ones extremely tough change ,2021-02-08,0.0,0.848,0.152,-0.2006,0.0,1.0,0.0,0.0,0.0
113,Socialism,hilarious people sit ,2021-02-08,0.574,0.426,0.0,0.4019,0.0,0.0,1.0,0.0,0.0
114,Socialism,assumed unaware distinctio ,2021-02-08,0.0,0.526,0.474,-0.2023,0.0,0.0,0.0,0.0,0.0
115,Socialism,yea whats messed corporations get help capitalist society let pick themselv ,2021-02-08,0.191,0.638,0.17,0.0772,0.25,0.25,0.0,0.25,0.25
116,Socialism,could bitcoin help smash socialism venezuela ,2021-02-08,0.351,0.649,0.0,0.4019,0.0,0.0,0.0,0.0,1.0
117,Socialism,socialism somebody else benefits ,2021-02-08,0.464,0.536,0.0,0.3818,0.0,1.0,0.0,0.0,0.0
118,Socialism,reminder governing trump 1st 2 yrs regressives controlled wh congr ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
119,Socialism,well nick brana declared green party socialist definitely socialism ,2021-02-08,0.556,0.444,0.0,0.7579,0.0,1.0,0.0,0.0,0.0
120,Socialism,realise c ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,Socialism,thats narrative view advantageous reality neo liberalism radical ,2021-02-08,0.263,0.737,0.0,0.3612,0.0,0.0,1.0,0.0,0.0
122,Socialism,comrades disillusioned scottish independence supporter feels like socialism taken ,2021-02-08,0.341,0.444,0.215,0.1779,0.0,0.0,0.0,0.0,1.0
123,Socialism,extend socialism wall street multimillionaire businesses ,2021-02-08,0.254,0.746,0.0,0.1779,0.33,0.33,0.0,0.33,0.0
124,Socialism,un agenda 21 planned years executed world dominated socialis ,2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
