,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,Trump,real republicans admit two things 1 lost 2 bad country anyone else nati ,2020-11-11,0.115,0.513,0.372,-0.6124,0.0,0.0,0.0,0.8,0.2
1,Trump,hand recount trump wins without computer intervening correct ,2020-11-11,0.535,0.465,0.0,0.7845,0.0,0.0,0.0,0.0,1.0
2,Trump,well thought trump would difficult certainly thought senate republicans would ,2020-11-11,0.321,0.5,0.179,0.25,0.0,0.4,0.0,0.0,0.6
3,Trump,michael cohen knows trump probably better anyone michael cohen went jail trump michael coh ,2020-11-11,0.182,0.818,0.0,0.4404,0.0,0.4,0.0,0.0,0.6
4,Trump,send hotline sure someone go ,2020-11-11,0.365,0.635,0.0,0.3182,0.0,1.0,0.0,0.0,0.0
5,Trump,someone commented sum trump supporting shit mackenzies tiktok amp took ig bio amp changed tik ,2020-11-11,0.149,0.667,0.185,-0.1779,0.0,0.0,0.0,0.0,1.0
6,Trump,trump really worried elections integrity hed put golf club get work ,2020-11-11,0.199,0.627,0.174,0.0953,0.0,0.2,0.0,0.4,0.4
7,Trump,great idea president trump approve bill nation wide executive order finally end antifa viol ,2020-11-11,0.24,0.76,0.0,0.6249,0.0,0.25,0.5,0.0,0.25
8,Trump,worked hard people affected pandemic slurping trumps aaho ,2020-11-11,0.0,0.667,0.333,-0.25,0.25,0.25,0.0,0.25,0.25
9,Trump,every time see trump see red orange face think subconsciously ,2020-11-11,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.67
10,Trump,dont want hear single republican claim pro democracy ever theyve let wannabe dict ,2020-11-11,0.0,0.908,0.092,-0.0572,0.0,0.0,0.0,0.33,0.67
11,Trump,hatred racist remarks death threats r pure evil promoted trump fox2news republicans ,2020-11-11,0.103,0.185,0.712,-0.9552,0.0,0.67,0.0,0.0,0.33
12,Trump,weve got show donald trump youve gotta make count play straight dont look back ,2020-11-11,0.264,0.736,0.0,0.5106,0.0,0.5,0.0,0.25,0.25
13,Trump,got message says president requesting every registered vote ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Trump,like way trump super confident ,2020-11-11,0.828,0.172,0.0,0.8625,0.0,0.5,0.0,0.0,0.5
15,Trump,kinda looks like trump potatoheadofpalencia ,2020-11-11,0.357,0.643,0.0,0.3008,0.0,0.0,0.0,0.0,1.0
16,Trump,go trump ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17,Trump,talk biden following example ford pardoning predecessor difference nixon ,2020-11-11,0.252,0.748,0.0,0.4019,0.0,0.0,0.0,1.0,0.0
18,Trump,got right alleged fraud fact little none baghdad barbie cam ,2020-11-11,0.0,0.703,0.297,-0.5859,0.0,1.0,0.0,0.0,0.0
19,Trump,civil war trump caused stealing election electoral college ,2020-11-11,0.0,0.441,0.559,-0.8225,0.0,0.33,0.0,0.0,0.67
20,Trump,well kansashe return home run governorshipjust smirking way ole yell ,2020-11-11,0.189,0.811,0.0,0.2732,0.0,0.0,0.0,0.5,0.5
21,Trump,goes whatever moral superiority usa ever tried claim democracy ,2020-11-11,0.231,0.769,0.0,0.34,0.0,0.33,0.0,0.0,0.67
22,Trump,like rump promoting people page republ ,2020-11-11,0.556,0.444,0.0,0.6124,0.0,0.0,0.0,0.0,0.0
23,Trump,showing trump presidency ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,Trump,nobodys listening trump ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
25,Trump,says fool following trump beck shapiro ,2020-11-11,0.0,0.633,0.367,-0.4404,0.0,0.0,0.0,0.0,1.0
26,Trump,thats shocking thing race think always thought trump could win ones ,2020-11-11,0.245,0.581,0.174,0.2732,0.0,0.25,0.0,0.12,0.62
27,Trump,trying think trump built 4 years nothing came mind president obama left trump diamon ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.83
28,Trump,stand trump ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
29,Trump,want report donald trump discrediting vote mail wonder supporters didnt vote mail ,2020-11-11,0.296,0.704,0.0,0.4939,0.0,0.33,0.0,0.0,0.67
30,Trump,please add bernie elizabeth warren cabinet democrats united overcome trump speeches ,2020-11-11,0.362,0.638,0.0,0.6249,0.0,0.0,0.0,0.75,0.25
31,Trump,umm trump university trump bankruptcies trump deutch bank loans trump ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8
32,Trump,ive heard whistle blowers paid trump family co ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33,Trump,sound exactly like trump longer tell tweets apart truly unfortunate f ,2020-11-11,0.351,0.455,0.195,0.34,0.0,0.0,0.0,0.67,0.33
34,Trump,trump 0 13 legal actions far ,2020-11-11,0.273,0.727,0.0,0.128,0.0,0.67,0.0,0.0,0.33
35,Trump,mask shit around keep virus ever getting control md ,2020-11-11,0.0,0.69,0.31,-0.5574,0.0,0.0,0.0,0.33,0.67
36,Trump,manipulation everyone ignore trump tweets tryi ,2020-11-11,0.0,0.46,0.54,-0.5719,0.0,0.0,0.0,0.0,1.0
37,Trump,put 3rd trump flag truck hope one brings votes penn ,2020-11-11,0.244,0.756,0.0,0.4404,0.0,0.25,0.0,0.5,0.25
38,Trump,trump whole government ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
39,Trump,whelming evidence biden trump fart face loser ,2020-11-11,0.0,0.638,0.362,-0.5267,0.0,0.33,0.0,0.33,0.33
40,Trump,bet trump took ramp ,2020-11-11,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.5
41,Trump,scheme trump could foiled aggressive national plan reduce infection rates ,2020-11-11,0.0,0.849,0.151,-0.1531,0.0,0.33,0.33,0.0,0.33
42,Trump,arizona call terrible set chain events got us week later ar ,2020-11-11,0.0,0.763,0.237,-0.4767,0.0,1.0,0.0,0.0,0.0
43,Trump,trum ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Trump,hope dems georgia learn something messaging policy chara ,2020-11-11,0.293,0.707,0.0,0.4404,0.0,1.0,0.0,0.0,0.0
45,Trump,everything trump touches even 2nd hand dies ,2020-11-11,0.348,0.652,0.0,0.4939,0.0,0.0,0.0,0.67,0.33
46,Trump,trump may accept results never concede aides say via im sure told fem ,2020-11-11,0.308,0.692,0.0,0.5994,0.0,0.4,0.0,0.2,0.4
47,Trump,trump klan bunch fricking wackos ivanka tweeting today great job alaska di ,2020-11-11,0.272,0.728,0.0,0.6249,0.0,0.33,0.33,0.0,0.33
48,Trump,pence could file 25 kick trump ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,Trump,neither dump mean trump ,2020-11-11,0.421,0.579,0.0,0.2924,0.0,0.0,0.0,0.5,0.5
50,Trump,electorates likely ,2020-11-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,Trump,worry fraudulent results overturned trump rightfully reelected ,2020-11-11,0.0,0.45,0.55,-0.7269,0.0,0.0,0.0,0.67,0.33
52,Trump,smooth transition power necessary part democracythis proof trump doe ,2020-11-11,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25
53,Trump,case gop lots legislators battleground states mipaazwi legislators votes counte ,2020-11-11,0.0,0.769,0.231,-0.4019,0.0,0.0,0.0,1.0,0.0
54,Trump,trump lost ability surprise us expect worst never disappointed ,2020-11-11,0.401,0.23,0.369,-0.1144,0.0,0.0,0.17,0.5,0.33
55,Trump,tiffany trump puts red dress says shell thing like vote daddy ,2020-11-11,0.2,0.8,0.0,0.3612,0.2,0.0,0.0,0.2,0.6
56,Trump,republicans responsible trump could held accountable years ago ,2020-11-11,0.247,0.753,0.0,0.3182,0.0,0.5,0.0,0.0,0.5
57,Trump,trump michigan election lawsuit surfaces petty racist complaints ,2020-11-11,0.0,0.278,0.722,-0.8555,0.0,0.0,0.0,0.5,0.5
58,Trump,michael cohen believe trump go jail ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
59,Trump,dont understand people talking coup right okay thats sucks ,2020-11-11,0.167,0.614,0.219,-0.1531,0.0,0.5,0.0,0.5,0.0
60,Trump,never happened wanted room full republi ,2020-11-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,Trump,scoop divisive pentagon hire may rush troop withdrawals trump exit ,2020-11-11,0.151,0.849,0.0,0.1531,0.0,0.4,0.2,0.0,0.4
62,Trump,way trump got 70 votes way ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
63,Trump,translationthe rnc agreed payoff trump somehow ,2020-11-11,0.296,0.704,0.0,0.2732,0.0,0.0,0.0,0.0,1.0
64,Trump,wa po article opinion piece actual reporting trumps court cases ,2020-11-11,0.0,0.714,0.286,-0.5574,0.0,0.5,0.0,0.0,0.5
65,Trump,hilarious depressed teenager ,2020-11-11,0.386,0.143,0.471,-0.1531,0.0,0.0,0.5,0.5,0.0
66,Trump,quick send trump money knows coun ,2020-11-11,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.0,0.33
67,Trump,war crimes yemen rewarded fighter jets bombs help add name ,2020-11-11,0.431,0.345,0.224,0.3818,0.0,0.0,0.0,0.67,0.33
68,Trump,texas listen trump time soul searching texans knew sou ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
69,Trump,patient 1 fcking hate trump wondering ,2020-11-11,0.0,0.519,0.481,-0.5719,0.0,0.0,0.0,0.33,0.67
70,Trump,trump deserve respect ,2020-11-11,0.608,0.392,0.0,0.4767,0.0,0.0,0.5,0.0,0.5
71,Trump,run ins punchline politics slogan shouters tub ,2020-11-11,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,Trump,trump paid recount ga biden still ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
73,Trump,courts dont agree theyve thrown almost every single bullshi ,2020-11-11,0.0,0.791,0.209,-0.2755,0.0,1.0,0.0,0.0,0.0
74,Trump,another thing ask pulling dangerous move impli ,2020-11-11,0.0,0.659,0.341,-0.4767,0.0,0.67,0.0,0.0,0.33
75,Trump,read 12 legal complaints lawsuits ,2020-11-11,0.192,0.256,0.551,-0.4215,0.0,0.0,0.0,1.0,0.0
76,Trump,trump winning 3 electoral votes ,2020-11-11,0.531,0.469,0.0,0.5267,0.0,0.0,0.0,0.0,1.0
77,Trump,dont afraid wont get passed supreme court justices uphol ,2020-11-11,0.0,0.732,0.268,-0.4449,0.0,1.0,0.0,0.0,0.0
78,Trump,taxes helped rich nobel nominations mean fuck us law order trump phra ,2020-11-11,0.211,0.585,0.205,0.0258,0.0,0.2,0.2,0.0,0.6
79,Trump,know president trump win election president trump 4 years ,2020-11-11,0.352,0.648,0.0,0.5859,0.0,0.0,0.0,0.0,1.0
80,Trump,doin military parade let drum bang way democrats alarm ,2020-11-11,0.0,0.769,0.231,-0.34,0.0,0.0,0.0,0.67,0.33
81,Trump,odds trump legal cases changing 2020 us election outcome via sputnik int ,2020-11-11,0.12,0.88,0.0,0.128,0.0,0.0,0.0,0.0,1.0
82,Trump,trump wouldnt path victory white house burning bet hell commit suicide ov ,2020-11-11,0.108,0.443,0.448,-0.836,0.0,0.6,0.0,0.2,0.2
83,Trump,obama pays men trump fucks porn stars ,2020-11-11,0.0,0.659,0.341,-0.4767,0.0,0.0,0.33,0.0,0.67
84,Trump,trump making america great casting aspersions respected traditions amp ,2020-11-11,0.507,0.493,0.0,0.802,0.0,0.0,0.5,0.25,0.25
85,Trump,trump needs develop maturity sense needs know one wins every time ,2020-11-11,0.27,0.73,0.0,0.5719,0.0,0.5,0.0,0.0,0.5
86,Trump,remember afraid give nuclear codes trump going blow wo ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4
87,Trump,crooks youve attempted steel election massive complex voter fraud campaign ,2020-11-11,0.0,0.703,0.297,-0.5859,0.0,0.5,0.0,0.5,0.0
88,Trump,brilliant idea tell everyonetweetfbwhatever write letter trump te ,2020-11-11,0.352,0.648,0.0,0.5859,0.0,0.0,0.33,0.33,0.33
89,Trump,dont think trump would care ,2020-11-11,0.444,0.556,0.0,0.4939,0.0,0.33,0.0,0.0,0.67
90,Trump,right mickey maybe downed wouldeep state fictional organization us perh ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.0
91,Trump,never give anointed god beloved president trump ,2020-11-11,0.326,0.494,0.179,0.3582,0.0,0.33,0.0,0.0,0.67
92,Trump,keep snowflake tears coming yall ,2020-11-11,0.0,0.678,0.322,-0.2263,0.0,0.0,0.0,0.5,0.5
93,Trump,keep lying losers fact check president trump uses context video spread f ,2020-11-11,0.0,0.57,0.43,-0.7783,0.0,0.5,0.0,0.25,0.25
94,Trump,trump spawn look weird ,2020-11-11,0.0,0.638,0.362,-0.1779,0.0,0.0,0.0,0.0,1.0
95,Trump,women voted trump ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
96,Trump,would real christians name ,2020-11-11,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
97,Trump,trump cant fire quit narrator fired ,2020-11-11,0.211,0.415,0.374,-0.3744,0.0,0.0,0.0,0.0,1.0
98,Trump,donald trump purging defense department elevate fervent supporters mother jones ,2020-11-11,0.481,0.519,0.0,0.6705,0.0,0.4,0.0,0.2,0.4
99,Trump,yes check fine print recount fund page f ,2020-11-11,0.474,0.526,0.0,0.5423,0.0,0.33,0.33,0.33,0.0
