,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,climate change,mean wont change lives tomorrow genuinely think ,2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
1,climate change,independent federal mp warringah set enter climate change bill parliament day ,2020-11-09,0.0,0.0,0.0,0.0,0.0,0.33,0.67,0.0,0.0
2,climate change,biden shift climate change welcomed world leaders via ,2020-11-09,0.255,0.745,0.0,0.34,0.0,0.0,1.0,0.0,0.0
3,climate change,anyone podcast recs im really political stuff like daily listen similar plz ,2020-11-09,0.289,0.711,0.0,0.4703,0.5,0.0,0.0,0.0,0.5
4,climate change,hardly wait morrison announcementof course claims drove ,2020-11-09,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.67
5,climate change,climate change fake news massons il luminaties arrest rotshild rokffeler ss ,2020-11-09,0.0,0.621,0.379,-0.6705,0.0,0.0,0.0,1.0,0.0
6,climate change,dont know age experience matter much intelligence kelly craft experienced cl ,2020-11-09,0.318,0.682,0.0,0.4939,0.5,0.5,0.0,0.0,0.0
7,climate change,us couldnt even handle working communities control pandemic ready work w ,2020-11-09,0.217,0.783,0.0,0.3612,0.0,0.67,0.33,0.0,0.0
8,climate change,warm time year god almighty ca take 12 months summer want ,2020-11-09,0.398,0.602,0.0,0.5106,0.0,0.33,0.33,0.0,0.33
9,climate change,biden president dont expect legislation immigration climate change infrastructure sti ,2020-11-09,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0
10,climate change,climate change fake news massons il luminaties arrest rotshild rokffeler sorros clintons ,2020-11-09,0.0,0.645,0.355,-0.6705,0.0,0.0,0.0,1.0,0.0
11,climate change,douglas ross must prioritise north sea jobs climate change targets ,2020-11-09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
12,climate change,sister please know person 9th pass ensure education ,2020-11-09,0.45,0.55,0.0,0.5994,0.0,0.0,0.0,1.0,0.0
13,climate change,wasnt paris agreement based incorrect altered data scientists ,2020-11-09,0.0,0.727,0.273,-0.3875,0.0,0.0,0.0,1.0,0.0
14,climate change,course outcome changes lives impacts global challenges like addressing c ,2020-11-09,0.352,0.648,0.0,0.4215,0.5,0.5,0.0,0.0,0.0
15,climate change,lost cause hope rise climate change decimate ,2020-11-09,0.284,0.49,0.225,0.1531,0.0,0.5,0.0,0.5,0.0
16,climate change,climate change barbie becomes gun ban barbie quality depth thinking produces vapid co ,2020-11-09,0.0,0.647,0.353,-0.7184,0.0,0.33,0.0,0.33,0.33
17,climate change,oh terrible impacts climate change ,2020-11-09,0.0,0.563,0.437,-0.4767,0.5,0.5,0.0,0.0,0.0
18,climate change,australia lose 3 trillion 88000 jobs 50 years climate change addressed deloit ,2020-11-09,0.0,0.787,0.213,-0.4019,0.0,0.5,0.0,0.5,0.0
19,climate change,anyone doesnt think climate change issue stay south florida experiencing another flas ,2020-11-09,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
20,climate change,ca fight planet climate continue increase decrease temperature ,2020-11-09,0.211,0.55,0.239,-0.0772,0.0,0.5,0.0,0.5,0.0
21,climate change,day one well structured much needed climate change bill introduced zalisteggall coalition go ,2020-11-09,0.149,0.851,0.0,0.2732,0.0,0.5,0.5,0.0,0.0
22,climate change,plan climate change could game changer ,2020-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,climate change,solution making water flow uphill either entire project absurd noth ,2020-11-09,0.204,0.796,0.0,0.3182,0.0,0.5,0.0,0.5,0.0
24,climate change,ignores majority wantsie action climate ch ,2020-11-09,0.0,0.704,0.296,-0.2732,0.0,1.0,0.0,0.0,0.0
25,climate change,heres personal alternative plan nothing climate change made bull shit ,2020-11-09,0.0,0.714,0.286,-0.5574,0.0,0.33,0.0,0.33,0.33
26,climate change,climate change fake news massons il luminaties arrest rotshild rokffeler sorros clintons bush ,2020-11-09,0.0,0.667,0.333,-0.6705,0.0,0.0,0.0,1.0,0.0
27,climate change,joe biden wins us election great news renewable energy president joe biden believes climate change statin ,2020-11-09,0.432,0.568,0.0,0.872,0.0,0.0,1.0,0.0,0.0
28,climate change,biden rejoin paris agreement global climate pact mean travel paris agreement bi ,2020-11-09,0.39,0.61,0.0,0.7506,0.0,0.0,0.0,0.0,0.0
29,climate change,indigenous people crying help politicians want deforestation cattle breeding care abou ,2020-11-09,0.416,0.405,0.179,0.4767,0.0,0.0,0.0,0.0,1.0
30,climate change,infrastructure amp public health sentence infrastructure lay new foundation sustainable gro ,2020-11-09,0.115,0.885,0.0,0.0772,0.0,0.0,0.0,0.0,0.0
31,climate change,johnson beginning look positively reasonable since dabble covid acceptance ,2020-11-09,0.478,0.522,0.0,0.7506,0.0,1.0,0.0,0.0,0.0
