,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,conservative,biden continues chip away trumps 80k lead ga blue blobs approaching 100 reported much ,2020-11-04,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.25
1,conservative,utah heavily conservative probably nice think ,2020-11-04,0.359,0.641,0.0,0.4215,0.0,0.25,0.25,0.25,0.25
2,conservative,practicing indifferent live conservative lonerdoc advocate richardlomax ,2020-11-04,0.0,0.769,0.231,-0.2023,0.0,0.0,0.0,1.0,0.0
3,conservative,makes zero sense kentucky one conservative states country progres ,2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4,conservative,canadians also understand conservative parties look us test kitchen ,2020-11-04,0.252,0.748,0.0,0.4019,0.0,0.0,0.0,0.0,0.0
5,conservative,im thinking mostly conservative suburban women voters arizona flipped biden ,2020-11-04,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5
6,conservative,ah thanks large part right wingnut conservative media south florida ,2020-11-04,0.244,0.756,0.0,0.4404,0.0,1.0,0.0,0.0,0.0
7,conservative,thank sharing abby sure many conservative students understand thoughts ,2020-11-04,0.559,0.441,0.0,0.765,0.0,1.0,0.0,0.0,0.0
8,conservative,totally indefensible behavior anyone claiming republican let alone conservative ,2020-11-04,0.0,0.8,0.2,-0.25,0.0,0.0,0.0,0.67,0.33
9,conservative,nothing tastes better conservative tears hypocrisy ,2020-11-04,0.0,0.482,0.518,-0.5116,0.0,0.0,0.33,0.33,0.33
10,conservative,fair particular issue nothing trump rather media mainstream lib ,2020-11-04,0.223,0.777,0.0,0.3182,0.0,0.5,0.0,0.0,0.5
11,conservative,talk conservative seventh day adventists fully look forward end world go hom ,2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,conservative,supporting open xenophobic bigoted racist says everything blackness cou ,2020-11-04,0.209,0.504,0.288,-0.2732,0.0,0.5,0.0,0.25,0.25
13,conservative,yeah real conservative doesnt follow autocrat blindly like demagogue ,2020-11-04,0.402,0.598,0.0,0.5719,0.0,0.0,0.0,1.0,0.0
14,conservative,thanks voting destroy country promise never vote personally conservat ,2020-11-04,0.354,0.408,0.238,0.1779,0.0,0.5,0.0,0.5,0.0
15,conservative,gay conservative guy benson likes tweet friends like ,2020-11-04,0.627,0.373,0.0,0.8126,0.0,0.0,1.0,0.0,0.0
16,conservative,removing ec would make conservative votes ca co ,2020-11-04,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
17,conservative,look squad back ilhan mn rashida tlaib amp rep pressley listen close enough yo ,2020-11-04,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
18,conservative,answer religion gender binary theres increase conservative policy approvals black ,2020-11-04,0.204,0.796,0.0,0.3182,0.0,0.5,0.5,0.0,0.0
