,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,corona,true sad ,2020-10-28,0.475,0.0,0.525,-0.0772,0.0,0.0,0.0,1.0,0.0
1,corona,love time corona pandemie ,2020-10-28,0.583,0.417,0.0,0.6369,0.0,0.0,1.0,0.0,0.0
2,corona,100s deaths corona 2 3 death rate everyone australia g ,2020-10-28,0.0,0.606,0.394,-0.5994,0.0,1.0,0.0,0.0,0.0
3,corona,across country italians defending tightened corona measures government pr ,2020-10-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,corona,update 503 gmt total confirmed cases 44251983 total confirmed deaths 1171476 total number ,2020-10-28,0.098,0.902,0.0,0.0772,0.0,1.0,0.0,0.0,0.0
5,corona,symptom corona thick luscious juicy ass cheeks cause im scared guys ,2020-10-28,0.0,0.584,0.416,-0.7506,0.0,0.0,0.0,1.0,0.0
6,corona,omgosh youre arlington ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,corona,corona virus happy ,2020-10-28,0.649,0.351,0.0,0.5719,0.0,0.0,1.0,0.0,0.0
8,corona,im pretty sure joe kelly contracted covid 19 putting right index finger corona hole ,2020-10-28,0.314,0.686,0.0,0.6705,0.0,0.5,0.17,0.33,0.0
9,corona,festivities around corner surely want corona ruin please adhere covid19 appropriat ,2020-10-28,0.495,0.309,0.196,0.5859,0.0,0.25,0.0,0.5,0.25
10,corona,c d3 zinc magnesium indian tonic water every day multi days exposed 11 co ,2020-10-28,0.0,0.902,0.098,-0.0772,0.0,0.0,0.67,0.33,0.0
11,corona,since corona attack everything feels bored one cat hes aggressive ,2020-10-28,0.0,0.507,0.493,-0.7003,0.0,0.0,0.0,1.0,0.0
12,corona,dodgers spreading corona west coast 2nd wave warned us ,2020-10-28,0.0,0.792,0.208,-0.2732,0.0,1.0,0.0,0.0,0.0
13,corona,cares probably old people dying corona diesnt kill white young americans prolly obama hoax ,2020-10-28,0.144,0.529,0.327,-0.5859,0.0,0.6,0.0,0.2,0.2
14,corona,500 corona cases daily dilli model ,2020-10-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
15,corona,mask america campaign rolls height corona virus spread ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
16,corona,help muscular dystrophy patient india starting clinical trials supporting doctors want w ,2020-10-28,0.463,0.537,0.0,0.7096,0.0,0.0,0.0,0.0,1.0
17,corona,saw promoting spreading corona ps really love ,2020-10-28,0.583,0.417,0.0,0.7902,0.0,0.33,0.33,0.0,0.33
18,corona,donald trump failed badly corona virus pandemic knows nothing talk action ,2020-10-28,0.0,0.584,0.416,-0.7506,0.0,0.33,0.0,0.33,0.33
19,corona,5g corona green ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,corona,concludes one corona virus underground hip hop tweet ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,corona,new dodgers positive corona tests ,2020-10-28,0.474,0.526,0.0,0.5574,0.0,0.0,0.0,0.0,0.0
22,corona,lockdown quarantine isolation corona virus ,2020-10-28,0.0,0.597,0.403,-0.4019,0.0,0.0,0.0,1.0,0.0
23,corona,one month corona lockdown threatens france fears hospital winter gau ,2020-10-28,0.0,0.597,0.403,-0.6597,0.0,0.5,0.0,0.5,0.0
24,corona,corona levels south africa something else please stay ,2020-10-28,0.247,0.753,0.0,0.3182,0.5,0.0,0.0,0.5,0.0
25,corona,think tungas gave turner corona ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
26,corona,corona really makes everything virtual huh ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
27,corona,justin turner positive corona celebrating field wo mask major league baseball probly ,2020-10-28,0.422,0.578,0.0,0.8074,0.0,0.5,0.0,0.5,0.0
28,corona,want go leavenworth havent since kid post corona road trip anyone ,2020-10-28,0.115,0.885,0.0,0.0772,0.0,0.0,1.0,0.0,0.0
29,corona,corona rates extremely high ,2020-10-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,corona,tell many people completely clueless going based use phrase covid ,2020-10-28,0.0,0.763,0.237,-0.4201,0.0,0.25,0.0,0.75,0.0
31,corona,got message super corana spreader vs corona conscious social distancer vote one believes ,2020-10-28,0.245,0.755,0.0,0.5994,0.0,1.0,0.0,0.0,0.0
32,corona,mean government seek remove corona pandemic develo ,2020-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,corona,goodnight love jordan wdws corona lime gc ,2020-10-28,0.412,0.588,0.0,0.6369,0.0,0.0,1.0,0.0,0.0
34,corona,dear students dont forget add corona episode autobiography compositions pen umbrella tree ,2020-10-28,0.299,0.701,0.0,0.505,0.17,0.33,0.0,0.33,0.17
35,corona,today important day bihar today voters come house use vote remember ,2020-10-28,0.153,0.847,0.0,0.2023,0.0,0.0,1.0,0.0,0.0
