,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,coronavirus,upward school covid trend continues greenwich schools ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,coronavirus,use nhs covid 19 app check coronavirus symptoms ease allowing take action help protect ,2021-02-02,0.415,0.585,0.0,0.7783,0.0,0.5,0.25,0.0,0.25
2,coronavirus,rare brilliant point light lives captain sir tom thank honor duty ,2021-02-02,0.543,0.457,0.0,0.8591,0.0,0.33,0.33,0.0,0.33
3,coronavirus,nhs ask apply covid 19 vaccine charge turn w ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.0,0.33
4,coronavirus,scientists say children vaccinated coronavirus ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,coronavirus,maryland gov hogan deliver state state speech wednesday evening video due coronavirus precautions ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,coronavirus,covid vaccines soon going pharmacies nationwide ,2021-02-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
7,coronavirus,like vaccine covid 19 vaccine works teaching immune system defend ,2021-02-02,0.37,0.63,0.0,0.5719,0.0,0.5,0.25,0.25,0.0
8,coronavirus,nice little reality check ,2021-02-02,0.483,0.517,0.0,0.4215,0.0,0.0,1.0,0.0,0.0
9,coronavirus,pentagon pauses plan offer coronavirus vaccine guantánamo bay absolutely qb democrats ,2021-02-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
10,coronavirus,ayanna pressley slams unequal coronavirus vaccine distribution vaccine redlining ,2021-02-02,0.0,0.769,0.231,-0.34,0.0,1.0,0.0,0.0,0.0
11,coronavirus,man jumped moving car highway sw china guizhou province believing become infected ,2021-02-02,0.0,0.775,0.225,-0.4939,0.0,0.0,0.0,0.0,1.0
12,coronavirus,mark calendar appointments made starting tuesday february 9 ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
13,coronavirus,register vaccine appointment cvs ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,coronavirus,pandemic racism ofc nj devils tea ,2021-02-02,0.0,0.339,0.661,-0.8316,0.0,0.0,0.0,0.0,1.0
15,coronavirus,starting next week federal government begin distributing 1 million doses per week 6500 pharmaci ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,coronavirus,heartfelt thank clap carers marvellous work nhs staff risking th ,2021-02-02,0.392,0.458,0.15,0.5719,0.0,0.33,0.0,0.33,0.33
17,coronavirus,white house send vaccines directly retail pharmacies coronavirus updates npr via google news ,2021-02-02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
18,coronavirus,us reported 1915 new coronavirus deaths monday bringing total 454224 7 day moving average remai ,2021-02-02,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.25,0.0
19,coronavirus,wednesday briefing new york times covering prison sentence russian opposition leader navalny efforts ,2021-02-02,0.083,0.705,0.212,-0.4588,0.0,1.0,0.0,0.0,0.0
20,coronavirus,wil cos covidvax non emergency hotline running reps answering calls 8 6 pm mon fri ,2021-02-02,0.0,0.822,0.178,-0.3818,0.0,0.0,0.0,0.0,1.0
21,coronavirus,biden administration begin shipping covid 19 vaccines pharmacies next week ramping vaccinations ,2021-02-02,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
22,coronavirus,excellent page surgetesting one enter home receive money home tests ,2021-02-02,0.291,0.709,0.0,0.5719,0.0,0.0,0.25,0.5,0.25
