,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,healthcare,healthcare ransomware attacks fbi recently noted ryuk ransomware attacks significantly increased fo ,2020-10-29,0.124,0.533,0.343,-0.5719,0.0,0.0,0.0,1.0,0.0
1,healthcare,joe biden made top priority make sure every american get access healthcare watch ,2020-10-29,0.272,0.728,0.0,0.4767,0.0,0.2,0.0,0.4,0.4
2,healthcare,affordable healthcare education transition fossil fuels hand disa ,2020-10-29,0.314,0.686,0.0,0.4939,0.5,0.5,0.0,0.0,0.0
3,healthcare,heard trump mailed healthcare plan got lost mail ,2020-10-29,0.0,0.753,0.247,-0.3182,0.0,0.0,0.0,0.5,0.5
4,healthcare,,2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,healthcare,whered get information please specific cause 401k great healthcare priv ,2020-10-29,0.444,0.556,0.0,0.7506,0.0,0.0,0.5,0.5,0.0
6,healthcare,homicides shootings impact life expectancy independently h ,2020-10-29,0.0,0.0,0.0,0.0,0.33,0.33,0.33,0.0,0.0
7,healthcare,difference jason smith couldnt stark 1 support affordable accessible healthcare f ,2020-10-29,0.0,0.78,0.22,-0.3089,0.0,1.0,0.0,0.0,0.0
8,healthcare,healthcare plan stop lying vote ,2020-10-29,0.0,0.349,0.651,-0.6808,0.0,0.0,0.0,0.0,0.0
9,healthcare,believe excellent people make excellence happen part something big hca healthcare reston va ,2020-10-29,0.415,0.585,0.0,0.8316,0.0,0.0,0.5,0.5,0.0
10,healthcare,crazy thing poor healthcare everywhere killing people lai mohammed geng con ,2020-10-29,0.0,0.447,0.553,-0.872,0.0,0.33,0.0,0.0,0.67
11,healthcare,hi help spread word seeks health solutions connecting healthcare systems wi ,2020-10-29,0.328,0.672,0.0,0.5267,0.2,0.6,0.0,0.0,0.2
12,healthcare,year 2020 could well described year ransomware top attacks year rece ,2020-10-29,0.264,0.541,0.196,0.0,0.0,0.0,0.0,0.0,1.0
13,healthcare,shit us best healthcare happens really exp ,2020-10-29,0.328,0.391,0.281,0.1531,0.0,0.0,0.0,0.0,1.0
14,healthcare,high rhetoric empty substances solutions believe watch rare times ,2020-10-29,0.162,0.667,0.171,-0.0258,0.0,0.67,0.0,0.0,0.33
15,healthcare,true vote yes give legislature power increase taxes ,2020-10-29,0.609,0.391,0.0,0.7783,0.33,0.33,0.0,0.33,0.0
16,healthcare,führer rump heinous republicans already done best turning america shthole country today ,2020-10-29,0.276,0.724,0.0,0.6369,0.0,0.0,0.0,0.0,1.0
17,healthcare,hi help spread word seeks health solutions connecting healthcare systems ,2020-10-29,0.355,0.645,0.0,0.5267,0.2,0.6,0.0,0.0,0.2
18,healthcare,umm im pretty sure even healthcare people die ,2020-10-29,0.382,0.347,0.271,0.1531,0.0,0.5,0.5,0.0,0.0
19,healthcare,playing pundit guessing outcomes fun get focused campaign aspect governance th ,2020-10-29,0.49,0.51,0.0,0.7717,0.0,0.33,0.33,0.0,0.33
20,healthcare,today birthing people seen doctor first time 6 weeks birthing another human 4th trime ,2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,healthcare,,2020-10-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,healthcare,let get straight smoking hot good politics relatable working class ,2020-10-29,0.375,0.625,0.0,0.5859,0.14,0.29,0.14,0.29,0.14
