,Search,Tweet,Entered on,pos_score,neu_score,neg_score,compound_score,angry_score,fear_score,happy_score,sad_score,surprise_score
0,mask,please wear mask encourage others ,2020-11-18,0.651,0.349,0.0,0.6808,0.0,0.0,0.0,1.0,0.0
1,mask,put steel mask face armor heart ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,mask,nurse could agree wearing mask even people survive l ,2020-11-18,0.263,0.737,0.0,0.3612,0.0,0.0,0.0,1.0,0.0
3,mask,would play mask long tackling shouting screaming players ,2020-11-18,0.218,0.545,0.236,-0.0516,0.0,0.6,0.0,0.2,0.2
4,mask,omg bra face mask genius ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
5,mask,wear mask new york times ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,mask,number 7 public letter supervalu law allow manager act gp dr fauci rte prof n ,2020-11-18,0.225,0.775,0.0,0.296,0.0,0.5,0.0,0.0,0.5
7,mask,like forbes worth read lead ,2020-11-18,0.595,0.405,0.0,0.5267,0.0,1.0,0.0,0.0,0.0
8,mask,true keep trying mask works 100 stays fog free matter high wear ,2020-11-18,0.444,0.556,0.0,0.7351,0.14,0.57,0.14,0.14,0.0
9,mask,life liberty pursuit happiness government power ,2020-11-18,0.636,0.364,0.0,0.7906,0.25,0.5,0.25,0.0,0.0
10,mask,mask life im ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
11,mask,unrealistic thing video game ever idea cat would wear mask ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5
12,mask,please wear mask tough enough seen wearing mask notice many people id ,2020-11-18,0.167,0.725,0.109,0.2023,0.0,0.4,0.0,0.6,0.0
13,mask,probably kind assault raise question wh ,2020-11-18,0.304,0.357,0.339,-0.1027,0.0,0.67,0.33,0.0,0.0
14,mask,chris cuomo aka meathead display lies amp hypocrisy called management ,2020-11-18,0.0,0.763,0.237,-0.4215,0.0,0.0,0.0,0.0,0.0
15,mask,yet dont know wearing mask might kill stay away people wear mask ,2020-11-18,0.0,0.701,0.299,-0.6908,0.5,0.0,0.0,0.33,0.17
16,mask,perk wearing mask able lay couch double chin knowing one see ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17,mask,unite2 fight corona mera h ppump ,2020-11-18,0.0,0.606,0.394,-0.3818,0.0,0.0,0.0,1.0,0.0
18,mask,new mrak show wants statewide mask mandates click listen ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19,mask,fine whatever takes keep others safe covid wearing ,2020-11-18,0.439,0.561,0.0,0.5719,0.0,0.0,0.5,0.0,0.5
20,mask,gross wear mask dude ,2020-11-18,0.0,0.492,0.508,-0.4767,0.0,0.0,0.0,1.0,0.0
21,mask,ones always face work mask answer ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
22,mask,get anxiety sad easily get hurt easily dont really know really makes actually happy ,2020-11-18,0.351,0.32,0.328,0.144,0.0,0.2,0.1,0.4,0.3
23,mask,actually thats voted office despite clinging power ,2020-11-18,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25
24,mask,gonna start enforcing saying wear mask one thing ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.67
25,mask,cant wait day drive windsor pick grandma eat halal popeyes without mask ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.2
26,mask,ah wonder airborne infectious disease wont go away seems comp ,2020-11-18,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.33,0.33
27,mask,forgot one state wide mask mandate duceyfailedaz covid19 good nothing governor ,2020-11-18,0.225,0.775,0.0,0.4404,0.25,0.0,0.25,0.5,0.0
28,mask,ask lib think 4860 participants completed study 42 people mask group ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.5
29,mask,degree certainty may going back hair industry another shutdown occurs sa ,2020-11-18,0.167,0.833,0.0,0.25,0.0,0.75,0.0,0.0,0.25
30,mask,honestly cant privilege rich inability wear mask keep others safe ,2020-11-18,0.448,0.275,0.277,0.4809,0.0,0.5,0.0,0.5,0.0
31,mask,complaining mask tight flattening nose said forget look like ,2020-11-18,0.205,0.492,0.303,-0.0516,0.2,0.0,0.0,0.6,0.2
32,mask,watch people wearing mask touch lot touch ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2
33,mask,sorry mask also yes like lavagirl younger sue ,2020-11-18,0.452,0.435,0.113,0.5994,0.0,0.0,0.0,1.0,0.0
34,mask,mask ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35,mask,dont think people understand ramifications second wave name 1 rise unemployment rates ,2020-11-18,0.0,0.775,0.225,-0.4404,0.0,0.67,0.0,0.0,0.33
36,mask,cattle ranchers know herd immunity work mask ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
37,mask,dont want know mask ,2020-11-18,0.0,0.711,0.289,-0.0572,0.0,0.0,0.0,1.0,0.0
38,mask,referring donations charity lack carin ,2020-11-18,0.346,0.37,0.284,0.128,0.0,0.0,1.0,0.0,0.0
39,mask,𝑫rop mask andie shes denial much 𝓥ictor years shes still standing ,2020-11-18,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.67,0.0
40,mask,im furious im livid lot immunocompromised people working us barel ,2020-11-18,0.0,0.526,0.474,-0.802,0.5,0.25,0.0,0.25,0.0
