,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,ACAB,2020-10-22,181,133,548,539,-0.02218866666666667
1,ACAB,2020-10-26,53,72,310,381,-0.053288800000000004
2,ACAB,2020-10-27,60,64,198,225,-0.0496825
3,ACAB,2020-10-28,80,138,269,375,-0.0823423
4,ACAB,2020-10-29,45,71,188,195,-0.0272508
5,ACAB,2020-10-31,33,34,169,171,-0.016905999999999997
6,ACAB,2020-11-01,24,27,148,117,0.019015499999999998
7,ACAB,2020-11-02,115,160,699,693,-0.02533965
8,ACAB,2020-11-03,209,220,1060,1027,-0.01311338709677419
9,ACAB,2020-11-04,19,44,158,159,-0.0204314
10,ACAB,2020-11-05,71,65,308,389,-0.0367131
11,ACAB,2020-11-08,78,74,308,380,-0.040794899999999995
12,ACAB,2020-11-09,101,134,592,639,-0.02333338888888889
13,ACAB,2020-11-12,38,29,234,212,0.00404642857142857
14,ACAB,2020-11-13,133,140,690,744,-0.024487913043478266
15,ACAB,2020-11-14,95,74,365,336,0.006233500000000001
16,ACAB,2020-11-16,35,28,199,139,0.04521620000000001
17,ACAB,2020-11-17,44,39,190,134,0.04981920000000001
18,ACAB,2020-11-18,57,47,183,137,0.0414998
19,ACAB,2020-11-19,70,38,198,172,0.04888159999999999
20,ACAB,2020-11-20,30,44,170,185,-0.0101778
21,ACAB,2021-01-06,63,120,361,514,-0.10247233333333333
22,ACAB,2021-01-07,146,199,770,984,-0.06793192
23,ACAB,2021-01-12,113,104,522,504,-0.011847499999999999
24,ACAB,2021-01-13,19,52,149,154,-0.024683800000000002
25,ACAB,2021-01-15,47,37,170,178,-0.010578799999999996
26,ACAB,2021-01-17,44,36,144,138,-0.0214178
27,ACAB,2021-01-19,84,80,513,454,0.012714399999999997
28,ACAB,2021-01-21,133,135,821,733,0.015009479999999999
29,ACAB,2021-01-20,12,36,168,166,-0.005634400000000001
30,ACAB,2021-01-22,27,21,187,148,0.0346326
31,ACAB,2021-01-24,12,7,34,37,-0.02438
32,ACAB,2021-01-25,33,20,112,83,0.014955666666666674
33,ACAB,2021-01-28,112,117,418,496,-0.021754866666666667
34,ACAB,2021-01-30,44,29,171,166,-0.005158799999999992
35,ACAB,2021-02-01,42,25,156,192,-0.038473200000000006
36,ACAB,2021-02-02,14,12,67,65,-0.008004500000000008
37,ACAB,2021-02-04,64,19,165,148,0.012723400000000004
38,ACAB,2021-02-08,43,52,177,199,-0.031506000000000006
39,ACAB,2021-02-09,66,49,270,221,0.012599624999999998
40,ACAB,2021-02-10,40,41,145,154,-0.040846
