,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Affordable Care Act,2020-10-22,75,21,1131,216,0.4315413333333333
1,Affordable Care Act,2020-10-26,86,19,755,179,0.35041449999999996
2,Affordable Care Act,2020-10-27,38,6,437,96,0.32091200000000003
3,Affordable Care Act,2020-10-28,68,16,748,153,0.28076880000000004
4,Affordable Care Act,2020-10-29,48,15,295,164,0.20401339999999998
5,Affordable Care Act,2020-10-31,51,1,340,107,0.2647912
6,Affordable Care Act,2020-11-01,31,4,213,143,0.1075115
7,Affordable Care Act,2020-11-02,140,25,1286,537,0.18111660000000002
8,Affordable Care Act,2020-11-03,276,5,2149,609,0.26908812903225804
9,Affordable Care Act,2020-11-04,38,11,337,113,0.22637419999999997
10,Affordable Care Act,2020-11-05,80,24,691,202,0.29121929999999996
11,Affordable Care Act,2020-11-08,132,143,620,295,0.18669940000000002
12,Affordable Care Act,2020-11-09,192,65,1398,242,0.37360550000000003
13,Affordable Care Act,2020-11-12,79,2,533,74,0.36948457142857144
14,Affordable Care Act,2020-11-13,238,14,1518,274,0.34147369420702756
15,Affordable Care Act,2020-11-14,109,20,720,163,0.3196984
16,Affordable Care Act,2020-11-16,79,5,378,91,0.3631274
17,Affordable Care Act,2020-11-17,56,0,368,55,0.3674466
18,Affordable Care Act,2020-11-18,25,0,365,84,0.326304
19,Affordable Care Act,2020-11-19,39,5,334,79,0.29031060000000003
20,Affordable Care Act,2020-11-20,66,1,364,90,0.3017006
21,Affordable Care Act,2021-01-06,66,20,680,351,0.14615458333333334
22,Affordable Care Act,2021-01-07,107,58,1550,700,0.18062020000000004
23,Affordable Care Act,2021-01-12,130,14,887,301,0.28383864285714283
24,Affordable Care Act,2021-01-13,54,5,366,91,0.31667
25,Affordable Care Act,2021-01-15,55,5,316,110,0.2806648
26,Affordable Care Act,2021-01-17,75,5,383,73,0.320295
27,Affordable Care Act,2021-01-19,235,36,1109,254,0.32867013333333334
28,Affordable Care Act,2021-01-21,344,45,1759,438,0.30545684
29,Affordable Care Act,2021-01-20,89,5,400,40,0.3800716
30,Affordable Care Act,2021-01-22,46,6,336,87,0.29860879999999995
31,Affordable Care Act,2021-01-24,6,5,61,23,0.23838099999999998
32,Affordable Care Act,2021-01-25,24,12,184,60,0.24014600000000003
33,Affordable Care Act,2021-01-28,105,0,1214,145,0.3824702666666667
34,Affordable Care Act,2021-01-30,48,3,382,55,0.3832632
35,Affordable Care Act,2021-02-01,23,0,398,41,0.4244176
36,Affordable Care Act,2021-02-02,10,2,133,43,0.2802805
37,Affordable Care Act,2021-02-04,70,0,373,69,0.3509678
38,Affordable Care Act,2021-02-08,45,6,349,78,0.3098956
39,Affordable Care Act,2021-02-09,55,6,526,108,0.39012542857142857
40,Affordable Care Act,2021-02-10,64,3,418,63,0.48731759999999996
