,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Amy Coney Barrett,2020-10-22,32,10,777,457,0.06662546666666669
1,Amy Coney Barrett,2020-10-26,94,34,579,247,0.2085634
2,Amy Coney Barrett,2020-10-27,40,18,330,144,0.1875423333333333
3,Amy Coney Barrett,2020-10-28,52,38,459,292,0.11912620000000002
4,Amy Coney Barrett,2020-10-29,33,12,256,133,0.1564024
5,Amy Coney Barrett,2020-10-31,23,19,219,119,0.1138568
6,Amy Coney Barrett,2020-11-01,17,16,192,87,0.12188274999999998
7,Amy Coney Barrett,2020-11-02,71,32,934,437,0.16532365000000002
8,Amy Coney Barrett,2020-11-03,397,49,2013,555,0.27890196969696973
9,Amy Coney Barrett,2020-11-04,25,1,276,96,0.204087
10,Amy Coney Barrett,2020-11-05,42,17,417,151,0.1556715
11,Amy Coney Barrett,2020-11-08,41,9,506,193,0.1595089
12,Amy Coney Barrett,2020-11-09,58,30,811,485,0.10752027777777777
13,Amy Coney Barrett,2020-11-11,3,1,37,21,0.091107
14,Amy Coney Barrett,2020-11-12,62,4,329,114,0.17129985714285714
15,Amy Coney Barrett,2020-11-13,76,47,1117,435,0.1719205652173913
16,Amy Coney Barrett,2020-11-14,53,0,481,223,0.1385922
17,Amy Coney Barrett,2020-11-16,29,10,267,83,0.2236266
18,Amy Coney Barrett,2020-11-17,20,9,219,111,0.1017782
19,Amy Coney Barrett,2020-11-18,55,24,257,131,0.177676
20,Amy Coney Barrett,2020-11-19,33,5,276,94,0.1842242
21,Amy Coney Barrett,2020-11-20,15,2,318,67,0.2854374
22,Amy Coney Barrett,2021-01-06,44,27,486,362,0.08147816666666666
23,Amy Coney Barrett,2021-01-07,74,18,1002,554,0.10069104
24,Amy Coney Barrett,2021-01-12,30,64,718,441,0.08597664285714286
25,Amy Coney Barrett,2021-01-13,17,18,191,90,0.0599432
26,Amy Coney Barrett,2021-01-15,2,17,184,147,0.0246886
27,Amy Coney Barrett,2021-01-17,5,13,198,137,0.055921599999999995
28,Amy Coney Barrett,2021-01-19,45,6,690,297,0.14531533333333335
29,Amy Coney Barrett,2021-01-21,65,22,829,697,0.030865679999999996
30,Amy Coney Barrett,2021-01-20,28,0,195,120,0.1018804
31,Amy Coney Barrett,2021-01-22,12,4,143,146,0.020953000000000003
32,Amy Coney Barrett,2021-01-24,4,1,39,28,0.07073
33,Amy Coney Barrett,2021-01-25,21,3,132,75,0.113727
34,Amy Coney Barrett,2021-01-28,129,39,656,431,0.1598082
35,Amy Coney Barrett,2021-01-30,19,11,232,106,0.15831459999999997
36,Amy Coney Barrett,2021-02-01,15,19,216,112,0.11539619999999999
37,Amy Coney Barrett,2021-02-02,1,1,69,49,0.0389305
38,Amy Coney Barrett,2021-02-04,15,10,180,123,0.06772199999999999
39,Amy Coney Barrett,2021-02-08,19,3,230,117,0.17656639999999998
40,Amy Coney Barrett,2021-02-09,32,0,310,145,0.101951875
41,Amy Coney Barrett,2021-02-10,6,0,170,122,0.0531086
