,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,BLM,2020-10-22,50,57,1025,389,0.09169518750000001
1,BLM,2020-10-26,48,77,318,454,-0.0704467
2,BLM,2020-10-27,37,42,226,220,-0.008617333333333331
3,BLM,2020-10-28,54,86,344,446,-0.08113669999999999
4,BLM,2020-10-29,20,27,193,207,-0.026553400000000005
5,BLM,2020-10-31,25,45,173,220,-0.075478
6,BLM,2020-11-01,11,53,128,208,-0.14119025000000002
7,BLM,2020-11-02,95,185,715,882,-0.06769934999999999
8,BLM,2020-11-03,163,232,1250,1389,-0.03301687409551375
9,BLM,2020-11-04,23,35,186,214,-0.0511826
10,BLM,2020-11-05,64,60,380,421,-0.034481899999999996
11,BLM,2020-11-08,47,81,370,403,-0.0398956
12,BLM,2020-11-09,101,123,675,683,-0.02132855555555556
13,BLM,2020-11-11,3,5,31,37,-0.04155500000000001
14,BLM,2020-11-12,31,40,251,255,-0.016056
15,BLM,2020-11-13,128,127,890,839,-0.004898521739130435
16,BLM,2020-11-14,60,103,340,475,-0.0933903
17,BLM,2020-11-16,23,48,157,226,-0.10715340000000002
18,BLM,2020-11-17,25,63,161,227,-0.08878880000000001
19,BLM,2020-11-18,32,38,194,184,-0.006614599999999999
20,BLM,2020-11-19,29,32,166,206,-0.05693259999999999
21,BLM,2020-11-20,26,45,174,202,-0.0651014
22,BLM,2021-01-06,37,137,350,646,-0.15712758333333332
23,BLM,2021-01-07,88,297,738,1285,-0.14405344
24,BLM,2021-01-12,49,169,368,745,-0.1639874285714286
25,BLM,2021-01-13,28,62,140,255,-0.1598232
26,BLM,2021-01-15,27,46,159,220,-0.08539679999999998
27,BLM,2021-01-17,20,39,150,208,-0.0793476
28,BLM,2021-01-19,78,119,490,624,-0.061605200000000006
29,BLM,2021-01-21,128,208,844,963,-0.04523484
30,BLM,2021-01-20,29,38,190,187,-0.02371980000000001
31,BLM,2021-01-22,31,53,172,212,-0.05875980000000001
32,BLM,2021-01-24,13,4,43,37,0.010375999999999998
33,BLM,2021-01-25,12,33,96,123,-0.06748233333333334
34,BLM,2021-01-28,74,133,498,618,-0.06348733333333333
35,BLM,2021-01-30,53,44,225,169,0.06318220000000001
36,BLM,2021-02-01,50,28,206,174,0.05298859999999999
37,BLM,2021-02-02,14,17,74,76,-0.019049
38,BLM,2021-02-04,23,36,180,194,-0.0310624
39,BLM,2021-02-08,36,32,167,176,-0.0271692
40,BLM,2021-02-09,34,78,241,360,-0.10542212499999999
41,BLM,2021-02-10,30,45,174,218,-0.07815559999999999
