,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Biden,2020-10-22,57,42,579,540,0.0003708124999999962
1,Biden,2020-10-26,61,29,415,283,0.05357429999999999
2,Biden,2020-10-27,33,15,246,183,0.06584966666666667
3,Biden,2020-10-28,70,40,399,341,0.027671335807050095
4,Biden,2020-10-29,28,14,199,146,0.0621248
5,Biden,2020-10-31,31,24,194,163,0.0234048
6,Biden,2020-11-01,22,19,171,123,0.05113325
7,Biden,2020-11-02,161,78,925,540,0.10773079999999999
8,Biden,2020-11-03,362,106,1630,737,0.15217285714285714
9,Biden,2020-11-04,31,11,221,118,0.10574979999999999
10,Biden,2020-11-05,78,30,428,243,0.1043922
11,Biden,2020-11-08,65,36,431,276,0.0758264
12,Biden,2020-11-09,88,59,765,533,0.06426033459255262
13,Biden,2020-11-11,5,4,42,31,0.047783
14,Biden,2020-11-12,42,21,290,196,0.07664114285714287
15,Biden,2020-11-13,133,61,968,645,0.06716891304347826
16,Biden,2020-11-14,59,47,404,301,0.0441953
17,Biden,2020-11-16,25,22,193,163,0.03245
18,Biden,2020-11-17,22,14,190,151,0.0453282
19,Biden,2020-11-18,25,28,176,169,-0.012317599999999998
20,Biden,2020-11-19,20,21,179,180,-0.015746000000000007
21,Biden,2020-11-20,30,21,213,150,0.0611964
22,Biden,2021-01-06,57,58,441,437,-0.004506916666666665
23,Biden,2021-01-07,132,126,947,846,0.00780676
24,Biden,2021-01-12,77,68,570,490,0.015252866666666667
25,Biden,2021-01-13,27,10,210,148,0.0514494
26,Biden,2021-01-15,29,22,193,155,0.032440000000000004
27,Biden,2021-01-17,23,11,196,148,0.044291
28,Biden,2021-01-19,96,36,672,388,0.09390286666666667
29,Biden,2021-01-21,160,76,995,709,0.05608783999999999
30,Biden,2021-01-20,35,12,218,126,0.10000880000000001
31,Biden,2021-01-22,27,22,169,178,-0.0027426000000000004
32,Biden,2021-01-24,4,2,35,31,0.040861999999999996
33,Biden,2021-01-25,10,13,93,97,-0.022902
34,Biden,2021-01-28,64,42,562,464,0.018742133333333334
35,Biden,2021-01-30,17,17,189,145,0.041765000000000004
36,Biden,2021-02-01,25,18,187,173,0.0121502
37,Biden,2021-02-02,9,6,85,45,0.10563449999999999
38,Biden,2021-02-04,13,16,188,151,0.018726399999999997
39,Biden,2021-02-08,15,22,194,171,-0.0006636000000000024
40,Biden,2021-02-09,24,29,308,259,0.029442375
41,Biden,2021-02-10,33,19,185,163,0.026597400000000007
