,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,COVID-19,2020-10-22,46,19,596,513,0.022053666666666662
1,COVID-19,2020-10-26,22,12,336,281,0.01793311111111111
2,COVID-19,2020-10-27,17,7,185,137,0.033342800000000006
3,COVID-19,2020-10-28,21,23,413,263,0.0709434
4,COVID-19,2020-10-29,17,14,178,141,0.022708399999999997
5,COVID-19,2020-10-31,8,10,161,160,-0.0026853999999999997
6,COVID-19,2020-11-01,10,12,112,101,-0.005756333333333331
7,COVID-19,2020-11-02,38,51,686,636,-0.0005224500000000012
8,COVID-19,2020-11-03,99,76,1129,889,0.02959925806451613
9,COVID-19,2020-11-04,9,9,179,143,0.029423200000000004
10,COVID-19,2020-11-05,32,18,352,290,0.0261872
11,COVID-19,2020-11-08,33,27,325,292,0.015149315068493149
12,COVID-19,2020-11-09,49,33,670,448,0.0646019411764706
13,COVID-19,2020-11-12,37,19,284,208,0.054298714285714283
14,COVID-19,2020-11-13,74,35,943,625,0.07210347826086956
15,COVID-19,2020-11-14,25,25,321,267,0.025534444444444446
16,COVID-19,2020-11-16,10,11,195,155,0.021484200000000002
17,COVID-19,2020-11-17,18,5,184,136,0.0493206
18,COVID-19,2020-11-18,14,7,181,159,0.006383600000000001
19,COVID-19,2020-11-19,18,9,180,155,0.029439200000000002
20,COVID-19,2020-11-20,21,12,201,120,0.0662768
21,COVID-19,2021-01-06,24,36,411,400,-0.004676250000000001
22,COVID-19,2021-01-07,46,40,849,685,0.03255788
23,COVID-19,2021-01-12,29,30,457,410,0.016225214285714287
24,COVID-19,2021-01-13,9,10,183,117,0.0403622
25,COVID-19,2021-01-15,13,14,161,144,0.005227800000000002
26,COVID-19,2021-01-17,12,9,174,170,0.0098856
27,COVID-19,2021-01-19,37,35,543,425,0.02410073333333334
28,COVID-19,2021-01-21,55,28,814,611,0.03781052173913043
29,COVID-19,2021-01-20,8,6,183,116,0.058495599999999995
30,COVID-19,2021-01-22,13,16,167,153,0.011321200000000005
31,COVID-19,2021-01-24,2,0,36,24,0.035144
32,COVID-19,2021-01-25,4,2,63,54,0.016702999999999996
33,COVID-19,2021-01-28,30,26,545,384,0.04446426666666666
34,COVID-19,2021-01-30,14,4,187,127,0.06054680000000002
35,COVID-19,2021-02-01,9,10,200,105,0.0764814
36,COVID-19,2021-02-02,6,1,79,46,0.0869745
37,COVID-19,2021-02-04,12,7,194,130,0.048455
38,COVID-19,2021-02-08,9,9,169,143,0.019227599999999997
39,COVID-19,2021-02-09,20,13,253,179,0.059305142857142855
40,COVID-19,2021-02-10,14,6,212,102,0.08765179999999999
