,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,COVID,2020-10-22,49,30,592,551,0.0006578666666666659
1,COVID,2020-10-26,33,33,376,328,0.015036799999999998
2,COVID,2020-10-27,22,20,173,163,0.0010374000000000017
3,COVID,2020-10-28,44,43,414,302,0.0488703
4,COVID,2020-10-29,18,16,190,162,0.009838800000000002
5,COVID,2020-10-31,21,21,181,170,0.008178800000000003
6,COVID,2020-11-01,18,23,158,130,0.015462000000000007
7,COVID,2020-11-02,65,103,671,693,-0.014102650000000001
8,COVID,2020-11-03,127,139,1128,1088,-0.0027643225806451596
9,COVID,2020-11-04,18,21,170,179,-0.009309999999999995
10,COVID,2020-11-05,40,32,345,338,-0.0026294999999999956
11,COVID,2020-11-08,47,39,344,366,-0.009063799999999997
12,COVID,2020-11-09,83,60,648,551,0.030594823529411765
13,COVID,2020-11-12,32,28,271,224,0.021387857142857142
14,COVID,2020-11-13,100,74,887,741,0.02970878260869565
15,COVID,2020-11-14,51,51,334,302,0.012937333333333332
16,COVID,2020-11-16,19,23,185,179,-0.0002787999999999977
17,COVID,2020-11-17,24,14,182,157,0.032291600000000004
18,COVID,2020-11-18,20,23,173,186,-0.006566200000000001
19,COVID,2020-11-19,29,19,202,155,0.047630399999999996
20,COVID,2020-11-20,29,18,208,159,0.038175400000000005
21,COVID,2021-01-06,45,60,395,439,-0.03172941666666666
22,COVID,2021-01-07,100,105,902,824,0.009978159999999996
23,COVID,2021-01-12,52,49,502,464,0.015227428571428567
24,COVID,2021-01-13,18,27,192,160,0.019976999999999998
25,COVID,2021-01-15,25,26,168,172,-0.007264999999999997
26,COVID,2021-01-17,18,23,175,178,-0.009511199999999992
27,COVID,2021-01-19,63,72,564,485,0.023493133333333333
28,COVID,2021-01-21,89,78,870,741,0.02397204347826087
29,COVID,2021-01-20,22,17,184,154,0.017389
30,COVID,2021-01-22,15,21,179,167,0.0054246
31,COVID,2021-01-24,2,4,37,27,0.026667000000000007
32,COVID,2021-01-25,4,7,72,67,-0.019427500000000007
33,COVID,2021-01-28,59,51,556,482,0.020149399999999998
34,COVID,2021-01-30,16,24,165,167,-0.013119999999999998
35,COVID,2021-02-01,18,14,196,146,0.04600100000000001
36,COVID,2021-02-02,7,4,81,51,0.07076149999999999
37,COVID,2021-02-04,23,17,183,169,0.017117
38,COVID,2021-02-08,15,18,184,159,0.028491199999999998
39,COVID,2021-02-09,32,31,265,206,0.04375199999999999
40,COVID,2021-02-10,25,16,194,142,0.0427084
