,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Green New Deal,2020-10-22,15,32,671,572,-0.06287613333333335
1,Green New Deal,2020-10-26,32,10,398,211,0.10084977777777779
2,Green New Deal,2020-10-27,19,7,223,138,0.082471
3,Green New Deal,2020-10-28,35,23,402,259,0.0724947
4,Green New Deal,2020-10-29,16,15,198,169,0.027090400000000004
5,Green New Deal,2020-10-31,16,7,203,107,0.0882148
6,Green New Deal,2020-11-01,13,4,123,73,0.09770133333333332
7,Green New Deal,2020-11-02,94,24,811,490,0.090637
8,Green New Deal,2020-11-03,168,66,1455,752,0.12742370967741934
9,Green New Deal,2020-11-04,24,6,216,154,0.07793000000000001
10,Green New Deal,2020-11-05,41,11,447,243,0.1178315
11,Green New Deal,2020-11-08,30,17,403,252,0.07588755555555556
12,Green New Deal,2020-11-09,80,27,793,402,0.11914670588235293
13,Green New Deal,2020-11-12,40,16,363,148,0.14791114285714285
14,Green New Deal,2020-11-13,121,18,1067,574,0.10715795652173915
15,Green New Deal,2020-11-14,46,25,388,251,0.07885166666666667
16,Green New Deal,2020-11-16,25,11,244,120,0.1022792
17,Green New Deal,2020-11-17,23,9,252,119,0.1321194
18,Green New Deal,2020-11-18,24,8,160,162,0.02258899999999999
19,Green New Deal,2020-11-19,23,12,226,129,0.09379239999999998
20,Green New Deal,2020-11-20,10,26,186,186,-0.028307400000000003
21,Green New Deal,2021-01-06,73,43,555,304,0.08324808333333332
22,Green New Deal,2021-01-07,75,64,1100,706,0.06852404
23,Green New Deal,2021-01-12,53,40,552,382,0.048583428571428576
24,Green New Deal,2021-01-13,39,7,230,107,0.1123544
25,Green New Deal,2021-01-15,21,5,222,125,0.1000734
26,Green New Deal,2021-01-17,20,10,254,124,0.1047298
27,Green New Deal,2021-01-19,96,3,760,242,0.15598233333333333
28,Green New Deal,2021-01-21,85,38,980,538,0.10324517391304347
29,Green New Deal,2021-01-20,31,8,230,104,0.1349726
30,Green New Deal,2021-01-22,20,11,208,126,0.09502379999999999
31,Green New Deal,2021-01-24,1,2,19,18,-0.04063265306122448
32,Green New Deal,2021-01-25,2,6,92,47,0.1038415
33,Green New Deal,2021-01-28,39,27,612,324,0.09316
34,Green New Deal,2021-01-30,15,10,256,113,0.1650646
35,Green New Deal,2021-02-01,18,25,243,112,0.1397054
36,Green New Deal,2021-02-02,15,0,88,58,0.08980450000000001
37,Green New Deal,2021-02-04,33,13,222,150,0.0664056
38,Green New Deal,2021-02-08,16,13,194,143,0.06132819999999999
39,Green New Deal,2021-02-09,34,18,353,171,0.1098832857142857
40,Green New Deal,2021-02-10,1,11,212,126,0.0706762
