,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Hurricane Eta,2020-11-13,18,21,401,380,-0.011317833333333338
1,Hurricane Eta,2020-11-14,11,13,237,381,-0.0848981111111111
2,Hurricane Eta,2020-11-16,22,9,139,202,-0.05103100000000001
3,Hurricane Eta,2020-11-17,10,6,153,179,-0.03854900000000001
4,Hurricane Eta,2020-11-18,28,5,210,155,0.04158679999999999
5,Hurricane Eta,2020-11-19,37,73,135,266,-0.19022039999999998
6,Hurricane Eta,2020-11-20,10,10,196,204,0.023387200000000004
7,Hurricane Eta,2021-01-06,24,0,180,204,0.04735705996131527
8,Hurricane Eta,2021-01-07,37,0,269,347,0.010111893764434176
9,Hurricane Eta,2021-01-12,24,0,178,160,0.09649383886255923
10,Hurricane Eta,2021-01-13,5,0,60,50,0.08534137931034484
11,Hurricane Eta,2021-01-15,5,0,60,60,0.05770937500000001
12,Hurricane Eta,2021-01-17,10,0,65,35,0.1222448275862069
13,Hurricane Eta,2021-01-19,45,0,230,165,0.07218396226415094
14,Hurricane Eta,2021-01-21,92,0,358,262,0.09031794554455447
15,Hurricane Eta,2021-01-20,20,0,75,65,0.05500000000000002
16,Hurricane Eta,2021-01-22,18,0,72,60,0.07273236994219655
17,Hurricane Eta,2021-01-25,4,0,24,24,0.027734482758620706
18,Hurricane Eta,2021-01-28,0,0,168,163,-0.0007501066098080974
19,Hurricane Eta,2021-01-30,0,0,75,59,0.006446231155778906
