,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Kamala Harris,2020-10-22,23,11,482,478,0.0095950959488273
1,Kamala Harris,2020-10-26,41,28,399,341,0.041911199999999996
2,Kamala Harris,2020-10-27,15,25,207,182,0.009198499999999995
3,Kamala Harris,2020-10-28,40,16,371,324,0.016427800000000003
4,Kamala Harris,2020-10-29,14,14,184,149,0.028735400000000005
5,Kamala Harris,2020-10-31,18,10,230,107,0.1403624
6,Kamala Harris,2020-11-01,13,15,151,127,-0.010667
7,Kamala Harris,2020-11-02,93,61,875,516,0.09139330000000001
8,Kamala Harris,2020-11-03,130,45,1152,1116,-0.007676932907348242
9,Kamala Harris,2020-11-04,14,8,211,142,0.0593256
10,Kamala Harris,2020-11-05,55,22,447,226,0.11503859999999999
11,Kamala Harris,2020-11-08,46,19,436,198,0.12621609999999997
12,Kamala Harris,2020-11-09,92,43,791,401,0.10944283333333332
13,Kamala Harris,2020-11-11,2,0,6,5,0.12601333333333334
14,Kamala Harris,2020-11-12,40,14,308,154,0.1256432857142857
15,Kamala Harris,2020-11-13,100,49,929,556,0.09222526086956521
16,Kamala Harris,2020-11-14,51,24,409,247,0.08241889999999999
17,Kamala Harris,2020-11-16,30,8,198,127,0.0820484
18,Kamala Harris,2020-11-17,23,12,191,137,0.0449074
19,Kamala Harris,2020-11-18,12,37,171,159,-0.014352600000000009
20,Kamala Harris,2020-11-19,19,12,203,136,0.06551699999999999
21,Kamala Harris,2020-11-20,36,7,221,133,0.0759466
22,Kamala Harris,2021-01-06,31,47,432,380,0.016888833333333332
23,Kamala Harris,2021-01-07,73,101,824,923,-0.0181518
24,Kamala Harris,2021-01-12,49,35,444,511,-0.014199928571428568
25,Kamala Harris,2021-01-13,14,17,192,137,0.042305
26,Kamala Harris,2021-01-15,28,15,207,124,0.10181500000000002
27,Kamala Harris,2021-01-17,21,15,209,121,0.10300999999999999
28,Kamala Harris,2021-01-19,77,19,718,242,0.17561486666666665
29,Kamala Harris,2021-01-21,194,29,1165,415,0.17433288000000002
30,Kamala Harris,2021-01-20,45,7,264,77,0.2298622
31,Kamala Harris,2021-01-22,28,11,191,119,0.07080519999999998
32,Kamala Harris,2021-01-24,11,2,49,17,0.15236800000000003
33,Kamala Harris,2021-01-25,24,4,148,68,0.13289433333333334
34,Kamala Harris,2021-01-28,47,30,576,307,0.06948033333333332
35,Kamala Harris,2021-01-30,29,7,235,119,0.1111208
36,Kamala Harris,2021-02-01,9,9,190,134,0.0586518
37,Kamala Harris,2021-02-02,21,4,105,52,0.12436700000000002
38,Kamala Harris,2021-02-04,15,5,158,88,0.06836679999999998
39,Kamala Harris,2021-02-08,14,24,166,182,-0.04193560000000001
40,Kamala Harris,2021-02-09,11,27,244,278,-0.05167375
41,Kamala Harris,2021-02-10,18,20,161,150,0.0130674
