,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Mail voting,2020-10-31,7,4,174,125,0.0457948
1,Mail voting,2020-11-01,4,5,125,79,0.07590333333333332
2,Mail voting,2020-11-02,46,42,720,582,0.03716505
3,Mail voting,2020-11-03,70,47,1110,750,0.056859870967741935
4,Mail voting,2020-11-04,14,17,169,174,-0.007273999999999999
5,Mail voting,2020-11-05,26,30,328,361,-0.0214931
6,Mail voting,2020-11-08,43,31,332,318,-0.007542888888888888
7,Mail voting,2020-11-09,57,49,502,611,-0.04243588235294118
8,Mail voting,2020-11-12,27,39,213,279,-0.05989942857142856
9,Mail voting,2020-11-13,87,124,672,913,-0.06650768181818183
10,Mail voting,2020-11-14,24,48,290,343,-0.05735744444444445
11,Mail voting,2020-11-16,8,19,148,184,-0.0635006
12,Mail voting,2020-11-17,15,24,161,158,-0.012210600000000004
13,Mail voting,2020-11-18,5,20,116,210,-0.0861264
14,Mail voting,2020-11-19,9,21,129,224,-0.09872360000000001
15,Mail voting,2020-11-20,13,19,145,159,-0.0351892
16,Mail voting,2021-01-06,33,82,370,472,-0.05078658333333333
17,Mail voting,2021-01-07,97,82,870,947,-0.0299936
18,Mail voting,2021-01-12,67,51,528,386,0.04966621428571429
19,Mail voting,2021-01-13,37,82,134,244,-0.17893320000000001
20,Mail voting,2021-01-15,10,36,155,195,-0.082226
21,Mail voting,2021-01-17,9,36,74,203,-0.1278512
22,Mail voting,2021-01-19,18,60,416,667,-0.08521553333333333
23,Mail voting,2021-01-21,79,96,774,775,-0.00742230434782609
24,Mail voting,2021-01-20,27,33,162,143,0.0028186000000000005
25,Mail voting,2021-01-22,16,28,201,176,0.0049101999999999965
26,Mail voting,2021-01-25,9,3,74,95,-0.015561000000000016
27,Mail voting,2021-01-28,23,41,451,431,0.006832754126846219
28,Mail voting,2021-01-30,21,21,173,179,-0.0309322
29,Mail voting,2021-02-01,25,11,221,144,0.06143900000000001
30,Mail voting,2021-02-02,6,8,38,34,0.012411486486486493
31,Mail voting,2021-02-04,23,25,188,197,-0.0248568
32,Mail voting,2021-02-08,21,12,195,156,0.026527599999999995
33,Mail voting,2021-02-09,13,8,228,264,-0.02768485714285714
34,Mail voting,2021-02-10,13,12,174,188,-0.023307799999999997
