,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Obama,2020-10-22,116,48,630,484,0.056894866666666676
1,Obama,2020-10-26,48,35,386,310,0.043982499999999994
2,Obama,2020-10-27,33,33,222,224,-0.0176035
3,Obama,2020-10-28,57,73,370,334,0.0061417000000000025
4,Obama,2020-10-29,27,20,176,154,0.017964200000000003
5,Obama,2020-10-31,27,23,207,158,0.045993799999999994
6,Obama,2020-11-01,25,24,144,122,0.01168425
7,Obama,2020-11-02,125,99,760,633,0.0363461
8,Obama,2020-11-03,196,117,1180,905,0.04661045161290324
9,Obama,2020-11-04,31,28,197,146,0.041716
10,Obama,2020-11-05,56,36,387,300,0.040236400000000005
11,Obama,2020-11-08,52,30,371,285,0.040325200000000005
12,Obama,2020-11-09,97,79,661,531,0.023069555555555555
13,Obama,2020-11-12,30,14,263,202,0.032969
14,Obama,2020-11-13,104,124,770,809,-0.02019030434782609
15,Obama,2020-11-14,60,46,402,303,0.0362064
16,Obama,2020-11-16,30,20,195,154,0.033208
17,Obama,2020-11-17,17,22,175,169,0.0007675999999999998
18,Obama,2020-11-18,25,41,180,159,-0.0036577999999999997
19,Obama,2020-11-19,30,29,193,159,0.040872399999999996
20,Obama,2020-11-20,41,21,195,153,0.03854860000000001
21,Obama,2021-01-06,66,57,451,428,-0.001267666666666665
22,Obama,2021-01-07,123,134,871,899,-0.021794439999999998
23,Obama,2021-01-12,71,71,499,464,-0.004306857142857144
24,Obama,2021-01-13,28,21,187,156,0.0318448
25,Obama,2021-01-15,27,21,185,167,0.008694599999999999
26,Obama,2021-01-17,79,18,237,132,0.1357128
27,Obama,2021-01-19,101,62,643,440,0.06368386666666667
28,Obama,2021-01-21,123,96,983,738,0.039472
29,Obama,2021-01-20,43,13,219,127,0.10380279999999999
30,Obama,2021-01-22,25,39,150,190,-0.058973
31,Obama,2021-01-24,6,3,34,30,0.007424999999999999
32,Obama,2021-01-25,13,13,109,85,0.014131999999999999
33,Obama,2021-01-28,82,57,557,435,0.03769379999999999
34,Obama,2021-01-30,42,23,187,145,0.04686819999999999
35,Obama,2021-02-01,38,15,192,138,0.07912380000000001
36,Obama,2021-02-02,23,7,95,49,0.085229
37,Obama,2021-02-04,27,15,187,154,0.043281999999999994
38,Obama,2021-02-08,30,22,178,149,0.015159599999999994
39,Obama,2021-02-09,32,34,263,219,0.022965778961384825
40,Obama,2021-02-10,39,23,193,136,0.046171199999999996
