,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Obamacare,2020-10-22,118,15,670,678,0.10291513333333335
1,Obamacare,2020-10-26,41,48,376,300,0.0465362
2,Obamacare,2020-10-27,24,29,225,239,0.005824499999999997
3,Obamacare,2020-10-28,32,40,420,280,0.0642131
4,Obamacare,2020-10-29,32,19,209,159,0.04449480000000001
5,Obamacare,2020-10-31,30,16,178,169,0.021197200000000006
6,Obamacare,2020-11-01,26,14,160,143,0.02913325
7,Obamacare,2020-11-02,103,77,801,616,0.0557658
8,Obamacare,2020-11-03,203,104,1362,929,0.07323861290322581
9,Obamacare,2020-11-04,15,20,217,134,0.0904528
10,Obamacare,2020-11-05,58,34,450,272,0.0722726
11,Obamacare,2020-11-08,71,35,457,255,0.1122501
12,Obamacare,2020-11-09,112,47,845,521,0.10112344444444445
13,Obamacare,2020-11-12,52,18,345,163,0.13117228571428574
14,Obamacare,2020-11-13,138,74,1148,654,0.11102513043478261
15,Obamacare,2020-11-14,47,61,431,324,0.0510317
16,Obamacare,2020-11-16,47,23,254,124,0.11054260000000002
17,Obamacare,2020-11-17,19,12,195,147,0.04154239999999999
18,Obamacare,2020-11-18,24,10,217,135,0.084728
19,Obamacare,2020-11-19,37,12,236,119,0.10317660000000001
20,Obamacare,2020-11-20,30,16,199,172,0.02291340000000001
21,Obamacare,2021-01-06,37,84,382,595,-0.11538233333333334
22,Obamacare,2021-01-07,121,137,973,833,0.02010044
23,Obamacare,2021-01-12,92,34,569,393,0.07068378571428571
24,Obamacare,2021-01-13,28,5,238,86,0.1143686
25,Obamacare,2021-01-15,39,18,184,144,0.0634212
26,Obamacare,2021-01-17,8,24,207,157,0.0613422
27,Obamacare,2021-01-19,108,43,747,374,0.12494206666666667
28,Obamacare,2021-01-21,87,84,1015,780,0.01851756
29,Obamacare,2021-01-20,33,21,179,175,0.03531240000000001
30,Obamacare,2021-01-22,26,23,174,173,0.012993399999999999
31,Obamacare,2021-01-24,8,3,41,32,0.032356
32,Obamacare,2021-01-25,23,9,107,98,0.03582099999999999
33,Obamacare,2021-01-28,34,42,642,457,0.037093466666666665
34,Obamacare,2021-01-30,29,5,207,149,0.0537834
35,Obamacare,2021-02-01,24,3,213,106,0.09446360000000001
36,Obamacare,2021-02-02,10,7,88,52,0.07816100000000001
37,Obamacare,2021-02-04,31,17,236,115,0.1195998
38,Obamacare,2021-02-08,31,13,247,134,0.1507472
39,Obamacare,2021-02-09,52,17,329,171,0.1177647142857143
40,Obamacare,2021-02-10,57,8,245,117,0.1685432
