,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Pence,2020-10-22,85,104,535,439,0.007097666666666659
1,Pence,2020-10-26,85,62,367,277,0.043907
2,Pence,2020-10-27,61,36,206,157,0.04122066666666666
3,Pence,2020-10-28,105,46,406,268,0.0747458
4,Pence,2020-10-29,45,47,158,182,-0.03353480000000001
5,Pence,2020-10-31,42,39,173,149,0.027099799999999993
6,Pence,2020-11-01,39,27,153,110,0.044069250000000004
7,Pence,2020-11-02,202,184,732,604,0.029969300000000004
8,Pence,2020-11-03,252,126,1079,1020,-0.0018804354587869357
9,Pence,2020-11-04,32,18,183,136,0.05059720000000001
10,Pence,2020-11-05,96,70,364,267,0.0442945
11,Pence,2020-11-08,64,71,330,319,-0.0007001999999999997
12,Pence,2020-11-09,152,165,607,544,0.012113111111111111
13,Pence,2020-11-11,14,9,31,33,7.000000000000117e-05
14,Pence,2020-11-12,42,53,239,227,-0.00238942857142857
15,Pence,2020-11-13,222,165,896,725,0.030101565217391303
16,Pence,2020-11-14,104,83,345,338,0.007733499999999997
17,Pence,2020-11-16,42,39,165,163,-0.0165608
18,Pence,2020-11-17,46,32,188,136,0.041655000000000005
19,Pence,2020-11-18,31,42,172,141,0.012394199999999998
20,Pence,2020-11-19,21,45,159,166,-0.013018199999999995
21,Pence,2020-11-20,34,33,164,174,-0.004400400000000005
22,Pence,2021-01-06,63,102,324,393,-0.03630300000000001
23,Pence,2021-01-07,134,170,784,880,-0.030090200000000004
24,Pence,2021-01-12,72,91,418,503,-0.03366807142857143
25,Pence,2021-01-13,32,34,156,188,-0.0446004
26,Pence,2021-01-15,30,43,162,199,-0.053089000000000004
27,Pence,2021-01-17,38,38,159,173,-0.0259346
28,Pence,2021-01-19,130,85,579,448,0.0436786
29,Pence,2021-01-21,217,128,983,774,0.04242136
30,Pence,2021-01-20,40,36,196,150,0.0446452
31,Pence,2021-01-22,25,30,161,181,-0.02251480000000001
32,Pence,2021-01-24,4,3,19,41,-0.095716
33,Pence,2021-01-25,29,13,124,99,0.051543000000000005
34,Pence,2021-01-28,50,97,425,570,-0.08209686666666666
35,Pence,2021-01-30,41,46,180,181,-0.021915199999999996
36,Pence,2021-02-01,31,32,162,134,0.0274144
37,Pence,2021-02-02,11,7,62,64,-0.019261999999999998
38,Pence,2021-02-04,43,30,173,170,0.0105478
39,Pence,2021-02-08,26,37,147,212,-0.09138120000000001
40,Pence,2021-02-09,22,55,244,320,-0.072139375
41,Pence,2021-02-10,17,25,176,169,-0.023722
