,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Reform,2020-10-22,37,28,506,632,-0.02536313333333333
1,Reform,2020-10-26,64,26,487,262,0.1036976
2,Reform,2020-10-27,37,16,275,174,0.07616116666666667
3,Reform,2020-10-28,62,48,370,325,0.019888399999999997
4,Reform,2020-10-29,24,35,211,158,0.0542528
5,Reform,2020-10-31,25,20,193,165,0.0292114
6,Reform,2020-11-01,31,15,196,104,0.0962095
7,Reform,2020-11-02,106,76,838,638,0.0375368
8,Reform,2020-11-03,194,95,1413,916,0.08181587096774194
9,Reform,2020-11-04,33,17,223,159,0.062010600000000006
10,Reform,2020-11-05,54,27,428,302,0.0697684
11,Reform,2020-11-08,54,36,406,310,0.036571
12,Reform,2020-11-09,95,38,770,512,0.07253188732394367
13,Reform,2020-11-12,32,24,289,198,0.05084514285714286
14,Reform,2020-11-13,120,109,981,682,0.06585639130434782
15,Reform,2020-11-14,55,35,398,280,0.06390197916666668
16,Reform,2020-11-16,21,11,197,140,0.0624636
17,Reform,2020-11-17,25,6,230,123,0.09799379999999999
18,Reform,2020-11-18,22,16,188,155,0.0279252
19,Reform,2020-11-19,16,19,223,139,0.07390340000000001
20,Reform,2020-11-20,28,29,181,162,0.0192728
21,Reform,2021-01-06,61,53,428,460,-0.028192250000000005
22,Reform,2021-01-07,101,113,982,828,0.013008919999999998
23,Reform,2021-01-12,65,52,586,451,0.0542025
24,Reform,2021-01-13,31,18,210,140,0.060139399999999996
25,Reform,2021-01-15,23,23,187,181,0.0032061999999999954
26,Reform,2021-01-17,22,19,230,136,0.0924008
27,Reform,2021-01-19,99,51,670,423,0.07416113333333332
28,Reform,2021-01-21,131,75,1053,671,0.07072921302018953
29,Reform,2021-01-20,26,10,205,150,0.06791939999999999
30,Reform,2021-01-22,30,12,217,133,0.081822
31,Reform,2021-01-24,3,2,36,33,0.015057999999999995
32,Reform,2021-01-25,20,8,127,77,0.09351466666666668
33,Reform,2021-01-28,68,56,659,423,0.07789679999999999
34,Reform,2021-01-30,23,24,182,158,0.021308399999999998
35,Reform,2021-02-01,21,12,217,147,0.0765344
36,Reform,2021-02-02,7,2,90,46,0.1005725
37,Reform,2021-02-04,27,10,207,126,0.0859112
38,Reform,2021-02-08,16,13,200,150,0.0518288
39,Reform,2021-02-09,41,28,277,187,0.059703714285714284
40,Reform,2021-02-10,19,18,204,142,0.054920399999999994
