,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Socialism,2020-10-22,99,48,582,462,0.05585113333333334
1,Socialism,2020-10-26,71,54,385,325,0.0342577
2,Socialism,2020-10-27,40,21,237,168,0.054894500000000006
3,Socialism,2020-10-28,75,39,408,305,0.0456739
4,Socialism,2020-10-29,32,10,186,148,0.0445204
5,Socialism,2020-10-31,36,17,204,127,0.0896384
6,Socialism,2020-11-01,25,10,148,136,0.034245
7,Socialism,2020-11-02,165,78,847,553,0.07478829999999999
8,Socialism,2020-11-03,222,168,1271,1132,0.02205227272727273
9,Socialism,2020-11-04,21,35,195,184,-0.011002000000000003
10,Socialism,2020-11-05,57,33,372,341,0.021195099999999995
11,Socialism,2020-11-08,67,50,401,301,0.0527
12,Socialism,2020-11-09,116,71,676,555,0.03829488888888889
13,Socialism,2020-11-11,6,6,32,30,0.007608000000000004
14,Socialism,2020-11-12,46,25,270,216,0.03323142857142857
15,Socialism,2020-11-13,172,112,906,723,0.039761391304347825
16,Socialism,2020-11-14,65,51,397,296,0.0413973
17,Socialism,2020-11-16,29,26,184,147,0.0385196
18,Socialism,2020-11-17,28,21,200,152,0.0470686
19,Socialism,2020-11-18,26,33,198,159,0.028114
20,Socialism,2020-11-19,36,20,190,163,0.035029
21,Socialism,2020-11-20,38,19,199,145,0.059543399999999996
22,Socialism,2021-01-06,119,69,499,389,0.0403545
23,Socialism,2021-01-07,189,142,988,814,0.030885920000000004
24,Socialism,2021-01-12,103,53,551,421,0.04638285714285715
25,Socialism,2021-01-13,27,28,183,151,0.0333844
26,Socialism,2021-01-15,31,15,198,144,0.0246492
27,Socialism,2021-01-17,36,19,186,143,0.0440748
28,Socialism,2021-01-19,129,72,626,401,0.07308093333333333
29,Socialism,2021-01-21,181,116,926,711,0.0426674
30,Socialism,2021-01-20,40,16,208,124,0.0833212
31,Socialism,2021-01-22,35,19,199,129,0.067607
32,Socialism,2021-01-24,9,3,42,24,0.09656700000000001
33,Socialism,2021-01-25,30,8,115,83,0.07147766666666668
34,Socialism,2021-01-28,152,56,656,369,0.08791026666666667
35,Socialism,2021-01-30,32,18,194,145,0.03810259999999999
36,Socialism,2021-02-01,34,17,200,118,0.0939512
37,Socialism,2021-02-02,17,9,81,49,0.08344599999999999
38,Socialism,2021-02-04,47,24,210,153,0.0605904
39,Socialism,2021-02-08,34,17,194,144,0.048824799999999995
40,Socialism,2021-02-09,57,37,316,233,0.061058749999999995
41,Socialism,2021-02-10,35,14,215,136,0.07418440000000001
