,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Tropical storm Eta,2020-11-13,11,12,256,204,0.00898833333333334
1,Tropical storm Eta,2020-11-14,45,2,214,338,-0.06227722222222223
2,Tropical storm Eta,2020-11-16,5,10,148,131,-0.013110999999999998
3,Tropical storm Eta,2020-11-17,5,8,158,178,-0.0585404
4,Tropical storm Eta,2020-11-18,0,0,118,271,-0.16536939999999997
5,Tropical storm Eta,2020-11-19,0,0,121,287,-0.1649252
6,Tropical storm Eta,2020-11-20,0,0,130,245,-0.117696
7,Tropical storm Eta,2021-01-06,0,0,24,36,-0.14742857142857144
8,Tropical storm Eta,2021-01-07,0,0,60,79,-0.11916000000000003
9,Tropical storm Eta,2021-01-12,0,0,84,52,0.0502314606741573
10,Tropical storm Eta,2021-01-13,0,0,35,15,0.13557692307692304
11,Tropical storm Eta,2021-01-15,0,0,25,20,0.04238461538461536
12,Tropical storm Eta,2021-01-17,0,0,25,15,0.07167499999999997
13,Tropical storm Eta,2021-01-19,0,0,90,36,0.11042096774193547
14,Tropical storm Eta,2021-01-21,0,0,27,68,-0.1418579268292683
15,Tropical storm Eta,2021-01-20,0,0,10,15,-0.07551250000000001
16,Tropical storm Eta,2021-01-22,0,0,5,10,-0.06859722222222221
17,Tropical storm Eta,2021-01-25,0,0,2,4,-0.07055714285714286
18,Tropical storm Eta,2021-01-28,0,0,0,9,-0.04662333333333333
19,Tropical storm Eta,2021-01-30,0,0,0,26,-0.17547826086956525
