,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,Trump,2020-10-22,63,59,576,599,-0.0102349375
1,Trump,2020-10-26,54,59,403,325,0.03296236453201971
2,Trump,2020-10-27,42,28,234,224,0.01807683333333333
3,Trump,2020-10-28,82,56,448,360,0.039669
4,Trump,2020-10-29,25,29,177,176,-0.0097318
5,Trump,2020-10-31,34,25,203,175,0.0139654
6,Trump,2020-11-01,19,37,147,152,-0.008078999999999998
7,Trump,2020-11-02,150,116,804,657,0.0379974
8,Trump,2020-11-03,369,156,1553,915,0.10268011428571429
9,Trump,2020-11-04,39,30,195,175,0.0316266
10,Trump,2020-11-05,60,51,362,338,0.0196924
11,Trump,2020-11-08,57,73,378,363,0.0036399999999999952
12,Trump,2020-11-09,129,121,698,740,-0.009655052631578948
13,Trump,2020-11-11,6,6,41,33,0.026858000000000003
14,Trump,2020-11-12,48,45,293,300,-0.011110628019323672
15,Trump,2020-11-13,140,136,857,823,0.00043269565217391484
16,Trump,2020-11-14,75,68,374,378,0.0008463999999999991
17,Trump,2020-11-16,31,24,191,176,0.017935000000000003
18,Trump,2020-11-17,20,24,180,197,-0.009097000000000001
19,Trump,2020-11-18,26,42,171,197,-0.03780580000000001
20,Trump,2020-11-19,22,26,165,213,-0.07487919999999999
21,Trump,2020-11-20,19,33,175,188,-0.019555200000000002
22,Trump,2021-01-06,59,106,425,495,-0.042826097560975614
23,Trump,2021-01-07,122,166,822,1046,-0.056029880000000004
24,Trump,2021-01-12,88,73,533,557,-0.021497466666666666
25,Trump,2021-01-13,22,26,192,176,-0.010590800000000001
26,Trump,2021-01-15,29,31,178,183,-0.0011878000000000047
27,Trump,2021-01-17,30,23,183,185,-0.013616199999999998
28,Trump,2021-01-19,97,70,663,477,0.048053200000000004
29,Trump,2021-01-21,148,112,934,882,0.005136120000000003
30,Trump,2021-01-20,26,22,185,170,0.0170218
31,Trump,2021-01-22,20,23,182,171,-0.008015200000000004
32,Trump,2021-01-24,1,5,33,36,-0.03316600000000001
33,Trump,2021-01-25,11,15,116,113,-0.029731333333333332
34,Trump,2021-01-28,75,85,531,532,-0.022168599999999997
35,Trump,2021-01-30,26,23,205,162,0.030342800000000003
36,Trump,2021-02-01,32,34,169,186,-0.014250399999999995
37,Trump,2021-02-02,16,10,80,75,0.0115135
38,Trump,2021-02-04,27,24,187,180,-0.0014076000000000054
39,Trump,2021-02-08,20,19,169,191,-0.032703600000000006
40,Trump,2021-02-09,40,51,270,309,-0.038679
41,Trump,2021-02-10,14,30,174,179,-0.0342102
