,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,climate change,2020-10-22,23,31,596,547,0.03242613333333334
1,climate change,2020-10-26,35,52,379,343,0.015014799999999991
2,climate change,2020-10-27,21,14,250,178,0.04332933333333333
3,climate change,2020-10-28,28,24,380,347,0.008864499999999999
4,climate change,2020-10-29,18,7,197,158,0.05436979999999999
5,climate change,2020-10-31,12,15,155,197,-0.05089020000000002
6,climate change,2020-11-01,13,18,136,177,-0.060663999999999996
7,climate change,2020-11-02,72,81,737,737,-0.012409949999999998
8,climate change,2020-11-03,129,88,1200,1082,0.02289212903225807
9,climate change,2020-11-04,14,17,199,180,0.023882800000000003
10,climate change,2020-11-05,36,28,397,324,0.0408961
11,climate change,2020-11-08,41,24,481,276,0.0635701
12,climate change,2020-11-09,49,53,687,553,0.029891944444444443
13,climate change,2020-11-12,18,32,254,268,-0.02555457142857143
14,climate change,2020-11-13,86,100,909,773,0.022083434782608696
15,climate change,2020-11-14,40,48,409,355,-0.003961900000000001
16,climate change,2020-11-16,17,20,192,164,0.010115600000000004
17,climate change,2020-11-17,22,16,199,149,0.0535036
18,climate change,2020-11-18,16,15,192,170,0.0265362
19,climate change,2020-11-19,15,7,188,168,0.0390784
20,climate change,2020-11-20,12,19,185,167,0.011668199999999998
21,climate change,2021-01-06,39,44,441,419,-0.002509833333333334
22,climate change,2021-01-07,103,80,1021,817,0.027466039999999997
23,climate change,2021-01-12,39,36,462,576,-0.015446214285714294
24,climate change,2021-01-13,14,21,167,172,-0.006663600000000001
25,climate change,2021-01-15,13,21,192,180,0.018924400000000004
26,climate change,2021-01-17,19,13,199,151,0.0544454
27,climate change,2021-01-19,60,63,614,484,0.0343704
28,climate change,2021-01-21,124,62,1074,761,0.06492176
29,climate change,2021-01-20,22,15,222,153,0.0705756
30,climate change,2021-01-22,24,14,202,173,0.04167680000000001
31,climate change,2021-01-24,4,14,38,35,-0.05098399999999999
32,climate change,2021-01-25,12,8,100,95,0.00021199999999999588
33,climate change,2021-01-28,44,48,590,512,0.004865533333333333
34,climate change,2021-01-30,18,9,197,152,0.051123600000000005
35,climate change,2021-02-01,11,10,215,149,0.0789662
36,climate change,2021-02-02,9,5,79,59,0.06160399999999999
37,climate change,2021-02-04,20,14,207,161,0.045236799999999994
38,climate change,2021-02-08,14,16,198,172,0.012955
39,climate change,2021-02-09,32,24,329,231,0.059300750000000006
40,climate change,2021-02-10,21,16,219,129,0.0803804
