,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,conservative,2020-10-22,76,40,585,480,0.051764333333333336
1,conservative,2020-10-26,56,18,544,221,0.14494310000000002
2,conservative,2020-10-27,33,11,225,128,0.10870699029126213
3,conservative,2020-10-28,57,37,419,267,0.0659422
4,conservative,2020-10-29,31,19,216,157,0.0570696
5,conservative,2020-10-31,32,20,207,148,0.05203519999999999
6,conservative,2020-11-01,22,14,187,99,0.09796800000000001
7,conservative,2020-11-02,106,77,855,537,0.07801930000000001
8,conservative,2020-11-03,171,96,1369,824,0.09345209677419355
9,conservative,2020-11-04,27,13,224,138,0.0884234
10,conservative,2020-11-05,56,50,432,294,0.053359000000000004
11,conservative,2020-11-08,61,36,432,307,0.05438329999999999
12,conservative,2020-11-09,118,60,708,477,0.07609752941176469
13,conservative,2020-11-12,35,30,273,212,0.040639857142857144
14,conservative,2020-11-13,149,82,1010,664,0.0746604347826087
15,conservative,2020-11-14,52,41,330,311,0.00823722222222222
16,conservative,2020-11-16,27,16,212,148,0.056892200000000004
17,conservative,2020-11-17,17,18,189,178,0.007876599999999997
18,conservative,2020-11-18,29,22,196,153,0.045873800000000006
19,conservative,2020-11-19,36,19,217,137,0.07882339999999999
20,conservative,2020-11-20,45,14,215,159,0.06854880000000002
21,conservative,2021-01-06,67,73,460,458,0.0006124166666666664
22,conservative,2021-01-07,165,126,1043,779,0.05003288
23,conservative,2021-01-12,96,59,576,440,0.04571971428571428
24,conservative,2021-01-13,25,37,191,163,0.019845799999999997
25,conservative,2021-01-15,26,22,189,166,0.009133999999999996
26,conservative,2021-01-17,31,20,218,146,0.0567286
27,conservative,2021-01-19,106,48,690,435,0.08207773333333333
28,conservative,2021-01-21,139,92,976,701,0.05865460869565217
29,conservative,2021-01-20,16,21,206,151,0.045658000000000004
30,conservative,2021-01-22,29,15,196,151,0.051437399999999994
31,conservative,2021-01-24,7,4,44,28,0.043084
32,conservative,2021-01-25,13,14,116,93,0.027740666666666667
33,conservative,2021-01-28,102,63,603,440,0.060474266666666665
34,conservative,2021-01-30,29,15,218,147,0.06936260000000001
35,conservative,2021-02-01,34,21,193,146,0.0516948
36,conservative,2021-02-02,7,2,95,48,0.12579649999999998
37,conservative,2021-02-04,23,20,205,160,0.03505079999999999
38,conservative,2021-02-08,28,17,213,147,0.05701819999999999
39,conservative,2021-02-09,36,15,302,193,0.07705857142857142
40,conservative,2021-02-10,33,24,193,174,0.0225236
