,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,corona,2020-10-22,57,52,510,591,-0.016069933333333335
1,corona,2020-10-26,59,46,385,327,0.0169391
2,corona,2020-10-27,24,27,181,163,0.015152400000000002
3,corona,2020-10-28,50,47,372,321,0.012791899999999998
4,corona,2020-10-29,26,26,184,165,-0.004591600000000001
5,corona,2020-10-31,17,31,158,174,-0.039902599999999996
6,corona,2020-11-01,22,16,159,130,0.0421715
7,corona,2020-11-02,93,133,756,657,0.010295250000000002
8,corona,2020-11-03,189,141,1166,1001,0.01982432258064516
9,corona,2020-11-04,23,21,169,178,-0.018392400000000003
10,corona,2020-11-05,60,48,351,326,0.0084318
11,corona,2020-11-08,51,47,376,294,0.0259365
12,corona,2020-11-09,99,69,625,519,0.028871705882352945
13,corona,2020-11-12,46,36,238,263,-0.010374857142857139
14,corona,2020-11-13,149,107,884,708,0.04403856521739131
15,corona,2020-11-14,46,49,350,291,0.027239222222222227
16,corona,2020-11-16,20,35,159,184,-0.0462714
17,corona,2020-11-17,35,18,198,132,0.0730624
18,corona,2020-11-18,34,25,200,153,0.031180000000000003
19,corona,2020-11-19,13,39,168,174,-0.0352172
20,corona,2020-11-20,24,25,177,146,0.018325
21,corona,2021-01-06,68,80,424,414,-0.013399416666666667
22,corona,2021-01-07,148,136,867,821,0.005421320000000003
23,corona,2021-01-12,61,83,509,454,0.011766071428571426
24,corona,2021-01-13,31,25,181,166,0.008166599999999996
25,corona,2021-01-15,20,16,222,132,0.1433008
26,corona,2021-01-17,38,27,187,151,0.0469816
27,corona,2021-01-19,71,59,553,470,0.030679
28,corona,2021-01-21,123,129,890,723,0.02994134782608695
29,corona,2021-01-20,23,23,171,152,0.006366800000000004
30,corona,2021-01-22,24,28,201,128,0.0719692
31,corona,2021-01-24,2,3,33,30,0.012345000000000004
32,corona,2021-01-25,14,10,65,63,-0.020983499999999992
33,corona,2021-01-28,88,76,555,459,0.030103400000000002
34,corona,2021-01-30,21,19,187,142,0.0384716
35,corona,2021-02-01,23,29,167,168,-0.001877200000000002
36,corona,2021-02-02,16,6,85,44,0.07885550000000002
37,corona,2021-02-04,30,28,202,155,0.0363536
38,corona,2021-02-08,29,23,176,156,0.015456400000000002
39,corona,2021-02-09,43,28,252,198,0.03889157142857144
40,corona,2021-02-10,34,16,194,148,0.038472799999999995
