,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,coronavirus,2020-10-22,29,30,581,532,0.020531933333333335
1,coronavirus,2020-10-26,23,28,313,286,-0.0012383333333333335
2,coronavirus,2020-10-27,14,17,149,170,-0.019839799999999998
3,coronavirus,2020-10-28,36,19,326,286,0.0253325
4,coronavirus,2020-10-29,8,19,167,158,-0.002467600000000004
5,coronavirus,2020-10-31,12,15,136,168,-0.031590400000000005
6,coronavirus,2020-11-01,9,20,144,130,0.0031349999999999976
7,coronavirus,2020-11-02,33,97,571,669,-0.03949055
8,coronavirus,2020-11-03,103,123,1080,978,-0.0019894516129032288
9,coronavirus,2020-11-04,17,15,159,168,-0.014929200000000002
10,coronavirus,2020-11-05,30,23,325,289,0.003884599999999997
11,coronavirus,2020-11-08,19,32,344,298,0.0116866
12,coronavirus,2020-11-09,52,44,664,475,0.047997647058823534
13,coronavirus,2020-11-12,23,24,264,203,0.03675785714285714
14,coronavirus,2020-11-13,72,71,785,757,0.007627739130434784
15,coronavirus,2020-11-14,24,32,269,316,-0.027893444444444446
16,coronavirus,2020-11-16,24,17,189,161,0.007302399999999999
17,coronavirus,2020-11-17,26,8,180,155,0.021089399999999998
18,coronavirus,2020-11-18,11,11,186,159,0.0138748
19,coronavirus,2020-11-19,21,14,175,165,0.004815999999999997
20,coronavirus,2020-11-20,21,21,192,159,0.011927199999999999
21,coronavirus,2021-01-06,27,73,341,414,-0.06582058333333334
22,coronavirus,2021-01-07,55,96,736,858,-0.02444976
23,coronavirus,2021-01-12,31,32,423,433,-0.020791214285714288
24,coronavirus,2021-01-13,12,11,169,140,0.0151264
25,coronavirus,2021-01-15,6,10,133,159,-0.04396860000000001
26,coronavirus,2021-01-17,19,13,153,163,0.0064579999999999985
27,coronavirus,2021-01-19,40,41,488,507,-0.014826333333333334
28,coronavirus,2021-01-21,62,66,776,675,0.013910608695652171
29,coronavirus,2021-01-20,17,9,179,128,0.0335232
30,coronavirus,2021-01-22,18,16,159,160,-0.006133200000000004
31,coronavirus,2021-01-24,3,3,26,33,-0.030726000000000003
32,coronavirus,2021-01-25,5,6,53,62,-0.023421000000000004
33,coronavirus,2021-01-28,30,28,505,390,0.026208333333333333
34,coronavirus,2021-01-30,20,8,174,146,0.0211858
35,coronavirus,2021-02-01,9,14,163,133,0.022767
36,coronavirus,2021-02-02,8,6,78,44,0.0695745
37,coronavirus,2021-02-04,6,15,161,149,0.0011708000000000016
38,coronavirus,2021-02-08,20,9,178,132,0.0491008
39,coronavirus,2021-02-09,11,9,223,218,0.00833814285714286
40,coronavirus,2021-02-10,20,6,197,129,0.0609572
