,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,healthcare,2020-10-22,68,35,642,474,0.06918386666666666
1,healthcare,2020-10-26,51,43,424,349,0.026822600000000005
2,healthcare,2020-10-27,43,11,290,152,0.11621250000000001
3,healthcare,2020-10-28,69,64,421,298,0.0470387
4,healthcare,2020-10-29,31,19,222,141,0.0895292
5,healthcare,2020-10-31,41,15,237,132,0.12927780000000003
6,healthcare,2020-11-01,28,6,178,128,0.079268
7,healthcare,2020-11-02,137,59,881,534,0.09823955000000001
8,healthcare,2020-11-03,228,107,1450,924,0.08933283870967743
9,healthcare,2020-11-04,47,15,240,139,0.108525
10,healthcare,2020-11-05,61,29,474,257,0.1102503
11,healthcare,2020-11-08,64,26,448,286,0.09002160000000001
12,healthcare,2020-11-09,114,46,856,502,0.11133694444444445
13,healthcare,2020-11-12,54,22,339,173,0.12099285714285715
14,healthcare,2020-11-13,183,74,1125,572,0.12979408695652173
15,healthcare,2020-11-14,64,43,443,301,0.08011779999999999
16,healthcare,2020-11-16,54,16,245,130,0.12578
17,healthcare,2020-11-17,39,13,240,131,0.1396746
18,healthcare,2020-11-18,35,15,232,125,0.10970760000000002
19,healthcare,2020-11-19,25,11,231,144,0.1148044
20,healthcare,2020-11-20,46,20,216,143,0.06741280000000001
21,healthcare,2021-01-06,95,47,555,358,0.07485533333333333
22,healthcare,2021-01-07,182,69,1156,623,0.11497231999999999
23,healthcare,2021-01-12,111,50,616,402,0.07868800000000001
24,healthcare,2021-01-13,36,15,210,138,0.07529159999999999
25,healthcare,2021-01-15,24,15,227,105,0.159188
26,healthcare,2021-01-17,33,13,226,124,0.1100144
27,healthcare,2021-01-19,90,41,694,354,0.11057940000000001
28,healthcare,2021-01-21,183,73,1111,593,0.11273068
29,healthcare,2021-01-20,30,7,221,139,0.08958860000000002
30,healthcare,2021-01-22,39,16,227,127,0.10684119999999998
31,healthcare,2021-01-24,6,4,53,18,0.16709899999999997
32,healthcare,2021-01-25,18,4,147,71,0.13536299999999998
33,healthcare,2021-01-28,125,37,720,372,0.13210153333333335
34,healthcare,2021-01-30,41,18,226,127,0.10860220000000001
35,healthcare,2021-02-01,27,18,242,115,0.1248422
36,healthcare,2021-02-02,16,4,100,43,0.15503600000000003
37,healthcare,2021-02-04,40,14,230,125,0.1192778
38,healthcare,2021-02-08,40,11,221,129,0.1076018
39,healthcare,2021-02-09,50,14,337,165,0.13067628571428572
40,healthcare,2021-02-10,16,19,221,146,0.065427
