,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,liberal,2020-10-22,48,37,608,439,0.039816000000000004
1,liberal,2020-10-26,64,37,422,294,0.0639041
2,liberal,2020-10-27,41,27,242,190,0.04588999999999999
3,liberal,2020-10-28,55,49,381,344,0.019583
4,liberal,2020-10-29,22,22,179,175,0.0012536000000000077
5,liberal,2020-10-31,20,29,186,167,0.014205999999999996
6,liberal,2020-11-01,25,10,153,126,0.043798750000000004
7,liberal,2020-11-02,96,107,760,674,0.01655655
8,liberal,2020-11-03,190,144,1252,1033,0.04135883870967742
9,liberal,2020-11-04,33,22,179,162,0.0265254
10,liberal,2020-11-05,54,54,399,336,0.024884
11,liberal,2020-11-08,54,54,417,346,0.032005200000000004
12,liberal,2020-11-09,94,82,675,533,0.042003882352941176
13,liberal,2020-11-12,31,30,273,235,0.03059457142857143
14,liberal,2020-11-13,134,115,880,734,0.023754260869565214
15,liberal,2020-11-14,56,54,366,306,0.032987555555555555
16,liberal,2020-11-16,21,36,180,187,-0.00039519999999999735
17,liberal,2020-11-17,26,13,183,160,0.0267614
18,liberal,2020-11-18,28,22,175,191,-0.022491800000000003
19,liberal,2020-11-19,27,22,198,152,0.05081059999999999
20,liberal,2020-11-20,28,22,178,172,0.009626399999999997
21,liberal,2021-01-06,69,73,426,453,-0.023166833333333327
22,liberal,2021-01-07,142,144,941,880,-0.0017427200000000006
23,liberal,2021-01-12,103,65,579,432,0.052060214285714286
24,liberal,2021-01-13,31,31,175,194,-0.011377999999999996
25,liberal,2021-01-15,26,27,183,177,0.0029456000000000005
26,liberal,2021-01-17,37,31,187,184,0.004750200000000001
27,liberal,2021-01-19,104,74,569,520,0.02596226666666667
28,liberal,2021-01-21,152,93,931,704,0.057058043478260864
29,liberal,2021-01-20,30,21,204,147,0.0533758
30,liberal,2021-01-22,33,23,191,144,0.0639992
31,liberal,2021-01-24,4,6,47,32,0.054784000000000006
32,liberal,2021-01-25,17,15,114,110,0.011674666666666667
33,liberal,2021-01-28,88,64,621,469,0.05157953333333333
34,liberal,2021-01-30,24,22,170,156,0.007628400000000003
35,liberal,2021-02-01,41,17,209,141,0.0597012
36,liberal,2021-02-02,13,7,78,59,0.0502275
37,liberal,2021-02-04,40,29,196,144,0.0353902
38,liberal,2021-02-08,31,29,208,149,0.0545352
39,liberal,2021-02-09,37,32,271,238,0.032027428571428575
40,liberal,2021-02-10,16,30,188,167,0.0190914
