,Search,Entered on,strongly_pos,strongly_neg,total_pos,total_neg,compound_avg
0,mask,2020-10-22,104,41,633,385,0.08348093333333334
1,mask,2020-10-26,56,37,369,277,0.0554824
2,mask,2020-10-27,25,18,193,152,0.039754599999999994
3,mask,2020-10-28,69,32,409,253,0.0792491
4,mask,2020-10-29,29,12,201,149,0.0535798
5,mask,2020-10-31,30,16,179,155,0.030523199999999997
6,mask,2020-11-01,15,8,152,106,0.061353500000000005
7,mask,2020-11-02,105,63,843,512,0.07928695000000002
8,mask,2020-11-03,222,111,1240,802,0.07533435483870968
9,mask,2020-11-04,17,21,193,141,0.04494460000000001
10,mask,2020-11-05,60,34,392,278,0.0578924
11,mask,2020-11-08,50,32,381,261,0.061081
12,mask,2020-11-09,87,57,669,469,0.062484882352941175
13,mask,2020-11-12,33,17,261,199,0.04544628571428572
14,mask,2020-11-13,140,89,871,680,0.050210043478260864
15,mask,2020-11-14,46,37,352,254,0.05321844444444444
16,mask,2020-11-16,25,16,193,133,0.051234800000000004
17,mask,2020-11-17,17,25,151,176,-0.020206400000000003
18,mask,2020-11-18,35,23,173,151,0.017489399999999995
19,mask,2020-11-19,37,13,210,143,0.0601574
20,mask,2020-11-20,42,21,207,135,0.0715856
21,mask,2021-01-06,75,62,434,368,0.03628591666666667
22,mask,2021-01-07,127,79,987,672,0.057292239999999994
23,mask,2021-01-12,74,77,478,479,-0.0017860714285714329
24,mask,2021-01-13,34,19,206,146,0.05516159999999999
25,mask,2021-01-15,39,14,193,146,0.052676600000000004
26,mask,2021-01-17,34,24,183,150,0.024873000000000003
27,mask,2021-01-19,106,44,596,395,0.07323720000000002
28,mask,2021-01-21,115,81,864,629,0.04876873913043478
29,mask,2021-01-20,35,10,199,117,0.0831966
30,mask,2021-01-22,18,15,190,140,0.0580468
31,mask,2021-01-24,3,1,41,21,0.09211
32,mask,2021-01-25,22,3,104,79,0.052445
33,mask,2021-01-28,77,44,607,374,0.082623
34,mask,2021-01-30,29,14,187,122,0.0667616
35,mask,2021-02-01,23,10,211,109,0.09062719999999999
36,mask,2021-02-02,7,7,82,51,0.06960200000000001
37,mask,2021-02-04,25,15,191,141,0.050821
38,mask,2021-02-08,21,16,185,151,0.0303908
39,mask,2021-02-09,29,35,269,211,0.029772428571428568
40,mask,2021-02-10,28,25,185,154,0.019971600000000003
